No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
1,"Nilsson, Per",1. FC Nürnberg,Abwehr,19,"68,93%","7,47",142
2,"Mertesacker, Per",Werder Bremen,Abwehr,30,"68,66%","12,27",368
3,Rodnei,1. FC Kaiserslautern,Abwehr,26,"68,45%","14,77",384
4,"Wollscheid, Philipp",1. FC Nürnberg,Abwehr,19,"68,42%","15,05",286
5,"Friedrich, Arne",VfL Wolfsburg,Abwehr,15,"68,31%","14,8",222
6,"Balitsch, Hanno",Bayer Leverkusen,Mittelfeld,24,"67,27%","6,17",148
7,"Bungert, Niko",1. FSV Mainz 05,Abwehr,28,"67,01%","11,68",327
8,"Höwedes, Benedikt",FC Schalke 04,Abwehr,30,"66,98%","11,7",351
9,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,17,"66,56%","12,53",213
10,"Noveski, Nikolče",1. FSV Mainz 05,Abwehr,32,"66,48%","10,97",351
11,"Friedrich, Manuel",Bayer Leverkusen,Abwehr,19,"66,27%","8,79",167
12,"Taşçı, Serdar",VfB Stuttgart,Abwehr,26,"66,09%","10,35",269
13,"Zambrano, Carlos",FC St. Pauli,Abwehr,20,"65,81%","11,55",231
14,"Haggui, Karim",Hannover 96,Abwehr,25,"65,44%","13,56",339
15,"Subotić, Neven",Borussia Dortmund,Abwehr,31,"64,98%","10,77",334
16,"Westermann, Heiko",Hamburger SV,Abwehr,34,"64,84%","13,88",472
17,"Wolf, Andreas",1. FC Nürnberg,Abwehr,30,"64,74%","12,3",369
18,"Brouwers, Roel",Bor. Mönchengladbach,Abwehr,15,"64,56%","6,8",102
19,"Jantschke, Tony",Bor. Mönchengladbach,Mittelfeld,11,"64,55%","12,91",142
20,"Vorsah, Isaac",1899 Hoffenheim,Abwehr,30,"64,07%","9,87",296
21,"Hyypiä, Sami",Bayer Leverkusen,Abwehr,21,"64,04%","8,14",171
22,Geromel,1. FC Köln,Abwehr,27,"63,67%","11,81",319
23,"Kjær, Simon",VfL Wolfsburg,Abwehr,32,"63,65%","12,09",387
24,Breno,Bayern München,Abwehr,13,"63,53%","8,31",108
25,"Van Buyten, Daniel",Bayern München,Abwehr,21,"63,48%","8,52",179
26,"Pezzoni, Kevin",1. FC Köln,Mittelfeld,20,"63,32%","8,2",164
27,"Badstuber, Holger",Bayern München,Abwehr,23,"63,31%","9,83",226
28,"Amedick, Martin",1. FC Kaiserslautern,Abwehr,26,"63,26%",10,260
29,"Ibertsberger, Andreas",1899 Hoffenheim,Abwehr,20,"63,19%","14,25",285
30,"Hummels, Mats",Borussia Dortmund,Abwehr,32,"63,18%","12,06",386
31,"Prödl, Sebastian",Werder Bremen,Abwehr,25,"63,00%","11,44",286
32,"Schwaab, Daniel",Bayer Leverkusen,Abwehr,30,"62,68%","11,37",341
33,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,31,"62,48%","10,42",323
34,"Barzagli, Andrea",VfL Wolfsburg,Abwehr,17,"62,45%","9,29",158
35,Dante,Bor. Mönchengladbach,Abwehr,18,"62,33%","10,11",182
36,"Šimunić, Josip",1899 Hoffenheim,Abwehr,10,"62,24%","6,1",61
37,"Pogatetz, Emanuel",Hannover 96,Abwehr,28,"62,21%","11,46",321
38,"van Bommel, Mark",Bayern München,Mittelfeld,13,"61,84%","13,46",175
39,"Pasanen, Petri",Werder Bremen,Abwehr,24,"61,77%","9,29",223
40,"Metzelder, Christoph",FC Schalke 04,Abwehr,32,"61,61%","9,78",313
41,"Djakpa, Constant",Hannover 96,Abwehr,14,"61,49%","6,5",91
42,"Gunesch, Ralph",FC St. Pauli,Abwehr,20,"61,48%","11,65",233
43,"Svensson, Bo",1. FSV Mainz 05,Abwehr,19,"61,42%","10,47",199
44,"Levels, Tobias",Bor. Mönchengladbach,Abwehr,22,"61,38%","12,5",275
45,"Kirchhoff, Jan",1. FSV Mainz 05,Abwehr,10,"61,14%","12,9",129
46,"Tzavellas, Giorgos",Eintracht Frankfurt,Abwehr,25,"61,14%","10,76",269
47,"Molinaro, Cristian",VfB Stuttgart,Abwehr,27,"60,68%","8,63",233
48,"Niedermeier, Georg",VfB Stuttgart,Abwehr,29,"60,48%","10,34",300
49,Luiz Gustavo,Bayern München,Mittelfeld,31,"60,21%","13,13",407
50,"Thorandt, Markus",FC St. Pauli,Abwehr,29,"60,09%","13,45",390
51,"Mathijsen, Joris",Hamburger SV,Abwehr,19,"60,00%","9,16",174
51,"Eggimann, Mario",Hannover 96,Abwehr,12,"60,00%","6,75",81
53,"Daems, Filip",Bor. Mönchengladbach,Abwehr,34,"59,89%","9,97",339
54,"Aogo, Dennis",Hamburger SV,Abwehr,20,"59,77%","7,65",153
55,"Contento, Diego",Bayern München,Abwehr,14,"59,70%","8,57",120
56,"Lechner, Florian",FC St. Pauli,Abwehr,10,"59,62%","9,3",93
57,"Annan, Anthony",FC Schalke 04,Mittelfeld,9,"59,49%","10,44",94
58,"Butscher, Heiko",SC Freiburg,Abwehr,25,"59,38%","8,48",212
59,"Fritz, Clemens",Werder Bremen,Abwehr,29,"59,36%","12,24",355
60,"Pinola, Javier",1. FC Nürnberg,Abwehr,28,"59,35%","11,79",330
61,"Russ, Marco",Eintracht Frankfurt,Abwehr,31,"58,95%","9,45",293
62,"Delpierre, Matthieu",VfB Stuttgart,Abwehr,18,"58,70%","9,56",172
63,"Chandler, Timothy",1. FC Nürnberg,Abwehr,14,"58,65%","11,14",156
64,"Abel, Mathias",1. FC Kaiserslautern,Abwehr,19,"58,55%","9,37",178
65,"Riether, Sascha",VfL Wolfsburg,Mittelfeld,28,"58,43%","6,93",194
66,"Fuchs, Christian",1. FSV Mainz 05,Abwehr,31,"58,21%","12,81",397
67,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,33,"58,18%","8,73",288
68,"Schulz, Christian",Hannover 96,Abwehr,33,"58,15%","11,24",371
69,"Oczipka, Bastian",FC St. Pauli,Abwehr,20,"58,01%","11,05",221
70,"Franz, Maik",Eintracht Frankfurt,Abwehr,23,"57,82%","8,52",196
71,"Toprak, Ömer",SC Freiburg,Abwehr,24,"57,76%","8,38",201
72,"Compper, Marvin",1899 Hoffenheim,Abwehr,32,"57,54%","9,66",309
73,"Bílek, Jiří",1. FC Kaiserslautern,Mittelfeld,15,"57,53%","12,73",191
74,"Marx, Thorben",Bor. Mönchengladbach,Mittelfeld,27,"57,46%","7,7",208
75,"Schmelzer, Marcel",Borussia Dortmund,Abwehr,34,"57,40%","12,32",419
76,"Judt, Juri",1. FC Nürnberg,Mittelfeld,24,"57,39%",11,264
76,"Schachten, Sebastian",Bor. Mönchengladbach,Abwehr,13,"57,39%","5,08",66
78,"Frings, Torsten",Werder Bremen,Mittelfeld,32,"57,36%","12,06",386
79,"Hasebe, Makoto",VfL Wolfsburg,Mittelfeld,23,"57,06%","8,43",194
80,"Kadlec, Michal",Bayer Leverkusen,Abwehr,32,"57,03%","11,16",357
81,"Schäfer, Marcel",VfL Wolfsburg,Abwehr,34,"57,01%","8,85",301
82,"Bugera, Alexander",1. FC Kaiserslautern,Abwehr,12,"56,89%","7,92",95
83,"Bender, Lars",Bayer Leverkusen,Mittelfeld,27,"56,83%","8,78",237
84,"Lahm, Philipp",Bayern München,Abwehr,34,"56,83%","7,71",262
85,"Schwegler, Pirmin",Eintracht Frankfurt,Mittelfeld,32,"56,83%","13,78",441
86,"Fathi, Malik",1. FSV Mainz 05,Abwehr,19,"56,81%","11,63",221
87,"Neustädter, Roman",Bor. Mönchengladbach,Mittelfeld,24,"56,77%","10,83",260
88,"Demel, Guy",Hamburger SV,Abwehr,21,"56,75%","8,81",185
89,"Vidal, Arturo",Bayer Leverkusen,Mittelfeld,33,"56,62%","17,48",577
