No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
1,"Gomez, Mario",Bayern München,Sturm,32,28,99,"28,28%","87,39"
2,"Cissé, Papiss Demba",SC Freiburg,Sturm,32,22,89,"24,72%","127,45"
3,"Novakovič, Milivoje",1. FC Köln,Sturm,28,17,51,"33,33%","128,12"
4,"Gekas, Theofanis",Eintracht Frankfurt,Sturm,34,16,85,"18,82%","172,13"
4,"Barrios, Lucas",Borussia Dortmund,Sturm,32,16,99,"16,16%",155
4,"Lakić, Srđan",1. FC Kaiserslautern,Sturm,31,16,95,"16,84%","163,81"
7,"Schürrle, André",1. FSV Mainz 05,Sturm,33,15,92,"16,30%","165,73"
8,"Ya Konan, Didier",Hannover 96,Sturm,28,14,71,"19,72%","175,86"
9,Raúl,FC Schalke 04,Sturm,34,13,77,"16,88%","222,62"
9,"Podolski, Lukas",1. FC Köln,Sturm,32,13,86,"15,12%","211,62"
11,"Müller, Thomas",Bayern München,Sturm,34,12,59,"20,34%","233,08"
11,"Robben, Arjen",Bayern München,Sturm,14,12,54,"22,22%","94,42"
13,"Petrić, Mladen",Hamburger SV,Sturm,22,11,65,"16,92%","157,64"
14,"Vidal, Arturo",Bayer Leverkusen,Mittelfeld,33,10,52,"19,23%","270,9"
14,"Reus, Marco",Bor. Mönchengladbach,Sturm,32,10,79,"12,66%","285,7"
14,"Allagui, Sami",1. FSV Mainz 05,Sturm,28,10,46,"21,74%","157,9"
14,"Abdellaoue, Mohammed",Hannover 96,Sturm,26,10,44,"22,73%","209,8"
14,"Džeko, Edin",VfL Wolfsburg,Sturm,17,10,59,"16,95%","151,8"
19,"Kuzmanović, Zdravko",VfB Stuttgart,Mittelfeld,32,9,46,"19,57%",267
19,"Harnik, Martin",VfB Stuttgart,Sturm,32,9,47,"19,15%","208,89"
19,"Sigurðsson, Gylfi",1899 Hoffenheim,Mittelfeld,29,9,55,"16,36%","140,11"
19,Grafite,VfL Wolfsburg,Sturm,28,9,59,"15,25%","206,33"
19,"Pizarro, Claudio",Werder Bremen,Sturm,22,9,39,"23,08%","195,89"
19,Hugo Almeida,Werder Bremen,Sturm,13,9,38,"23,68%","78,33"
25,"Großkreutz, Kevin",Borussia Dortmund,Mittelfeld,34,8,56,"14,29%","325,63"
25,"Lewandowski, Robert",Borussia Dortmund,Sturm,33,8,85,"9,41%","200,25"
25,"Eigler, Christian",1. FC Nürnberg,Sturm,32,8,42,"19,05%",257
25,"Ibišević, Vedad",1899 Hoffenheim,Sturm,31,8,64,"12,50%","265,25"
25,Cacau,VfB Stuttgart,Sturm,27,8,69,"11,59%","263,75"
25,"Pogrebnyak, Pavel",VfB Stuttgart,Sturm,26,8,43,"18,60%","207,5"
25,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,24,8,72,"11,11%","248,63"
25,"Mandžukić, Mario",VfL Wolfsburg,Sturm,24,8,38,"21,05%","183,38"
25,"Kagawa, Shinji",Borussia Dortmund,Mittelfeld,18,8,38,"21,05%","171,5"
34,"Sam, Sidney",Bayer Leverkusen,Mittelfeld,30,7,55,"12,73%",310
34,"Schieber, Julian",1. FC Nürnberg,Sturm,29,7,75,"9,33%","348,14"
34,Renato Augusto,Bayer Leverkusen,Mittelfeld,27,7,60,"11,67%",317
34,"Ribéry, Franck",Bayern München,Mittelfeld,25,7,71,"9,86%","281,29"
34,"van Nistelrooy, Ruud",Hamburger SV,Sturm,25,7,67,"10,45%","256,14"
34,"Kießling, Stefan",Bayer Leverkusen,Sturm,22,7,40,"17,50%","192,71"
34,"de Camargo, Igor",Bor. Mönchengladbach,Sturm,19,7,36,"19,44%","171,43"
41,"Götze, Mario",Borussia Dortmund,Mittelfeld,33,6,41,"14,63%","424,33"
41,"Frings, Torsten",Werder Bremen,Mittelfeld,32,6,36,"16,67%","468,5"
41,"Derdiyok, Eren",Bayer Leverkusen,Sturm,32,6,52,"11,54%","327,67"
41,"Şahin, Nuri",Borussia Dortmund,Mittelfeld,30,6,63,"9,52%","432,5"
41,Diego,VfL Wolfsburg,Mittelfeld,30,6,60,"10,00%","438,5"
41,"Asamoah, Gerald",FC St. Pauli,Sturm,27,6,38,"15,79%","316,83"
41,"Helmes, Patrick",VfL Wolfsburg,Sturm,19,6,40,"15,00%","187,67"
41,"Ba, Demba",1899 Hoffenheim,Sturm,17,6,47,"12,77%","213,33"
49,"Rausch, Konstantin",Hannover 96,Mittelfeld,34,5,56,"8,93%","568,4"
49,"Lehmann, Matthias",FC St. Pauli,Mittelfeld,33,5,63,"7,94%","580,8"
49,"Idrissou, Mohamadou",Bor. Mönchengladbach,Sturm,33,5,63,"7,94%",458
49,"Hummels, Mats",Borussia Dortmund,Abwehr,32,5,40,"12,50%","566,8"
49,Sérgio da Silva Pinto,Hannover 96,Mittelfeld,31,5,57,"8,77%",524
49,"Gentner, Christian",VfB Stuttgart,Mittelfeld,31,5,31,"16,13%","411,4"
49,"Niedermeier, Georg",VfB Stuttgart,Abwehr,29,5,18,"27,78%","452,6"
49,"Morávek, Jan",1. FC Kaiserslautern,Mittelfeld,29,5,38,"13,16%","406,2"
49,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,28,5,17,"29,41%","381,4"
49,"Salihović, Sejad",1899 Hoffenheim,Mittelfeld,26,5,70,"7,14%","424,2"
49,"Gündoğan, İlkay",1. FC Nürnberg,Mittelfeld,25,5,39,"12,82%",366
49,"Hoffer, Erwin",1. FC Kaiserslautern,Sturm,24,5,21,"23,81%","233,8"
49,"Wagner, Sandro",Werder Bremen,Sturm,23,5,43,"11,63%","236,6"
49,"Rosenthal, Jan",SC Freiburg,Mittelfeld,22,5,31,"16,13%",318
49,"Iličević, Ivo",1. FC Kaiserslautern,Mittelfeld,21,5,63,"7,94%","346,8"
64,"Daems, Filip",Bor. Mönchengladbach,Abwehr,34,4,13,"30,77%",765
64,"Schulz, Christian",Hannover 96,Abwehr,33,4,17,"23,53%",735
64,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,32,4,52,"7,69%","683,25"
64,"Holtby, Lewis",1. FSV Mainz 05,Mittelfeld,30,4,38,"10,53%","507,75"
64,"Mlapa, Peniel",1899 Hoffenheim,Sturm,30,4,35,"11,43%","414,5"
64,"Soto, Elkin",1. FSV Mainz 05,Mittelfeld,26,4,25,"16,00%","477,5"
64,"Guerrero, Paolo",Hamburger SV,Sturm,25,4,42,"9,52%","392,75"
64,"Arango, Juan",Bor. Mönchengladbach,Mittelfeld,25,4,53,"7,55%",501
64,"Takyi, Charles",FC St. Pauli,Mittelfeld,24,4,30,"13,33%",377
64,"Reisinger, Stefan",SC Freiburg,Sturm,22,4,23,"17,39%","169,75"
64,"Schlaudraff, Jan",Hannover 96,Sturm,21,4,26,"15,38%","343,75"
64,"Hanke, Mike",Bor. Mönchengladbach,Sturm,21,4,26,"15,38%",244
64,"Szalai, Ádám",1. FSV Mainz 05,Sturm,20,4,43,"9,30%","321,75"
77,"Hegeler, Jens",1. FC Nürnberg,Mittelfeld,34,3,36,"8,33%","836,67"
77,"Lahm, Philipp",Bayern München,Abwehr,34,3,9,"33,33%",1020
77,"Marin, Marko",Werder Bremen,Mittelfeld,34,3,74,"4,05%",877
77,"Ekici, Mehmet",1. FC Nürnberg,Mittelfeld,32,3,71,"4,23%",839
77,Luiz Gustavo,Bayern München,Mittelfeld,31,3,17,"17,65%",851
77,"Ebbers, Marius",FC St. Pauli,Sturm,31,3,45,"6,67%","685,67"
77,"Wolf, Andreas",1. FC Nürnberg,Abwehr,30,3,29,"10,34%",883
77,"Vorsah, Isaac",1899 Hoffenheim,Abwehr,30,3,10,"30,00%",844
77,"Bruns, Florian",FC St. Pauli,Mittelfeld,30,3,15,"20,00%","394,67"
77,"Błaszczykowski, Jakub",Borussia Dortmund,Mittelfeld,29,3,38,"7,89%","512,33"
