No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
77,"Hunt, Aaron",Werder Bremen,Mittelfeld,29,3,28,"10,71%","628,67"
77,Jurado,FC Schalke 04,Mittelfeld,28,3,37,"8,11%",599
77,"Farfán, Jefferson",FC Schalke 04,Sturm,28,3,32,"9,38%",780
77,"Boll, Fabian",FC St. Pauli,Mittelfeld,28,3,32,"9,38%","696,67"
77,Edu,FC Schalke 04,Sturm,28,3,32,"9,38%","488,33"
77,"Bender, Lars",Bayer Leverkusen,Mittelfeld,27,3,13,"23,08%","406,67"
77,"Schuster, Julian",SC Freiburg,Mittelfeld,26,3,27,"11,11%",734
77,"Tymoshchuk, Anatoliy",Bayern München,Mittelfeld,26,3,21,"14,29%",665
77,"Arnautović, Marko",Werder Bremen,Sturm,25,3,53,"5,66%","519,33"
77,"Balitsch, Hanno",Bayer Leverkusen,Mittelfeld,24,3,14,"21,43%",304
77,"Nemec, Adam",1. FC Kaiserslautern,Sturm,24,3,22,"13,64%",283
77,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,24,3,19,"15,79%","391,67"
77,"Castro, Gonzalo",Bayer Leverkusen,Abwehr,23,3,19,"15,79%","571,33"
77,"Dejagah, Ashkan",VfL Wolfsburg,Sturm,23,3,15,"20,00%","361,67"
77,"Mak, Róbert",1. FC Nürnberg,Sturm,22,3,20,"15,00%","267,67"
77,"Ivanschitz, Andreas",1. FSV Mainz 05,Mittelfeld,20,3,25,"12,00%","342,33"
77,"Wollscheid, Philipp",1. FC Nürnberg,Abwehr,19,3,12,"25,00%","550,33"
77,"Bradley, Michael",Bor. Mönchengladbach,Mittelfeld,19,3,28,"10,71%",514
77,"Ben-Hatira, Änis",Hamburger SV,Mittelfeld,18,3,25,"12,00%","349,33"
77,"Bobadilla, Raúl",Bor. Mönchengladbach,Sturm,14,3,29,"10,34%","273,67"
77,"Marica, Ciprian",VfB Stuttgart,Sturm,13,3,22,"13,64%",223
77,"Son, Heung-min",Hamburger SV,Sturm,13,3,19,"15,79%","241,67"
77,"Hajnal, Tamás",VfB Stuttgart,Mittelfeld,12,3,22,"13,64%","308,33"
77,Roberto Firmino,1899 Hoffenheim,Mittelfeld,11,3,15,"20,00%","158,67"
111,"Westermann, Heiko",Hamburger SV,Abwehr,34,2,21,"9,52%",1530
111,"Simons, Timmy",1. FC Nürnberg,Mittelfeld,34,2,12,"16,67%",1530
111,"Stindl, Lars",Hannover 96,Mittelfeld,33,2,33,"6,06%","1119,5"
111,"Tiffert, Christian",1. FC Kaiserslautern,Mittelfeld,33,2,37,"5,41%",1466
111,"Kruse, Max",FC St. Pauli,Mittelfeld,33,2,50,"4,00%",1162
111,"Noveski, Nikolče",1. FSV Mainz 05,Abwehr,32,2,6,"33,33%","1393,5"
111,"Compper, Marvin",1899 Hoffenheim,Abwehr,32,2,12,"16,67%",1407
111,"Kadlec, Michal",Bayer Leverkusen,Abwehr,32,2,32,"6,25%",1324
111,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,31,2,13,"15,38%","1319,5"
111,"Bartels, Fin",FC St. Pauli,Mittelfeld,31,2,31,"6,45%","1093,5"
111,"Mertesacker, Per",Werder Bremen,Abwehr,30,2,14,"14,29%",1350
111,"Köhler, Benjamin",Eintracht Frankfurt,Mittelfeld,30,2,18,"11,11%",1218
111,"Jajalo, Mato",1. FC Köln,Mittelfeld,30,2,35,"5,71%",1106
111,"Ochs, Patrick",Eintracht Frankfurt,Abwehr,29,2,22,"9,09%",1281
111,"Mohamad, Youssef",1. FC Köln,Abwehr,28,2,12,"16,67%","1192,5"
111,"Pinola, Javier",1. FC Nürnberg,Abwehr,28,2,37,"5,41%",1205
111,"Lanig, Martin",1. FC Köln,Mittelfeld,28,2,42,"4,76%","1066,5"
111,"Riether, Sascha",VfL Wolfsburg,Mittelfeld,28,2,10,"20,00%",1168
111,Geromel,1. FC Köln,Abwehr,27,2,9,"22,22%",1210
111,"Clemens, Christian",1. FC Köln,Mittelfeld,27,2,36,"5,56%","958,5"
111,"Amedick, Martin",1. FC Kaiserslautern,Abwehr,26,2,23,"8,70%",1062
111,"Pitroipa, Jonathan",Hamburger SV,Mittelfeld,26,2,28,"7,14%",912
111,Rodnei,1. FC Kaiserslautern,Abwehr,26,2,25,"8,00%",1170
111,"Vukčević, Boris",1899 Hoffenheim,Mittelfeld,26,2,28,"7,14%","773,5"
111,"Risse, Marcel",1. FSV Mainz 05,Mittelfeld,25,2,36,"5,56%",647
111,"Cohen, Almog",1. FC Nürnberg,Mittelfeld,25,2,21,"9,52%",767
111,"Gebhart, Timo",VfB Stuttgart,Mittelfeld,25,2,30,"6,67%","751,5"
111,"Barnetta, Tranquillo",Bayer Leverkusen,Mittelfeld,24,2,44,"4,55%",758
111,"Meier, Alexander",Eintracht Frankfurt,Sturm,24,2,43,"4,65%","844,5"
111,"Elia, Eljero",Hamburger SV,Sturm,24,2,29,"6,90%",826
111,"Matuszczyk, Adam",1. FC Köln,Mittelfeld,24,2,19,"10,53%",753
111,"Boka, Arthur",VfB Stuttgart,Abwehr,23,2,23,"8,70%",815
111,"Kačar, Gojko",Hamburger SV,Mittelfeld,23,2,15,"13,33%",799
111,"Van Buyten, Daniel",Bayern München,Abwehr,21,2,12,"16,67%","802,5"
111,"Trochowski, Piotr",Hamburger SV,Mittelfeld,21,2,29,"6,90%",617
111,"Abel, Mathias",1. FC Kaiserslautern,Abwehr,19,2,11,"18,18%",832
111,"Mathijsen, Joris",Hamburger SV,Abwehr,19,2,12,"16,67%",832
111,"Alaba, David",1899 Hoffenheim,Mittelfeld,19,2,18,"11,11%",777
111,Dante,Bor. Mönchengladbach,Abwehr,18,2,9,"22,22%",770
111,"Jansen, Marcell",Hamburger SV,Abwehr,16,2,19,"10,53%",518
111,"Frantz, Mike",1. FC Nürnberg,Mittelfeld,14,2,19,"10,53%",395
111,"Altintop, Hamit",Bayern München,Mittelfeld,14,2,18,"11,11%",367
111,"Rivić, Stiven",1. FC Kaiserslautern,Mittelfeld,12,2,12,"16,67%","312,5"
111,"Flum, Johannes",SC Freiburg,Mittelfeld,12,2,9,"22,22%",449
111,"Okazaki, Shinji",VfB Stuttgart,Sturm,12,2,29,"6,90%","496,5"
111,"Rode, Sebastian",Eintracht Frankfurt,Mittelfeld,11,2,6,"33,33%","428,5"
111,"Choupo-Moting, Eric Maxim",Hamburger SV,Sturm,10,2,14,"14,29%",190
111,"Slišković, Petar",1. FSV Mainz 05,Sturm,9,2,4,"50,00%",94
111,Chris,Eintracht Frankfurt,Abwehr,7,2,4,"50,00%","224,5"
111,"Rasmussen, Morten",1. FSV Mainz 05,Sturm,5,2,4,"50,00%","110,5"
161,"Träsch, Christian",VfB Stuttgart,Mittelfeld,34,1,43,"2,33%",3052
161,"Schwegler, Pirmin",Eintracht Frankfurt,Mittelfeld,32,1,18,"5,56%",2832
161,"Metzelder, Christoph",FC Schalke 04,Abwehr,32,1,9,"11,11%",2690
161,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,32,1,32,"3,13%",2460
161,"Kjær, Simon",VfL Wolfsburg,Abwehr,32,1,21,"4,76%",2832
161,"Subotić, Neven",Borussia Dortmund,Abwehr,31,1,27,"3,70%",2772
161,Zé Roberto,Hamburger SV,Mittelfeld,31,1,14,"7,14%",2745
161,"Russ, Marco",Eintracht Frankfurt,Abwehr,31,1,18,"5,56%",2790
161,"Bender, Sven",Borussia Dortmund,Mittelfeld,31,1,28,"3,57%",2445
161,"Höwedes, Benedikt",FC Schalke 04,Abwehr,30,1,21,"4,76%",2595
161,"Barth, Oliver",SC Freiburg,Abwehr,29,1,13,"7,69%",2467
161,"Thorandt, Markus",FC St. Pauli,Abwehr,29,1,10,"10,00%",2566
161,"Bungert, Niko",1. FSV Mainz 05,Abwehr,28,1,11,"9,09%",2277
161,"Dick, Florian",1. FC Kaiserslautern,Abwehr,27,1,20,"5,00%",2206
161,"Marx, Thorben",Bor. Mönchengladbach,Mittelfeld,27,1,24,"4,17%",1757
161,"Kroos, Toni",Bayern München,Mittelfeld,27,1,43,"2,33%",1737
161,Caio,Eintracht Frankfurt,Mittelfeld,27,1,63,"1,59%",1297
161,"Silvestre, Mikaël",Werder Bremen,Abwehr,26,1,8,"12,50%",2288
161,"Haggui, Karim",Hannover 96,Abwehr,25,1,6,"16,67%",2227
161,"Prödl, Sebastian",Werder Bremen,Abwehr,25,1,21,"4,76%",2250
161,"Tzavellas, Giorgos",Eintracht Frankfurt,Abwehr,25,1,12,"8,33%",2049
161,"Butscher, Heiko",SC Freiburg,Abwehr,25,1,10,"10,00%",1968
161,"Neustädter, Roman",Bor. Mönchengladbach,Mittelfeld,24,1,15,"6,67%",1755
161,"Fenin, Martin",Eintracht Frankfurt,Sturm,24,1,20,"5,00%",813
161,Petit,1. FC Köln,Mittelfeld,24,1,37,"2,70%",1951
161,"Kluge, Peer",FC Schalke 04,Mittelfeld,22,1,15,"6,67%",1563
161,Antônio da Silva,Borussia Dortmund,Mittelfeld,22,1,14,"7,14%",762
161,"Caligiuri, Marco",1. FSV Mainz 05,Mittelfeld,22,1,14,"7,14%",1622
161,Cícero,VfL Wolfsburg,Mittelfeld,21,1,20,"5,00%",1181
161,"Hyypiä, Sami",Bayer Leverkusen,Abwehr,21,1,7,"14,29%",1668
161,"Naki, Deniz",FC St. Pauli,Sturm,20,1,9,"11,11%",774
161,"Klose, Miroslav",Bayern München,Sturm,20,1,26,"3,85%",884
161,"Zambrano, Carlos",FC St. Pauli,Abwehr,20,1,10,"10,00%",1694
161,Wesley,Werder Bremen,Mittelfeld,20,1,23,"4,35%",1520
161,"Heller, Florian",1. FSV Mainz 05,Mittelfeld,19,1,7,"14,29%",656
161,"Nilsson, Per",1. FC Nürnberg,Abwehr,19,1,6,"16,67%",1315
161,"Delpierre, Matthieu",VfB Stuttgart,Abwehr,18,1,6,"16,67%",1245
161,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,17,1,10,"10,00%",1530
161,"Yalçın, Taner",1. FC Köln,Mittelfeld,16,1,6,"16,67%",417
161,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,16,1,11,"9,09%",1387
161,"Rakitić, Ivan",FC Schalke 04,Mittelfeld,16,1,22,"4,55%",1213
161,"Hennings, Rouwen",FC St. Pauli,Sturm,16,1,21,"4,76%",821
161,"Brouwers, Roel",Bor. Mönchengladbach,Abwehr,15,1,4,"25,00%",813
161,"Babel, Ryan",1899 Hoffenheim,Sturm,15,1,37,"2,70%",1300
161,"Draxler, Julian",FC Schalke 04,Mittelfeld,15,1,7,"14,29%",511
161,"Kahlenberg, Thomas",VfL Wolfsburg,Mittelfeld,14,1,5,"20,00%",743
161,"Chandler, Timothy",1. FC Nürnberg,Abwehr,14,1,7,"14,29%",1042
161,"Hloušek, Adam",1. FC Kaiserslautern,Mittelfeld,13,1,16,"6,25%",1053
161,"Freis, Sebastian",1. FC Köln,Sturm,13,1,12,"8,33%",709
161,"Polák, Jan",VfL Wolfsburg,Mittelfeld,12,1,14,"7,14%",743
161,"Schipplock, Sven",VfB Stuttgart,Sturm,12,1,9,"11,11%",188
161,"Chihi, Adil",1. FC Köln,Mittelfeld,11,1,12,"8,33%",562
161,"Jones, Jermaine",FC Schalke 04,Mittelfeld,10,1,4,"25,00%",744
161,"Micanski, Ilian",1. FC Kaiserslautern,Sturm,10,1,7,"14,29%",223
161,"Funk, Patrick",VfB Stuttgart,Mittelfeld,9,1,1,"100,00%",486
161,"Sukuta-Pasu, Richard",FC St. Pauli,Sturm,9,1,8,"12,50%",154
161,"McKenna, Kevin",1. FC Köln,Abwehr,7,1,2,"50,00%",234
161,"Eger, Marcel",FC St. Pauli,Abwehr,7,1,5,"20,00%",472
161,"Demichelis, Martín",Bayern München,Abwehr,6,1,2,"50,00%",334
161,"Charisteas, Angelos",FC Schalke 04,Sturm,4,1,2,"50,00%",97
161,"Wießmeier, Julian",1. FC Nürnberg,Mittelfeld,1,1,1,"100,00%",56
