No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
31,Roberto Firmino,1899 Hoffenheim,Mittelfeld,33,7,95,"7,37%","416,86"
31,Naldo,VfL Wolfsburg,Abwehr,32,7,50,"14,00%","411,29"
31,"Olić, Ivica",Hamburger SV,Sturm,30,7,48,"14,58%","323,86"
31,"Caligiuri, Daniel",VfL Wolfsburg,Mittelfeld,28,7,38,"18,42%","237,43"
31,"Modeste, Anthony",1899 Hoffenheim,Sturm,26,7,58,"12,07%","186,86"
31,"Reus, Marco",Borussia Dortmund,Sturm,20,7,65,"10,77%","224,71"
31,"Ginczek, Daniel",VfB Stuttgart,Sturm,18,7,34,"20,59%","179,29"
31,"Schieber, Julian",Hertha BSC,Sturm,16,7,27,"25,93%","183,14"
39,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,33,6,62,"9,68%","483,5"
39,"Kachunga, Elias",SC Paderborn 07,Sturm,32,6,55,"10,91%","371,83"
39,"Darida, Vladimír",SC Freiburg,Mittelfeld,31,6,49,"12,24%","404,17"
39,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,31,6,47,"12,77%","364,83"
39,"Kalou, Salomon",Hertha BSC,Sturm,27,6,49,"12,24%","311,17"
39,"Verhaegh, Paul",FC Augsburg,Abwehr,27,6,20,"30,00%","389,83"
39,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,26,6,33,"18,18%","382,33"
39,"Drmić, Josip",Bayer Leverkusen,Sturm,25,6,21,"28,57%","134,83"
47,"Gentner, Christian",VfB Stuttgart,Mittelfeld,33,5,44,"11,36%","588,2"
47,"Lehmann, Matthias",1. FC Köln,Mittelfeld,32,5,25,"20,00%","569,2"
47,"Kiyotake, Hiroshi",Hannover 96,Mittelfeld,32,5,33,"15,15%","507,4"
47,"Polanski, Eugen",1899 Hoffenheim,Mittelfeld,30,5,38,"13,16%","508,4"
47,"Risse, Marcel",1. FC Köln,Mittelfeld,29,5,60,"8,33%","453,8"
47,"Kagawa, Shinji",Borussia Dortmund,Mittelfeld,28,5,39,"12,82%","376,8"
47,"Meyer, Max",FC Schalke 04,Mittelfeld,28,5,32,"15,63%","372,2"
47,"Perišić, Ivan",VfL Wolfsburg,Mittelfeld,24,5,43,"11,63%","347,2"
47,"Koo, Ja-cheol",1. FSV Mainz 05,Mittelfeld,23,5,34,"14,71%","298,4"
47,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,20,5,29,"17,24%","273,2"
47,"Ribéry, Franck",Bayern München,Mittelfeld,15,5,22,"22,73%",193
58,"Geis, Johannes",1. FSV Mainz 05,Mittelfeld,34,4,78,"5,13%","742,75"
58,"Schmid, Jonathan",SC Freiburg,Mittelfeld,33,4,60,"6,67%","706,75"
58,"Rupp, Lukas",SC Paderborn 07,Mittelfeld,31,4,32,"12,50%","504,5"
58,"Bartels, Fin",Werder Bremen,Mittelfeld,29,4,45,"8,89%","605,75"
58,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,29,4,24,"16,67%",562
58,"Mehmedi, Admir",SC Freiburg,Sturm,28,4,51,"7,84%","563,25"
58,"Stoppelkamp, Moritz",SC Paderborn 07,Mittelfeld,27,4,66,"6,06%","545,5"
58,"Beerens, Roy",Hertha BSC,Sturm,27,4,27,"14,81%","519,75"
58,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,27,4,34,"11,76%","419,25"
58,"Szalai, Ádám",1899 Hoffenheim,Sturm,26,4,36,"11,11%","332,5"
58,"Lasogga, Pierre-Michel",Hamburger SV,Sturm,26,4,65,"6,15%","466,5"
58,"Frantz, Mike",SC Freiburg,Mittelfeld,25,4,23,"17,39%",301
58,"Elyounoussi, Tarik",1899 Hoffenheim,Mittelfeld,25,4,25,"16,00%","373,75"
58,"Brandt, Julian",Bayer Leverkusen,Mittelfeld,25,4,20,"20,00%","280,75"
58,"van der Vaart, Rafael",Hamburger SV,Mittelfeld,24,4,33,"12,12%","411,75"
58,"Madlung, Alexander",Eintracht Frankfurt,Abwehr,22,4,16,"25,00%","337,5"
58,"Ben-Hatira, Änis",Hertha BSC,Mittelfeld,15,4,23,"17,39%","209,75"
58,"Didavi, Daniel",VfB Stuttgart,Mittelfeld,11,4,32,"12,50%","185,75"
76,"Klein, Florian",VfB Stuttgart,Abwehr,34,3,21,"14,29%","984,67"
76,"Werner, Timo",VfB Stuttgart,Sturm,32,3,30,"10,00%",546
76,"Altintop, Halil",FC Augsburg,Sturm,31,3,37,"8,11%",825
76,"Bell, Stefan",1. FSV Mainz 05,Abwehr,31,3,23,"13,04%",930
76,"Briand, Jimmy",Hannover 96,Sturm,29,3,39,"7,69%","692,67"
76,"Kostić, Filip",VfB Stuttgart,Mittelfeld,29,3,47,"6,38%","514,67"
76,"Mkhitaryan, Henrikh",Borussia Dortmund,Mittelfeld,28,3,69,"4,35%","642,67"
76,"Osako, Yuya",1. FC Köln,Sturm,28,3,30,"10,00%","510,67"
76,"Stocker, Valentin",Hertha BSC,Mittelfeld,26,3,35,"8,57%","622,33"
76,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,26,3,18,"16,67%",759
76,"Stendera, Marc",Eintracht Frankfurt,Mittelfeld,26,3,22,"13,64%","617,67"
76,"Schipplock, Sven",1899 Hoffenheim,Sturm,25,3,27,"11,11%","272,33"
76,"Stieber, Zoltán",Hamburger SV,Mittelfeld,25,3,33,"9,09%","513,67"
76,"Immobile, Ciro",Borussia Dortmund,Sturm,24,3,42,"7,14%",323
76,"Hahn, André",Bor. Mönchengladbach,Mittelfeld,23,3,37,"8,11%",440
76,"Gündoğan, İlkay",Borussia Dortmund,Mittelfeld,23,3,40,"7,50%","637,33"
76,"Barnetta, Tranquillo",FC Schalke 04,Mittelfeld,22,3,19,"15,79%",360
76,"Prödl, Sebastian",Werder Bremen,Abwehr,22,3,19,"15,79%","581,33"
76,Ronny,Hertha BSC,Mittelfeld,19,3,22,"13,64%",313
76,"Meha, Alban",SC Paderborn 07,Mittelfeld,18,3,61,"4,92%","408,33"
76,"Soto, Elkin",1. FSV Mainz 05,Mittelfeld,16,3,9,"33,33%","141,67"
76,"Matavž, Tim",FC Augsburg,Sturm,16,3,17,"17,65%","175,33"
76,"Kačar, Gojko",Hamburger SV,Mittelfeld,13,3,10,"30,00%",239
76,"Sané, Leroy",FC Schalke 04,Mittelfeld,13,3,12,"25,00%","204,33"
76,"Hofmann, Jonas",1. FSV Mainz 05,Mittelfeld,12,3,12,"25,00%","214,33"
101,"Klavan, Ragnar",FC Augsburg,Abwehr,34,2,16,"12,50%",1530
101,Marcelo,Hannover 96,Abwehr,34,2,21,"9,52%",1530
101,"Hector, Jonas",1. FC Köln,Abwehr,33,2,20,"10,00%",1485
101,"Hünemeier, Uwe",SC Paderborn 07,Abwehr,32,2,30,"6,67%","1408,5"
101,Luiz Gustavo,VfL Wolfsburg,Mittelfeld,31,2,37,"5,41%",1317
101,"Klaus, Felix",SC Freiburg,Mittelfeld,31,2,41,"4,88%","1114,5"
101,"Vrančić, Mario",SC Paderborn 07,Mittelfeld,30,2,22,"9,09%",1063
101,"Kramer, Christoph",Bor. Mönchengladbach,Mittelfeld,30,2,11,"18,18%",1255
101,"Xhaka, Granit",Bor. Mönchengladbach,Mittelfeld,30,2,61,"3,28%","1319,5"
101,"Neustädter, Roman",FC Schalke 04,Mittelfeld,29,2,14,"14,29%","1208,5"
101,"Subotić, Neven",Borussia Dortmund,Abwehr,28,2,19,"10,53%","1137,5"
101,"Höwedes, Benedikt",FC Schalke 04,Abwehr,28,2,11,"18,18%","1243,5"
101,"Olkowski, Paweł",1. FC Köln,Abwehr,27,2,22,"9,09%","1056,5"
101,"Knoche, Robin",VfL Wolfsburg,Abwehr,27,2,10,"20,00%","1148,5"
101,"Russ, Marco",Eintracht Frankfurt,Abwehr,26,2,18,"11,11%",1112
101,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,26,2,8,"25,00%","1147,5"
101,Xabi Alonso,Bayern München,Mittelfeld,26,2,21,"9,52%","987,5"
101,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,26,2,27,"7,41%","728,5"
101,"Fuchs, Christian",FC Schalke 04,Abwehr,25,2,16,"12,50%",859
101,"Hummels, Mats",Borussia Dortmund,Abwehr,24,2,22,"9,09%","1016,5"
101,"Traoré, Ibrahima",Bor. Mönchengladbach,Mittelfeld,24,2,23,"8,70%",429
101,"Højbjerg, Pierre-Emile",FC Augsburg,Mittelfeld,24,2,32,"6,25%",650
101,"Rode, Sebastian",Bayern München,Mittelfeld,23,2,13,"15,38%","486,5"
101,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,22,2,12,"16,67%",450
101,"Castro, Gonzalo",Bayer Leverkusen,Mittelfeld,22,2,30,"6,67%",893
101,"Lukimya, Assani",Werder Bremen,Abwehr,22,2,13,"15,38%",874
101,Lucas Piazón,Eintracht Frankfurt,Mittelfeld,22,2,10,"20,00%",531
101,Jairo,1. FSV Mainz 05,Mittelfeld,22,2,12,"16,67%",557
101,"Jedvaj, Tin",Bayer Leverkusen,Abwehr,22,2,16,"12,50%",833
101,"Matip, Joel",FC Schalke 04,Abwehr,21,2,17,"11,76%","774,5"
101,"Vestergaard, Jannik",Werder Bremen,Abwehr,21,2,13,"15,38%",721
101,"Lahm, Philipp",Bayern München,Abwehr,20,2,13,"15,38%","705,5"
101,"Allagui, Sami",1. FSV Mainz 05,Sturm,20,2,29,"6,90%","409,5"
101,"Sobiech, Artur",Hannover 96,Sturm,19,2,11,"18,18%","269,5"
101,"Alaba, David",Bayern München,Abwehr,19,2,28,"7,14%",833
101,"Ramos, Adrián",Borussia Dortmund,Sturm,18,2,19,"10,53%","360,5"
101,"Sané, Salif",Hannover 96,Abwehr,18,2,21,"9,52%",720
101,"Lakić, Srđan",SC Paderborn 07,Sturm,17,2,15,"13,33%","507,5"
101,"Hrgota, Branimir",Bor. Mönchengladbach,Sturm,17,2,15,"13,33%",354
101,"Jansen, Marcell",Hamburger SV,Abwehr,15,2,19,"10,53%","529,5"
101,"Hunt, Aaron",VfL Wolfsburg,Mittelfeld,15,2,9,"22,22%",216
101,"Draxler, Julian",FC Schalke 04,Mittelfeld,15,2,23,"8,70%","389,5"
101,"Papadopoulos, Kyriakos",Bayer Leverkusen,Abwehr,14,2,17,"11,76%",417
101,"Salihović, Sejad",1899 Hoffenheim,Mittelfeld,13,2,12,"16,67%",223
101,"Kempf, Marc-Oliver",SC Freiburg,Abwehr,13,2,4,"50,00%",460
146,"Baier, Daniel",FC Augsburg,Mittelfeld,34,1,31,"3,23%",3055
146,"Günter, Christian",SC Freiburg,Abwehr,34,1,26,"3,85%",2887
146,"Vogt, Kevin",1. FC Köln,Mittelfeld,32,1,21,"4,76%",2691
146,Vieirinha,VfL Wolfsburg,Mittelfeld,31,1,33,"3,03%",2315
146,"Schulz, Christian",Hannover 96,Abwehr,31,1,16,"6,25%",2647
146,"Schwaab, Daniel",VfB Stuttgart,Abwehr,31,1,12,"8,33%",2352
146,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,31,1,12,"8,33%",2746
146,Juan Bernat,Bayern München,Abwehr,31,1,33,"3,03%",2558
146,"Oczipka, Bastian",Eintracht Frankfurt,Abwehr,30,1,11,"9,09%",2572
146,"Maroh, Dominic",1. FC Köln,Abwehr,29,1,11,"9,09%",2373
146,"Chandler, Timothy",Eintracht Frankfurt,Abwehr,29,1,13,"7,69%",2336
146,"Bakalorz, Marvin",SC Paderborn 07,Mittelfeld,29,1,30,"3,33%",2179
146,"Toprak, Ömer",Bayer Leverkusen,Abwehr,29,1,10,"10,00%",2498
146,"Koç, Süleyman",SC Paderborn 07,Mittelfeld,29,1,38,"2,63%",1939
146,"Schwegler, Pirmin",1899 Hoffenheim,Mittelfeld,28,1,23,"4,35%",2264
146,"Schulz, Nico",Hertha BSC,Mittelfeld,28,1,10,"10,00%",1994
146,"Hazard, Thorgan",Bor. Mönchengladbach,Mittelfeld,28,1,20,"5,00%",925
146,"Müller, Nicolai",Hamburger SV,Mittelfeld,27,1,25,"4,00%",2088
146,"Inui, Takashi",Eintracht Frankfurt,Mittelfeld,27,1,44,"2,27%",1828
146,"Guilavogui, Josuha",VfL Wolfsburg,Mittelfeld,27,1,17,"5,88%",1781
146,"Brooks, John Anthony",Hertha BSC,Abwehr,27,1,15,"6,67%",2189
146,"Bungert, Niko",1. FSV Mainz 05,Abwehr,26,1,17,"5,88%",2126
146,"Bender, Lars",Bayer Leverkusen,Mittelfeld,26,1,22,"4,55%",2029
146,"Höger, Marco",FC Schalke 04,Mittelfeld,26,1,21,"4,76%",2081
146,"Bittencourt, Leonardo",Hannover 96,Mittelfeld,26,1,30,"3,33%",1384
146,"Kohr, Dominik",FC Augsburg,Mittelfeld,26,1,18,"5,56%",1646
146,Wendell,Bayer Leverkusen,Abwehr,26,1,17,"5,88%",2251
146,"Feulner, Markus",FC Augsburg,Mittelfeld,25,1,31,"3,23%",1974
146,"Hitz, Marwin",FC Augsburg,Torwart,25,1,1,"100,00%",2250
146,"Sorg, Oliver",SC Freiburg,Abwehr,25,1,25,"4,00%",2057
146,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,24,1,12,"8,33%",1241
146,"Hegeler, Jens",Hertha BSC,Mittelfeld,24,1,7,"14,29%",1368
146,"Johnson, Fabian",Bor. Mönchengladbach,Mittelfeld,24,1,18,"5,56%",1431
146,"Bičakčić, Ermin",1899 Hoffenheim,Abwehr,24,1,9,"11,11%",2071
146,"Philipp, Maximilian",SC Freiburg,Mittelfeld,24,1,19,"5,26%",1172
146,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,23,1,11,"9,09%",2053
146,"Niedermeier, Georg",VfB Stuttgart,Abwehr,22,1,13,"7,69%",1683
146,"Rudņevs, Artjoms",Hamburger SV,Sturm,22,1,33,"3,03%",947
146,"Spahić, Emir",Bayer Leverkusen,Abwehr,22,1,10,"10,00%",1875
146,Caiuby,FC Augsburg,Mittelfeld,22,1,24,"4,17%",823
146,"Öztunali, Levin",Werder Bremen,Mittelfeld,22,1,18,"5,56%",905
146,"Papastathopoulos, Sokratis",Borussia Dortmund,Abwehr,21,1,12,"8,33%",1729
146,"Wemmer, Jens",SC Paderborn 07,Abwehr,21,1,16,"6,25%",1497
146,"Haraguchi, Genki",Hertha BSC,Sturm,21,1,23,"4,35%",1389
146,"Brouwers, Roel",Bor. Mönchengladbach,Abwehr,20,1,6,"16,67%",1416
146,"Prib, Edgar",Hannover 96,Mittelfeld,20,1,10,"10,00%",1047
146,"de Blasis, Pablo",1. FSV Mainz 05,Mittelfeld,20,1,18,"5,56%",1148
146,Gálvez,Werder Bremen,Abwehr,20,1,13,"7,69%",1539
146,"Esswein, Alexander",FC Augsburg,Sturm,19,1,24,"4,17%",870
146,"Díaz, Júnior",1. FSV Mainz 05,Abwehr,19,1,16,"6,25%",1437
146,"Kutschke, Stefan",SC Paderborn 07,Sturm,19,1,23,"4,35%",841
146,"Hajrović, Izet",Werder Bremen,Mittelfeld,19,1,11,"9,09%",735
146,"Leitner, Moritz",VfB Stuttgart,Mittelfeld,19,1,20,"5,00%",1102
146,"Bendtner, Nicklas",VfL Wolfsburg,Sturm,18,1,9,"11,11%",575
146,"Gülselam, Ceyhun",Hannover 96,Mittelfeld,18,1,18,"5,56%",1223
146,"Sakai, Gōtoku",VfB Stuttgart,Abwehr,18,1,9,"11,11%",1441
146,"Durm, Erik",Borussia Dortmund,Abwehr,18,1,11,"9,09%",1585
146,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,17,1,16,"6,25%",978
146,"Andreasen, Leon",Hannover 96,Mittelfeld,17,1,15,"6,67%",970
146,"Niemeyer, Peter",Hertha BSC,Mittelfeld,17,1,7,"14,29%",907
146,"Clemens, Christian",1. FSV Mainz 05,Mittelfeld,17,1,17,"5,88%",692
146,"Ndjeng, Marcel",Hertha BSC,Mittelfeld,16,1,9,"11,11%",1110
146,"Langkamp, Sebastian",Hertha BSC,Abwehr,16,1,5,"20,00%",1357
146,"Bargfrede, Philipp",Werder Bremen,Mittelfeld,16,1,20,"5,00%",1257
146,"Đurđić, Nikola",FC Augsburg,Sturm,16,1,8,"12,50%",639
146,"Gerhardt, Yannick",1. FC Köln,Mittelfeld,16,1,13,"7,69%",837
146,"Benatia, Medhi",Bayern München,Abwehr,15,1,10,"10,00%",1153
146,"Süle, Niklas",1899 Hoffenheim,Abwehr,15,1,9,"11,11%",1270
146,"Schürrle, André",VfL Wolfsburg,Sturm,14,1,25,"4,00%",666
146,"Heitinga, John",Hertha BSC,Abwehr,13,1,2,"50,00%",936
146,"Weiser, Mitchell",Bayern München,Mittelfeld,13,1,7,"14,29%",781
146,"Mölders, Sascha",FC Augsburg,Sturm,12,1,11,"9,09%",355
146,"Klose, Timm",VfL Wolfsburg,Abwehr,12,1,2,"50,00%",960
146,Cléber,Hamburger SV,Abwehr,12,1,13,"7,69%",1030
146,"Rajković, Slobodan",Hamburger SV,Abwehr,11,1,4,"25,00%",979
146,"Sağlık, Mahir",SC Paderborn 07,Sturm,11,1,13,"7,69%",309
146,"Ayçiçek, Levent",Werder Bremen,Mittelfeld,11,1,11,"9,09%",544
146,"Valdez, Nelson",Eintracht Frankfurt,Sturm,10,1,15,"6,67%",519
146,"Finne, Bård",1. FC Köln,Sturm,10,1,9,"11,11%",246
146,"Zoller, Simon",1. FC Köln,Sturm,9,1,9,"11,11%",487
146,"Shaqiri, Xherdan",Bayern München,Mittelfeld,9,1,12,"8,33%",343
146,"Ducksch, Marvin",SC Paderborn 07,Sturm,9,1,6,"16,67%",214
146,"Busch, Marnon",Werder Bremen,Abwehr,9,1,4,"25,00%",427
146,"Kerk, Sebastian",SC Freiburg,Mittelfeld,9,1,6,"16,67%",279
146,"Vucinovic, Marc",SC Paderborn 07,Mittelfeld,8,1,7,"14,29%",328
146,"Gruezo, Carlos",VfB Stuttgart,Mittelfeld,8,1,3,"33,33%",442
146,Deyverson,1. FC Köln,Sturm,8,1,9,"11,11%",340
146,"Şahin, Nuri",Borussia Dortmund,Mittelfeld,7,1,13,"7,69%",545
146,"Ya Konan, Didier",Hannover 96,Sturm,7,1,7,"14,29%",313
146,"Höhn, Immanuel",SC Freiburg,Abwehr,7,1,3,"33,33%",541
146,"Caldirola, Luca",Werder Bremen,Abwehr,7,1,1,"100,00%",472
146,"Kadlec, Václav",Eintracht Frankfurt,Sturm,4,1,9,"11,11%",118
146,"Lorenzen, Melvyn",Werder Bremen,Sturm,3,1,2,"50,00%",146
