No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
1,"Meier, Alexander",Eintracht Frankfurt,Sturm,26,19,79,"24,05%","116,42"
2,"Lewandowski, Robert",Bayern München,Sturm,31,17,105,"16,19%","146,53"
2,"Robben, Arjen",Bayern München,Sturm,21,17,89,"19,10%","98,82"
4,"Aubameyang, Pierre-Emerick",Borussia Dortmund,Sturm,33,16,102,"15,69%","170,19"
4,"Dost, Bas",VfL Wolfsburg,Sturm,21,16,43,"37,21%","95,88"
6,"Müller, Thomas",Bayern München,Sturm,32,13,84,"15,48%","182,85"
6,"Di Santo, Franco",Werder Bremen,Sturm,26,13,54,"24,07%","176,92"
8,"Bellarabi, Karim",Bayer Leverkusen,Mittelfeld,33,12,105,"11,43%","227,17"
8,"Okazaki, Shinji",1. FSV Mainz 05,Sturm,32,12,59,"20,34%","232,42"
8,Raffael,Bor. Mönchengladbach,Sturm,31,12,67,"17,91%","198,5"
11,"Kruse, Max",Bor. Mönchengladbach,Sturm,32,11,65,"16,92%","235,55"
11,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,32,11,50,"22,00%","200,73"
11,"Son, Heung-min",Bayer Leverkusen,Sturm,30,11,63,"17,46%","208,45"
14,"De Bruyne, Kevin",VfL Wolfsburg,Mittelfeld,34,10,96,"10,42%","305,2"
14,"Bobadilla, Raúl",FC Augsburg,Sturm,32,10,83,"12,05%","262,1"
14,"Seferović, Haris",Eintracht Frankfurt,Sturm,32,10,93,"10,75%","284,9"
14,"Ujah, Anthony",1. FC Köln,Sturm,32,10,59,"16,95%","235,7"
14,"Stindl, Lars",Hannover 96,Mittelfeld,21,10,51,"19,61%",180
19,"Kießling, Stefan",Bayer Leverkusen,Sturm,34,9,56,"16,07%","286,56"
19,"Götze, Mario",Bayern München,Mittelfeld,32,9,60,"15,00%","250,33"
19,"Choupo-Moting, Eric Maxim",FC Schalke 04,Sturm,31,9,68,"13,24%","284,11"
19,"Selke, Davie",Werder Bremen,Sturm,30,9,43,"20,93%","221,78"
19,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,28,9,74,"12,16%",271
19,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,28,9,43,"20,93%","233,33"
19,"Harnik, Martin",VfB Stuttgart,Sturm,28,9,52,"17,31%","249,67"
19,"Petersen, Nils",SC Freiburg,Sturm,19,9,23,"39,13%",82
27,"Çalhanoğlu, Hakan",Bayer Leverkusen,Mittelfeld,33,8,105,"7,62%","315,25"
27,"Volland, Kevin",1899 Hoffenheim,Sturm,32,8,84,"9,52%","334,13"
27,"Werner, Tobias",FC Augsburg,Mittelfeld,31,8,67,"11,94%","329,25"
27,Joselu,Hannover 96,Sturm,30,8,79,"10,13%","309,75"
