No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
1,Felipe Santana,Borussia Dortmund,Abwehr,21,"72,63%","9,86",207
2,"Rajković, Slobodan",Hamburger SV,Abwehr,13,"72,22%",9,117
3,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,26,"71,24%","12,19",317
4,"Papadopoulos, Kyriakos",FC Schalke 04,Abwehr,10,"70,00%",14,140
5,"Matip, Joel",FC Schalke 04,Abwehr,32,"68,41%","10,22",327
6,"Pogatetz, Emanuel",VfL Wolfsburg,Abwehr,8,"67,41%","11,38",91
7,"Subotić, Neven",Borussia Dortmund,Abwehr,25,"67,21%","9,92",248
8,Naldo,VfL Wolfsburg,Abwehr,31,"67,12%","12,65",392
9,"Badstuber, Holger",Bayern München,Abwehr,12,"66,96%","6,42",77
10,"Kirchhoff, Jan",1. FSV Mainz 05,Abwehr,18,"66,78%","10,94",197
11,"Sobiech, Lasse",SpVgg Greuther Fürth,Abwehr,24,"66,76%","10,04",241
12,"Taşçı, Serdar",VfB Stuttgart,Abwehr,25,"66,31%","9,84",246
13,"Noveski, Nikolče",1. FSV Mainz 05,Abwehr,32,"66,19%","10,22",327
14,"Bungert, Niko",1. FSV Mainz 05,Abwehr,8,"66,04%","8,75",70
15,"Delpierre, Matthieu",1899 Hoffenheim,Abwehr,23,"65,91%","11,35",261
16,"Westermann, Heiko",Hamburger SV,Abwehr,34,"65,87%","13,74",467
17,"Eggimann, Mario",Hannover 96,Abwehr,22,"65,35%",9,198
18,"Kjær, Simon",VfL Wolfsburg,Abwehr,22,"65,26%","9,82",216
19,"Abraham, David",1899 Hoffenheim,Abwehr,12,"65,07%","12,42",149
20,"Vestergaard, Jannik",1899 Hoffenheim,Abwehr,16,"65,06%","10,13",162
21,"Lukimya, Assani",Werder Bremen,Abwehr,22,"64,99%","9,95",219
22,"Mancienne, Michael",Hamburger SV,Abwehr,21,"64,74%","12,24",257
23,"Langkamp, Sebastian",FC Augsburg,Abwehr,11,"64,66%","13,64",150
24,"Verhaegh, Paul",FC Augsburg,Abwehr,17,"64,58%","9,12",155
25,"Krmaš, Pavel",SC Freiburg,Abwehr,17,"64,50%",14,238
26,"Klose, Timm",1. FC Nürnberg,Abwehr,32,"64,42%","10,75",344
27,"Papastathopoulos, Sokratis",Werder Bremen,Abwehr,29,"64,34%","15,86",460
28,Bamba Anderson,Eintracht Frankfurt,Abwehr,28,"64,22%","10,32",289
29,"Malezas, Stelios",Fortuna Düsseldorf,Abwehr,21,"64,18%","8,19",172
30,"Djourou, Johan",Hannover 96,Abwehr,14,"64,11%","9,57",134
31,"Höwedes, Benedikt",FC Schalke 04,Abwehr,32,"64,02%","11,84",379
32,"Boateng, Jérôme",Bayern München,Abwehr,26,"63,55%","7,85",204
33,Domínguez,Bor. Mönchengladbach,Abwehr,30,"63,37%","10,27",308
34,"Wollscheid, Philipp",Bayer Leverkusen,Abwehr,31,"63,28%","9,84",305
35,"Kleine, Thomas",SpVgg Greuther Fürth,Abwehr,22,"63,27%","8,45",186
36,"Latka, Martin",Fortuna Düsseldorf,Abwehr,13,"63,16%","9,23",120
37,"Zambrano, Carlos",Eintracht Frankfurt,Abwehr,30,"63,14%","11,13",334
38,"Haggui, Karim",Hannover 96,Abwehr,22,"63,11%","9,95",219
39,"Mavraj, Mergim",SpVgg Greuther Fürth,Abwehr,32,"62,93%","11,94",382
40,"Molinaro, Cristian",VfB Stuttgart,Abwehr,25,"62,83%","8,52",213
41,"Nilsson, Per",1. FC Nürnberg,Abwehr,29,"62,79%","10,41",302
42,Javi Martínez,Bayern München,Abwehr,27,"62,74%","10,85",293
43,Dante,Bayern München,Abwehr,29,"62,53%","8,17",237
