No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
44,Juanan,Fortuna Düsseldorf,Abwehr,15,"62,50%","6,67",100
45,"Van Buyten, Daniel",Bayern München,Abwehr,13,"62,41%","6,77",88
46,"Schwaab, Daniel",Bayer Leverkusen,Abwehr,16,"62,41%","5,19",83
47,"Bruma, Jeffrey",Hamburger SV,Abwehr,18,"62,39%","7,83",141
48,Maza,VfB Stuttgart,Abwehr,14,"62,38%",9,126
49,"Madlung, Alexander",VfL Wolfsburg,Abwehr,15,"61,98%",5,75
50,"Fritz, Clemens",Werder Bremen,Abwehr,22,"61,88%","10,77",237
51,"Lahm, Philipp",Bayern München,Abwehr,29,"61,75%","7,07",205
52,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,31,"61,69%","11,32",351
53,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,24,"61,44%","9,63",231
54,"Boenisch, Sebastian",Bayer Leverkusen,Abwehr,15,"61,18%","9,67",145
55,"Brouwers, Roel",Bor. Mönchengladbach,Abwehr,21,"60,47%","6,19",130
56,"Hummels, Mats",Borussia Dortmund,Abwehr,28,"60,44%","10,86",304
57,"Baumgartlinger, Julian",1. FSV Mainz 05,Mittelfeld,32,"59,86%","13,09",419
58,"Pospěch, Zdeněk",1. FSV Mainz 05,Abwehr,33,"59,69%","9,42",311
59,Luiz Gustavo,Bayern München,Mittelfeld,22,"59,66%","9,68",213
60,"Daems, Filip",Bor. Mönchengladbach,Abwehr,19,"59,57%","8,68",165
61,"Svensson, Bo",1. FSV Mainz 05,Abwehr,25,"59,50%","8,52",213
62,"Balogun, Leon",Fortuna Düsseldorf,Abwehr,17,"59,49%","13,65",232
63,"Cherundolo, Steven",Hannover 96,Abwehr,20,"59,26%","9,6",192
64,"Langeneke, Jens",Fortuna Düsseldorf,Abwehr,16,"58,66%","6,56",105
65,"Prödl, Sebastian",Werder Bremen,Abwehr,28,"58,50%","9,21",258
66,"Schwegler, Pirmin",Eintracht Frankfurt,Mittelfeld,27,"58,42%","13,11",354
67,"Niedermeier, Georg",VfB Stuttgart,Abwehr,27,"58,32%","10,52",284
68,"Pinola, Javier",1. FC Nürnberg,Abwehr,28,"58,17%","10,93",306
69,"de Jong, Marcel",FC Augsburg,Abwehr,20,"58,04%","8,3",166
70,"Kadlec, Michal",Bayer Leverkusen,Abwehr,14,"57,72%","10,14",142
71,"Levels, Tobias",Fortuna Düsseldorf,Abwehr,19,"57,56%","10,42",198
72,"Compper, Marvin",1899 Hoffenheim,Abwehr,16,"57,52%","9,56",153
73,"Jung, Sebastian",Eintracht Frankfurt,Abwehr,32,"57,50%","8,63",276
74,"Diagné, Fallou",SC Freiburg,Abwehr,30,"57,45%",9,270
75,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,21,"57,32%","6,71",141
76,"Ignjovski, Aleksandar",Werder Bremen,Mittelfeld,20,"57,18%","12,35",247
77,"Klavan, Ragnar",FC Augsburg,Abwehr,30,"57,14%","8,67",260
78,"Baba, Abdul Rahman",SpVgg Greuther Fürth,Abwehr,20,"56,92%","10,9",218
79,"Neustädter, Roman",FC Schalke 04,Mittelfeld,31,"56,91%","10,1",313
80,"Boka, Arthur",VfB Stuttgart,Abwehr,25,"56,73%","10,96",274
81,"Ostrzolek, Matthias",FC Augsburg,Abwehr,25,"56,69%",10,250
82,"Sakai, Gōtoku",VfB Stuttgart,Abwehr,27,"56,67%","10,7",289
83,"Bender, Lars",Bayer Leverkusen,Mittelfeld,33,"56,63%","13,45",444
84,"Bender, Sven",Borussia Dortmund,Mittelfeld,20,"56,62%","10,05",201
85,"Sorg, Oliver",SC Freiburg,Abwehr,32,"56,58%","12,5",400
86,"Johnson, Fabian",1899 Hoffenheim,Abwehr,31,"56,56%","8,06",250
87,"Toprak, Ömer",Bayer Leverkusen,Abwehr,26,"56,56%","7,96",207
88,"Zabavník, Radoslav",1. FSV Mainz 05,Abwehr,17,"56,52%","9,18",156
89,"Ginter, Matthias",SC Freiburg,Abwehr,23,"56,35%","7,91",182
90,"Fink, Oliver",Fortuna Düsseldorf,Mittelfeld,26,"56,34%","14,69",382
91,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,27,"56,20%","9,74",263
92,"Kehl, Sebastian",Borussia Dortmund,Mittelfeld,22,"56,11%","7,73",170
93,"Beck, Andreas",1899 Hoffenheim,Abwehr,31,"56,08%","11,9",369
94,"Şahin, Nuri",Borussia Dortmund,Mittelfeld,15,"55,51%","8,73",131
95,"Díaz, Júnior",1. FSV Mainz 05,Abwehr,18,"55,42%","9,94",179
96,"Russ, Marco",Eintracht Frankfurt,Abwehr,10,"55,35%","8,8",88
97,"Alaba, David",Bayern München,Abwehr,23,"55,16%","8,13",187
98,"Oczipka, Bastian",Eintracht Frankfurt,Abwehr,33,"55,09%","8,85",292
99,"Makiadi, Cédric",SC Freiburg,Mittelfeld,29,"55,07%","12,72",369
100,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,24,"55,01%","9,38",225
101,"Schäfer, Marcel",VfL Wolfsburg,Abwehr,31,"54,98%","5,52",171
102,"Chandler, Timothy",1. FC Nürnberg,Abwehr,30,"54,58%","9,53",286
103,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,28,"54,50%","11,25",315
104,"Jones, Jermaine",FC Schalke 04,Mittelfeld,25,"54,46%","14,16",354
105,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,23,"54,26%","11,09",255
106,"Rode, Sebastian",Eintracht Frankfurt,Mittelfeld,33,"54,17%","11,21",370
107,"Plattenhardt, Marvin",1. FC Nürnberg,Abwehr,14,"54,14%","6,07",85
108,"Peković, Milorad",SpVgg Greuther Fürth,Mittelfeld,18,"54,12%","10,94",197
109,"Jansen, Marcell",Hamburger SV,Abwehr,28,"54,12%","12,68",355
110,"van den Bergh, Johannes",Fortuna Düsseldorf,Abwehr,33,"53,92%","6,88",227
111,"Bodzek, Adam",Fortuna Düsseldorf,Mittelfeld,29,"53,90%","11,45",332
112,"Schmelzer, Marcel",Borussia Dortmund,Abwehr,29,"53,74%","9,41",273
113,"Nehrig, Bernd",SpVgg Greuther Fürth,Mittelfeld,26,"53,73%","8,31",216
114,"Kolašinac, Sead",FC Schalke 04,Abwehr,16,"53,73%","8,56",137
115,"Balitsch, Hanno",1. FC Nürnberg,Mittelfeld,33,"53,63%","10,06",332
116,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,29,"53,59%","8,48",246
117,"Knoche, Robin",VfL Wolfsburg,Abwehr,11,"53,53%","8,27",91
118,Dani Carvajal,Bayer Leverkusen,Abwehr,32,"53,51%","11,69",374
119,"Polák, Jan",VfL Wolfsburg,Mittelfeld,27,"53,50%","10,48",283
120,"Polanski, Eugen",1899 Hoffenheim,Mittelfeld,23,"53,43%","8,13",187
121,"Ottl, Andreas",FC Augsburg,Mittelfeld,13,"53,19%","5,77",75
122,Fágner,VfL Wolfsburg,Abwehr,26,"53,18%","11,27",293
123,"Schulz, Christian",Hannover 96,Abwehr,19,"53,16%","10,63",202
124,"Uchida, Atsuto",FC Schalke 04,Abwehr,24,"53,10%","8,21",197
125,"Baier, Daniel",FC Augsburg,Mittelfeld,33,"53,01%","12,27",405
126,"Mujdža, Mensur",SC Freiburg,Abwehr,23,"53,01%","8,04",185
127,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,29,"52,93%","8,72",253
128,"Kvist, William",VfB Stuttgart,Mittelfeld,23,"52,86%","9,65",222
129,Josué,VfL Wolfsburg,Mittelfeld,16,"52,85%","10,44",167
130,"Simons, Timmy",1. FC Nürnberg,Mittelfeld,34,"52,74%","9,91",337
131,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,30,"52,51%","7,33",220
132,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,31,"52,33%","7,61",236
133,"Schmitz, Lukas",Werder Bremen,Abwehr,23,"52,16%","8,39",193
134,"Fuchs, Christian",FC Schalke 04,Abwehr,29,"51,91%","8,41",244
135,"Chahed, Sofian",Hannover 96,Mittelfeld,13,"51,88%","5,31",69
136,"Sankoh, Gibril",FC Augsburg,Abwehr,11,"51,85%","6,36",70
137,"Kroos, Toni",Bayern München,Mittelfeld,24,"51,80%","7,79",187
138,"Pocognoli, Sébastien",Hannover 96,Abwehr,11,"51,76%",8,88
139,"Afellay, Ibrahim",FC Schalke 04,Mittelfeld,10,"51,67%","6,2",62
140,"Rüdiger, Antonio",VfB Stuttgart,Abwehr,16,"51,61%",6,96
141,"Marx, Thorben",Bor. Mönchengladbach,Mittelfeld,23,"51,53%","8,04",185
142,"Rincón, Tomás",Hamburger SV,Mittelfeld,20,"51,41%","6,4",128
143,"Diekmeier, Dennis",Hamburger SV,Abwehr,32,"51,40%","8,63",276
144,"Arango, Juan",Bor. Mönchengladbach,Mittelfeld,31,"50,97%","11,03",342
145,"Tesche, Robert",Fortuna Düsseldorf,Mittelfeld,18,"50,83%","8,5",153
146,"Badelj, Milan",Hamburger SV,Mittelfeld,31,"50,62%","11,77",365
147,"Schuster, Julian",SC Freiburg,Mittelfeld,31,"50,60%","9,52",295
148,"Aogo, Dennis",Hamburger SV,Abwehr,27,"50,50%","5,59",151
149,"Błaszczykowski, Jakub",Borussia Dortmund,Mittelfeld,27,"50,31%","8,89",240
150,"Vogt, Kevin",FC Augsburg,Mittelfeld,28,"50,30%","5,93",166
151,"Hasebe, Makoto",VfL Wolfsburg,Mittelfeld,23,"50,29%","7,61",175
152,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,30,"50,00%","10,83",325
152,"Williams, Daniel",1899 Hoffenheim,Mittelfeld,21,"50,00%","8,05",169
152,"Hosogai, Hajime",Bayer Leverkusen,Mittelfeld,17,"50,00%","4,35",74
155,"Höger, Marco",FC Schalke 04,Mittelfeld,22,"49,87%","8,73",192
156,Sérgio da Silva Pinto,Hannover 96,Mittelfeld,30,"49,68%","7,73",232
157,Diego,VfL Wolfsburg,Mittelfeld,32,"49,58%","11,06",354
158,"Salihović, Sejad",1899 Hoffenheim,Mittelfeld,20,"49,49%","9,65",193
159,"Skjelbred, Per",Hamburger SV,Mittelfeld,18,"49,43%","7,22",130
160,"Gentner, Christian",VfB Stuttgart,Mittelfeld,34,"49,39%","9,59",326
161,"Träsch, Christian",VfL Wolfsburg,Abwehr,17,"49,28%",6,102
162,"Bargfrede, Philipp",Werder Bremen,Mittelfeld,13,"49,20%","7,08",92
163,"Schmidtgal, Heinrich",SpVgg Greuther Fürth,Abwehr,18,"49,17%","9,89",178
164,"Kießling, Stefan",Bayer Leverkusen,Sturm,34,"49,09%","18,21",619
165,"Caligiuri, Marco",1. FSV Mainz 05,Mittelfeld,22,"49,06%","5,95",131
166,"Kuzmanović, Zdravko",VfB Stuttgart,Mittelfeld,12,"48,82%","5,17",62
167,"Gündoğan, İlkay",Borussia Dortmund,Mittelfeld,28,"48,74%","8,96",251
168,"Fürstner, Stephan",SpVgg Greuther Fürth,Mittelfeld,30,"48,68%","9,23",277
169,"Pander, Christian",Hannover 96,Abwehr,18,"48,63%","3,94",71
170,"Rausch, Konstantin",Hannover 96,Mittelfeld,30,"48,61%","6,43",193
171,"Zimling, Niki",1. FSV Mainz 05,Mittelfeld,13,"48,42%","7,08",92
172,"Leitner, Moritz",Borussia Dortmund,Mittelfeld,25,"48,37%","4,76",119
173,"Soto, Elkin",1. FSV Mainz 05,Mittelfeld,28,"48,21%","7,68",215
174,"Hoffmann, André",Hannover 96,Mittelfeld,16,"47,97%","7,38",118
175,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,11,"47,95%","7,45",82
176,Vieirinha,VfL Wolfsburg,Mittelfeld,27,"47,84%","9,04",244
177,"Sakai, Hiroki",Hannover 96,Abwehr,13,"47,83%","5,92",77
178,"Großkreutz, Kevin",Borussia Dortmund,Mittelfeld,29,"47,75%","5,48",159
179,"Usami, Takashi",1899 Hoffenheim,Mittelfeld,20,"47,64%","7,05",141
180,"Hahn, André",FC Augsburg,Mittelfeld,16,"47,57%","12,25",196
181,"Petsos, Thanos",SpVgg Greuther Fürth,Mittelfeld,14,"47,57%","6,29",88
182,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,14,"47,51%","6,14",86
183,"Schmiedebach, Manuel",Hannover 96,Mittelfeld,21,"47,50%","9,05",190
184,"Ilsø, Ken",Fortuna Düsseldorf,Sturm,27,"47,30%","4,22",114
185,"Ochs, Patrick",1899 Hoffenheim,Abwehr,12,"47,24%",5,60
186,"Lambertz, Andreas",Fortuna Düsseldorf,Mittelfeld,28,"47,13%","12,32",345
187,"Hunt, Aaron",Werder Bremen,Mittelfeld,28,"46,95%","9,89",277
188,"Mandžukić, Mario",Bayern München,Sturm,24,"46,95%","9,29",223
189,"Gomez, Mario",Bayern München,Sturm,21,"46,93%",4,84
190,"Pizarro, Claudio",Bayern München,Sturm,20,"46,84%","4,45",89
191,"Meier, Alexander",Eintracht Frankfurt,Sturm,31,"46,78%","11,97",371
192,"Xhaka, Granit",Bor. Mönchengladbach,Mittelfeld,22,"46,78%","7,59",167
193,"Hegeler, Jens",Bayer Leverkusen,Mittelfeld,27,"46,77%","4,56",123
194,"Hanke, Mike",Bor. Mönchengladbach,Sturm,32,"46,70%","5,53",177
195,"Holtby, Lewis",FC Schalke 04,Mittelfeld,19,"46,65%","9,16",174
196,"Esswein, Alexander",1. FC Nürnberg,Sturm,27,"46,60%","6,85",185
197,"Traoré, Ibrahima",VfB Stuttgart,Mittelfeld,32,"46,58%","9,16",293
198,"Koo, Ja-cheol",FC Augsburg,Mittelfeld,21,"46,45%","9,05",190
199,"Draxler, Julian",FC Schalke 04,Mittelfeld,30,"46,36%","6,8",204
200,"Gebhart, Timo",1. FC Nürnberg,Mittelfeld,18,"46,14%","10,61",191
201,"Müller, Thomas",Bayern München,Sturm,28,"46,06%","9,39",263
202,"Feulner, Markus",1. FC Nürnberg,Mittelfeld,23,"46,04%","9,61",221
203,"Weis, Tobias",1899 Hoffenheim,Mittelfeld,18,"45,96%","9,17",165
204,"Zimmermann, Matthias",SpVgg Greuther Fürth,Abwehr,15,"45,93%","7,53",113
205,"Perišić, Ivan",VfL Wolfsburg,Mittelfeld,25,"45,85%","4,2",105
206,"Caligiuri, Daniel",SC Freiburg,Mittelfeld,29,"45,73%","15,52",450
207,"Robben, Arjen",Bayern München,Sturm,16,"45,64%","5,56",89
208,Joselu,1899 Hoffenheim,Sturm,25,"45,64%",9,225
209,"Risse, Marcel",1. FSV Mainz 05,Mittelfeld,21,"45,32%",3,63
210,"Bellinghausen, Axel",Fortuna Düsseldorf,Mittelfeld,31,"44,97%","8,94",277
211,"Ribéry, Franck",Bayern München,Mittelfeld,27,"44,96%","11,74",317
212,"Ciğerci, Tolga",Bor. Mönchengladbach,Mittelfeld,12,"44,60%","7,92",95
213,"Morávek, Jan",FC Augsburg,Mittelfeld,21,"44,52%","9,48",199
214,"Bancé, Aristide",FC Augsburg,Sturm,18,"44,49%","6,5",117
215,"Flum, Johannes",SC Freiburg,Mittelfeld,26,"44,44%","4,62",120
216,"Klaus, Felix",SpVgg Greuther Fürth,Mittelfeld,24,"44,32%","8,46",203
217,"Reus, Marco",Borussia Dortmund,Sturm,32,"44,27%","9,78",313
218,"Occéan, Olivier",Eintracht Frankfurt,Sturm,18,"44,13%","7,72",139
219,Raffael,FC Schalke 04,Mittelfeld,16,"44,07%","6,5",104
219,"Hedenstad, Vegar",SC Freiburg,Abwehr,16,"44,07%","4,88",78
221,Roberto Firmino,1899 Hoffenheim,Mittelfeld,33,"44,05%","11,67",385
222,"Schmid, Jonathan",SC Freiburg,Mittelfeld,33,"43,97%","8,18",270
223,"Kiyotake, Hiroshi",1. FC Nürnberg,Mittelfeld,31,"43,85%","5,52",171
224,"Dost, Bas",VfL Wolfsburg,Sturm,28,"43,83%","6,21",174
225,"Stindl, Lars",Hannover 96,Mittelfeld,18,"43,75%","10,5",189
226,"de Camargo, Igor",1899 Hoffenheim,Sturm,22,"43,60%","6,5",143
227,Michel Bastos,FC Schalke 04,Mittelfeld,14,"43,57%","8,71",122
228,"Holzhauser, Raphael",VfB Stuttgart,Mittelfeld,21,"43,33%","5,57",117
229,"Götze, Mario",Borussia Dortmund,Mittelfeld,28,"43,11%","10,5",294
230,"Farfán, Jefferson",FC Schalke 04,Sturm,27,"43,04%","9,85",266
231,"Frantz, Mike",1. FC Nürnberg,Mittelfeld,27,"42,99%","6,93",187
232,"Abdellaoue, Mohammed",Hannover 96,Sturm,26,"42,86%","4,15",108
233,"Werner, Tobias",FC Augsburg,Mittelfeld,30,"42,83%","7,17",215
234,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,34,"42,75%","8,32",283
235,"Arslan, Tolgay",Hamburger SV,Mittelfeld,25,"42,70%","7,72",193
236,"Schürrle, André",Bayer Leverkusen,Sturm,34,"42,70%","7,82",266
237,"Pekhart, Tomáš",1. FC Nürnberg,Sturm,31,"42,64%","8,32",258
238,"Shaqiri, Xherdan",Bayern München,Mittelfeld,26,"42,53%","4,27",111
239,"Kruse, Robbie",Fortuna Düsseldorf,Mittelfeld,30,"42,17%","9,87",296
240,"Asamoah, Gerald",SpVgg Greuther Fürth,Sturm,17,"42,13%","9,29",158
241,"Castro, Gonzalo",Bayer Leverkusen,Mittelfeld,31,"42,04%","6,65",206
242,"Polter, Sebastian",1. FC Nürnberg,Sturm,26,"41,83%","6,69",174
243,"De Bruyne, Kevin",Werder Bremen,Mittelfeld,33,"41,77%","9,45",312
244,"Derdiyok, Eren",1899 Hoffenheim,Sturm,19,"41,75%","4,26",81
245,"Ji, Dong-won",FC Augsburg,Sturm,17,"41,52%","9,94",169
246,"Harnik, Martin",VfB Stuttgart,Sturm,30,"41,45%","11,97",359
247,"Celozzi, Stefano",Eintracht Frankfurt,Abwehr,27,"41,40%","2,85",77
248,"Schlaudraff, Jan",Hannover 96,Sturm,30,"41,39%","3,77",113
249,"Diouf, Mame",Hannover 96,Sturm,28,"41,30%","10,18",285
250,"Huszti, Szabolcs",Hannover 96,Mittelfeld,21,"41,24%","8,86",186
251,"Rosenthal, Jan",SC Freiburg,Mittelfeld,20,"41,23%","8,7",174
252,"Müller, Nicolai",1. FSV Mainz 05,Mittelfeld,32,"41,22%","9,31",298
253,"Mak, Róbert",1. FC Nürnberg,Sturm,19,"41,15%","5,63",107
254,"Jiráček, Petr",Hamburger SV,Mittelfeld,13,"40,93%","7,46",97
255,"Musona, Knowledge",FC Augsburg,Sturm,14,"40,89%","5,93",83
256,"Azemi, Ilir",SpVgg Greuther Fürth,Sturm,21,"40,83%","4,67",98
257,"Volland, Kevin",1899 Hoffenheim,Sturm,34,"40,44%","10,32",351
258,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,32,"40,34%","7,44",238
259,"Arnautović, Marko",Werder Bremen,Sturm,26,"40,20%","7,88",205
260,"Schieber, Julian",Borussia Dortmund,Sturm,23,"40,14%","5,13",118
261,"Schahin, Dani",Fortuna Düsseldorf,Sturm,31,"40,13%",8,248
262,"Okazaki, Shinji",VfB Stuttgart,Sturm,25,"40,00%","5,04",126
263,"Ivanschitz, Andreas",1. FSV Mainz 05,Mittelfeld,31,"39,92%","6,13",190
264,"Stieber, Zoltán",SpVgg Greuther Fürth,Mittelfeld,16,"39,74%","5,81",93
265,"Prib, Edgar",SpVgg Greuther Fürth,Mittelfeld,27,"39,72%","9,44",255
266,"Đurđić, Nikola",SpVgg Greuther Fürth,Sturm,15,"39,66%","9,2",138
267,"Kruse, Max",SC Freiburg,Sturm,34,"39,60%","7,06",240
268,"de Jong, Luuk",Bor. Mönchengladbach,Sturm,23,"39,37%","9,17",211
269,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,26,"38,98%","6,73",175
270,"Rupp, Lukas",Bor. Mönchengladbach,Mittelfeld,21,"38,76%","5,67",119
271,"Petersen, Nils",Werder Bremen,Sturm,34,"38,72%","9,09",309
272,"Guédé, Karim",SC Freiburg,Mittelfeld,21,"38,46%","6,67",140
273,"Sobiech, Artur",Hannover 96,Sturm,25,"38,42%","5,24",131
274,"Sararer, Sercan",SpVgg Greuther Fürth,Mittelfeld,22,"38,40%","9,18",202
275,"Lewandowski, Robert",Borussia Dortmund,Sturm,31,"38,17%","11,45",355
276,"Elia, Eljero",Werder Bremen,Sturm,24,"38,17%","7,46",179
277,"van der Vaart, Rafael",Hamburger SV,Mittelfeld,27,"38,09%","7,81",211
278,"Ibišević, Vedad",VfB Stuttgart,Sturm,30,"37,92%","10,47",314
279,"Son, Heung-min",Hamburger SV,Sturm,33,"37,75%","6,91",228
280,"Matmour, Karim",Eintracht Frankfurt,Sturm,24,"36,98%","4,79",115
281,"Oehrl, Torsten",FC Augsburg,Sturm,27,"36,88%","5,26",142
282,"Szalai, Ádám",1. FSV Mainz 05,Sturm,29,"36,46%",11,319
283,"Lakić, Srđan",Eintracht Frankfurt,Sturm,22,"36,40%","4,14",91
284,"Inui, Takashi",Eintracht Frankfurt,Mittelfeld,33,"35,91%","6,33",209
285,"Ya Konan, Didier",Hannover 96,Sturm,28,"35,78%",8,224
286,"Marica, Ciprian",FC Schalke 04,Sturm,13,"35,10%","6,62",86
287,"Sam, Sidney",Bayer Leverkusen,Mittelfeld,22,"34,88%","4,45",98
288,"Parker, Shawn",1. FSV Mainz 05,Sturm,16,"34,54%","4,19",67
289,"Mölders, Sascha",FC Augsburg,Sturm,24,"34,43%","9,13",219
290,"Beister, Maximilian",Hamburger SV,Mittelfeld,23,"34,04%","3,48",80
291,"Reisinger, Stefan",Fortuna Düsseldorf,Sturm,24,"33,91%","4,08",98
292,"Olić, Ivica",VfL Wolfsburg,Sturm,32,"33,82%","8,03",257
293,Edu,FC Schalke 04,Sturm,11,"33,33%","6,55",72
294,"Rudņevs, Artjoms",Hamburger SV,Sturm,34,"31,27%","6,82",232
