No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
1,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,19,"74,70%","9,79",186
2,"Badstuber, Holger",Bayern München,Abwehr,10,"68,91%","8,2",82
3,"Bungert, Niko",1. FSV Mainz 05,Abwehr,26,"67,89%","9,27",241
4,Naldo,VfL Wolfsburg,Abwehr,32,"67,26%","13,03",417
5,"Süle, Niklas",1899 Hoffenheim,Abwehr,15,"67,00%","9,07",136
6,"Benatia, Medhi",Bayern München,Abwehr,15,"66,96%","10,27",154
7,"Sané, Salif",Hannover 96,Abwehr,18,"66,34%","14,89",268
8,"Mitrovič, Stefan",SC Freiburg,Abwehr,14,"66,00%","9,43",132
9,"Subotić, Neven",Borussia Dortmund,Abwehr,28,"65,73%","11,71",328
10,"Klavan, Ragnar",FC Augsburg,Abwehr,34,"65,54%","10,29",350
11,"Schäfer, Marcel",VfL Wolfsburg,Abwehr,16,"65,44%","5,56",89
12,"Brooks, John Anthony",Hertha BSC,Abwehr,27,"65,00%","8,67",234
12,"Boateng, Jérôme",Bayern München,Abwehr,27,"65,00%","7,7",208
14,"Hummels, Mats",Borussia Dortmund,Abwehr,24,"64,92%","13,96",335
15,"Djourou, Johan",Hamburger SV,Abwehr,32,"64,89%","9,88",316
16,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,31,"64,29%","10,45",324
17,"Langkamp, Sebastian",Hertha BSC,Abwehr,16,"64,23%","10,44",167
18,Marcelo,Hannover 96,Abwehr,34,"64,18%","11,38",387
19,"Nastasić, Matija",FC Schalke 04,Abwehr,16,"63,96%","11,31",181
20,"Spahić, Emir",Bayer Leverkusen,Abwehr,22,"63,91%","13,68",301
21,"Matip, Joel",FC Schalke 04,Abwehr,21,"63,45%","8,76",184
22,"Hong, Jeong-ho",FC Augsburg,Abwehr,17,"63,35%","8,24",140
23,"Hünemeier, Uwe",SC Paderborn 07,Abwehr,32,"63,27%","10,28",329
24,"Zambrano, Carlos",Eintracht Frankfurt,Abwehr,17,"62,85%","13,24",225
25,"Toprak, Ömer",Bayer Leverkusen,Abwehr,29,"62,75%","10,69",310
26,"Bičakčić, Ermin",1899 Hoffenheim,Abwehr,24,"62,59%","11,08",266
27,"Vestergaard, Jannik",Werder Bremen,Abwehr,21,"62,50%","10,71",225
27,"Brouwers, Roel",Bor. Mönchengladbach,Abwehr,20,"62,50%","5,75",115
29,"Bell, Stefan",1. FSV Mainz 05,Abwehr,31,"62,42%","12,65",392
30,"Baba, Abdul Rahman",FC Augsburg,Abwehr,31,"62,05%","14,45",448
31,"Papadopoulos, Kyriakos",Bayer Leverkusen,Abwehr,14,"61,92%","10,57",148
32,Domínguez,Bor. Mönchengladbach,Abwehr,24,"61,78%","8,08",194
33,"Krmaš, Pavel",SC Freiburg,Abwehr,22,"61,62%","10,73",236
34,"Oczipka, Bastian",Eintracht Frankfurt,Abwehr,30,"61,49%","11,87",356
35,Cléber,Hamburger SV,Abwehr,12,"61,13%","14,42",173
36,"Klose, Timm",VfL Wolfsburg,Abwehr,12,"61,03%","10,83",130
37,"Lukimya, Assani",Werder Bremen,Abwehr,22,"61,02%","9,82",216
38,"Schwaab, Daniel",VfB Stuttgart,Abwehr,31,"60,50%","10,23",317
39,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,26,"60,48%","12,54",326
40,"Wimmer, Kevin",1. FC Köln,Abwehr,32,"60,43%","8,78",281
41,Dante,Bayern München,Abwehr,27,"60,27%","8,26",223
42,"Hector, Jonas",1. FC Köln,Abwehr,33,"60,21%","13,67",451
43,"Abraham, David",1899 Hoffenheim,Abwehr,14,"60,00%","8,36",117
44,Rafa,SC Paderborn 07,Abwehr,16,"59,75%",9,144
45,"García, Santiago",Werder Bremen,Abwehr,24,"59,72%","14,46",347
46,"Papastathopoulos, Sokratis",Borussia Dortmund,Abwehr,21,"59,67%","12,05",253
47,"Sakai, Hiroki",Hannover 96,Abwehr,27,"59,56%","10,96",296
48,"Verhaegh, Paul",FC Augsburg,Abwehr,27,"59,26%","9,48",256
48,"Diekmeier, Dennis",Hamburger SV,Abwehr,21,"59,26%","9,14",192
50,Torrejón,SC Freiburg,Abwehr,19,"59,20%","7,79",148
51,"Knoche, Robin",VfL Wolfsburg,Abwehr,27,"59,04%","9,56",258
52,"Pekarík, Peter",Hertha BSC,Abwehr,30,"58,98%","10,4",312
53,"Strohdiek, Christian",SC Paderborn 07,Abwehr,22,"58,88%","8,14",179
54,"Maroh, Dominic",1. FC Köln,Abwehr,29,"58,66%","7,24",210
55,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,22,"58,50%","9,23",203
56,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,23,"58,48%","8,7",200
57,"Höwedes, Benedikt",FC Schalke 04,Abwehr,28,"58,37%","10,46",293
58,"Rajković, Slobodan",Hamburger SV,Abwehr,11,"58,26%","11,55",127
59,"Westermann, Heiko",Hamburger SV,Abwehr,28,"58,18%","10,29",288
60,"Lustenberger, Fabian",Hertha BSC,Mittelfeld,27,"58,12%",11,297
61,"Fritz, Clemens",Werder Bremen,Abwehr,27,"57,96%","12,81",346
62,"Prödl, Sebastian",Werder Bremen,Abwehr,22,"57,67%","8,55",188
63,"Alaba, David",Bayern München,Abwehr,19,"57,30%","8,47",161
64,"Durm, Erik",Borussia Dortmund,Abwehr,18,"57,18%","11,72",211
65,Bamba Anderson,Eintracht Frankfurt,Abwehr,22,"57,14%","8,18",180
66,"Ostrzolek, Matthias",Hamburger SV,Abwehr,25,"57,08%","10,48",262
67,"Bender, Lars",Bayer Leverkusen,Mittelfeld,26,"56,91%",16,416
68,"Arslan, Tolgay",Hamburger SV,Mittelfeld,13,"56,80%",9,117
69,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,22,"56,77%","4,95",109
70,"Robben, Arjen",Bayern München,Sturm,21,"56,76%",13,273
71,"Jara, Gonzalo",1. FSV Mainz 05,Abwehr,17,"56,52%","6,12",104
72,"Chandler, Timothy",Eintracht Frankfurt,Abwehr,29,"56,49%","10,66",309
73,"Schulz, Christian",Hannover 96,Abwehr,31,"56,44%","9,19",285
74,"Strobl, Tobias",1899 Hoffenheim,Mittelfeld,30,"56,36%","10,33",310
75,"Kirchhoff, Jan",FC Schalke 04,Abwehr,14,"56,36%","9,5",133
76,"Rüdiger, Antonio",VfB Stuttgart,Abwehr,19,"56,02%","7,84",149
77,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,26,"55,78%","8,35",217
78,"Vrančić, Mario",SC Paderborn 07,Mittelfeld,30,"55,78%","11,27",338
79,Xabi Alonso,Bayern München,Mittelfeld,26,"55,77%","10,96",285
80,"Ribéry, Franck",Bayern München,Mittelfeld,15,"55,56%","12,67",190
81,"Hilbert, Roberto",Bayer Leverkusen,Abwehr,23,"55,44%","11,74",270
82,"Marcos, Ronny",Hamburger SV,Abwehr,9,"55,40%","8,56",77
83,"Baier, Daniel",FC Augsburg,Mittelfeld,34,"55,38%","10,15",345
84,Juan Bernat,Bayern München,Abwehr,31,"55,34%","10,19",316
85,"Bender, Sven",Borussia Dortmund,Mittelfeld,20,"55,07%","11,95",239
86,"Brückner, Daniel",SC Paderborn 07,Mittelfeld,23,"55,05%","11,13",256
87,"Dié, Serey",VfB Stuttgart,Mittelfeld,13,"54,88%","10,38",135
88,"Madlung, Alexander",Eintracht Frankfurt,Abwehr,22,"54,82%","5,68",125
89,"Kittel, Sonny",Eintracht Frankfurt,Mittelfeld,18,"54,74%","5,78",104
90,Wendell,Bayer Leverkusen,Abwehr,26,"54,55%","14,31",372
90,"Rode, Sebastian",Bayern München,Mittelfeld,23,"54,55%",6,138
92,Vieirinha,VfL Wolfsburg,Mittelfeld,31,"54,50%","11,13",345
93,"Plattenhardt, Marvin",Hertha BSC,Abwehr,15,"54,47%","8,53",128
94,"Boenisch, Sebastian",Bayer Leverkusen,Abwehr,12,"54,46%","10,17",122
95,"Xhaka, Granit",Bor. Mönchengladbach,Mittelfeld,30,"54,44%","14,1",423
96,"Beck, Andreas",1899 Hoffenheim,Abwehr,33,"54,28%","11,15",368
97,"Baumgartl, Timo",VfB Stuttgart,Abwehr,20,"54,28%","7,3",146
98,"Kim, Jin-su",1899 Hoffenheim,Abwehr,19,"54,25%","12,11",230
98,"Draxler, Julian",FC Schalke 04,Mittelfeld,15,"54,25%","7,67",115
100,"Kačar, Gojko",Hamburger SV,Mittelfeld,13,"54,13%","10,08",131
101,"Polanski, Eugen",1899 Hoffenheim,Mittelfeld,30,"54,11%","12,73",382
102,"Gülselam, Ceyhun",Hannover 96,Mittelfeld,18,"54,08%","11,06",199
103,"Sakai, Gōtoku",VfB Stuttgart,Abwehr,18,"54,03%","8,94",161
104,"Jansen, Marcell",Hamburger SV,Abwehr,15,"53,95%","12,73",191
105,"Heinloth, Michael",SC Paderborn 07,Abwehr,21,"53,83%","9,71",204
106,"Geis, Johannes",1. FSV Mainz 05,Mittelfeld,34,"53,78%",9,306
107,"Mavraj, Mergim",1. FC Köln,Abwehr,15,"53,73%","7,2",108
108,"Ndjeng, Marcel",Hertha BSC,Mittelfeld,16,"53,68%","9,56",153
109,"Neustädter, Roman",FC Schalke 04,Mittelfeld,29,"53,51%",10,290
110,"Guilavogui, Josuha",VfL Wolfsburg,Mittelfeld,27,"53,44%","9,78",264
111,"Uchida, Atsuto",FC Schalke 04,Abwehr,19,"53,42%","10,26",195
112,"Baumgartlinger, Julian",1. FSV Mainz 05,Mittelfeld,26,"53,20%","13,42",349
113,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,24,"53,08%","9,33",224
114,"Klein, Florian",VfB Stuttgart,Abwehr,34,"53,07%","9,15",311
115,Rafinha,Bayern München,Abwehr,26,"53,02%","7,77",202
116,"Traoré, Ibrahima",Bor. Mönchengladbach,Mittelfeld,24,"53,00%","6,25",150
117,"Riether, Sascha",SC Freiburg,Abwehr,19,"52,89%","6,26",119
118,"Jedvaj, Tin",Bayer Leverkusen,Abwehr,22,"52,88%","8,77",193
119,"Ziegler, Patrick",SC Paderborn 07,Abwehr,27,"52,67%","9,85",266
120,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,26,"52,63%","11,54",300
121,"Korb, Julian",Bor. Mönchengladbach,Abwehr,24,"52,37%","8,75",210
122,"Albornoz, Miiko",Hannover 96,Abwehr,28,"52,35%","9,93",278
123,Luiz Gustavo,VfL Wolfsburg,Mittelfeld,31,"52,35%","12,23",379
124,"Park, Joo-ho",1. FSV Mainz 05,Abwehr,16,"52,34%","10,5",168
125,"Brečko, Mišo",1. FC Köln,Abwehr,19,"52,19%","7,53",143
126,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,17,"52,16%","7,82",133
127,"Schwegler, Pirmin",1899 Hoffenheim,Mittelfeld,28,"52,11%","11,89",333
128,"Kostić, Filip",VfB Stuttgart,Mittelfeld,29,"52,06%","9,59",278
129,"Ginter, Matthias",Borussia Dortmund,Abwehr,14,"52,04%","8,21",115
130,"Kempf, Marc-Oliver",SC Freiburg,Abwehr,13,"52,02%","8,92",116
131,Oriol Romeu,VfB Stuttgart,Mittelfeld,27,"52,01%","9,11",246
132,"Kohr, Dominik",FC Augsburg,Mittelfeld,26,"51,94%","9,27",241
133,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,20,"51,89%","9,6",192
134,"Heitinga, John",Hertha BSC,Abwehr,13,"51,82%","4,38",57
135,"Ayhan, Kaan",FC Schalke 04,Abwehr,15,"51,79%","5,8",87
136,"Højbjerg, Pierre-Emile",FC Augsburg,Mittelfeld,24,"51,68%","8,33",200
137,"Lehmann, Matthias",1. FC Köln,Mittelfeld,32,"51,66%","7,28",233
138,"Hasebe, Makoto",Eintracht Frankfurt,Mittelfeld,33,"51,66%","12,24",404
139,"Díaz, Júnior",1. FSV Mainz 05,Abwehr,19,"51,39%","10,68",203
140,Caiuby,FC Augsburg,Mittelfeld,22,"51,28%","9,09",200
141,"Weiser, Mitchell",Bayern München,Mittelfeld,13,"51,16%","8,46",110
142,"Fuchs, Christian",FC Schalke 04,Abwehr,25,"51,15%","10,68",267
143,"Kramer, Christoph",Bor. Mönchengladbach,Mittelfeld,30,"51,06%","12,9",387
144,"Schmelzer, Marcel",Borussia Dortmund,Abwehr,22,"51,05%",11,242
145,Ronny,Hertha BSC,Mittelfeld,19,"51,03%","7,84",149
146,"Wemmer, Jens",SC Paderborn 07,Abwehr,21,"50,94%","10,33",217
147,"Sternberg, Janek",Werder Bremen,Abwehr,14,"50,90%","10,14",142
148,"Choupo-Moting, Eric Maxim",FC Schalke 04,Sturm,31,"50,84%","15,68",486
149,"Altintop, Halil",FC Augsburg,Sturm,31,"50,76%","9,65",299
150,"Ignjovski, Aleksandar",Eintracht Frankfurt,Mittelfeld,20,"50,67%","9,5",190
151,"Kroos, Felix",Werder Bremen,Mittelfeld,26,"50,66%","7,42",193
152,"Hegeler, Jens",Hertha BSC,Mittelfeld,24,"50,63%","8,33",200
153,"Olkowski, Paweł",1. FC Köln,Abwehr,27,"50,60%",11,297
154,"Castro, Gonzalo",Bayer Leverkusen,Mittelfeld,22,"50,59%","9,82",216
155,"Koo, Ja-cheol",1. FSV Mainz 05,Mittelfeld,23,"50,49%","13,57",312
156,"Didavi, Daniel",VfB Stuttgart,Mittelfeld,11,"50,47%","9,73",107
157,"Gerhardt, Yannick",1. FC Köln,Mittelfeld,16,"50,38%","8,31",133
158,"Niedermeier, Georg",VfB Stuttgart,Abwehr,22,"50,32%","7,18",158
159,"Dost, Bas",VfL Wolfsburg,Sturm,21,"50,31%","7,76",163
160,"Iličević, Ivo",Hamburger SV,Mittelfeld,9,"50,22%","12,44",112
161,"Hloušek, Adam",VfB Stuttgart,Abwehr,22,"50,14%","8,27",182
162,"Russ, Marco",Eintracht Frankfurt,Abwehr,26,"50,00%","10,46",272
162,"Kiyotake, Hiroshi",Hannover 96,Mittelfeld,32,"50,00%","7,31",234
162,"Bargfrede, Philipp",Werder Bremen,Mittelfeld,16,"50,00%","10,81",173
162,"Meha, Alban",SC Paderborn 07,Mittelfeld,18,"50,00%","8,78",158
166,"Bakalorz, Marvin",SC Paderborn 07,Mittelfeld,29,"49,94%","13,79",400
167,"Höger, Marco",FC Schalke 04,Mittelfeld,26,"49,86%","13,46",350
168,"Sorg, Oliver",SC Freiburg,Abwehr,25,"49,71%","10,32",258
169,"Feulner, Markus",FC Augsburg,Mittelfeld,25,"49,62%","10,44",261
170,"Kampl, Kevin",Borussia Dortmund,Mittelfeld,13,"49,60%","9,62",125
171,"Brosinski, Daniel",1. FSV Mainz 05,Abwehr,32,"49,49%","9,19",294
172,"Günter, Christian",SC Freiburg,Abwehr,34,"49,49%","10,03",341
173,Joselu,Hannover 96,Sturm,30,"49,29%","12,8",384
174,"Schulz, Nico",Hertha BSC,Mittelfeld,28,"49,21%","8,93",250
175,"Skjelbred, Per",Hertha BSC,Mittelfeld,26,"49,16%","10,12",263
176,"Vogt, Kevin",1. FC Köln,Mittelfeld,32,"49,11%","9,47",303
177,"Bengtsson, Pierre",1. FSV Mainz 05,Abwehr,13,"48,91%","6,92",90
178,"Schmid, Jonathan",SC Freiburg,Mittelfeld,33,"48,90%","7,39",244
179,"Caligiuri, Daniel",VfL Wolfsburg,Mittelfeld,28,"48,87%","10,86",304
180,"Niemeyer, Peter",Hertha BSC,Mittelfeld,17,"48,87%","8,88",151
181,"Johnson, Fabian",Bor. Mönchengladbach,Mittelfeld,24,"48,71%","6,29",151
182,"Aogo, Dennis",FC Schalke 04,Abwehr,25,"48,70%",6,150
183,"Höfler, Nicolas",SC Freiburg,Mittelfeld,20,"48,64%","8,95",179
184,"Darida, Vladimír",SC Freiburg,Mittelfeld,31,"48,64%","10,35",321
185,"De Bruyne, Kevin",VfL Wolfsburg,Mittelfeld,34,"48,44%","12,82",436
186,"Leitner, Moritz",VfB Stuttgart,Mittelfeld,19,"48,43%","8,11",154
187,"Behrami, Valon",Hamburger SV,Mittelfeld,22,"48,37%","12,14",267
188,"Barnetta, Tranquillo",FC Schalke 04,Mittelfeld,22,"48,33%","7,23",159
189,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,32,"48,33%","9,47",303
190,"Lahm, Philipp",Bayern München,Abwehr,20,"48,31%",5,100
191,"Stoppelkamp, Moritz",SC Paderborn 07,Mittelfeld,27,"48,17%","8,78",237
192,"Gentner, Christian",VfB Stuttgart,Mittelfeld,33,"48,12%","11,64",384
193,"Kießling, Stefan",Bayer Leverkusen,Sturm,34,"48,05%","16,26",553
194,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,29,"48,01%",10,290
195,"Kehl, Sebastian",Borussia Dortmund,Mittelfeld,21,"48,00%","9,71",204
196,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,31,"47,94%","8,61",267
197,"Träsch, Christian",VfL Wolfsburg,Abwehr,12,"47,75%","7,08",85
198,Raffael,Bor. Mönchengladbach,Sturm,31,"47,74%","9,55",296
199,"Peszko, Sławomir",1. FC Köln,Mittelfeld,18,"47,58%","9,83",177
200,"Großkreutz, Kevin",Borussia Dortmund,Mittelfeld,17,"47,56%","6,29",107
201,"Hartherz, Florian",SC Paderborn 07,Abwehr,10,"47,42%","9,2",92
202,"Haraguchi, Genki",Hertha BSC,Sturm,21,"47,29%","9,14",192
203,"Ramos, Adrián",Borussia Dortmund,Sturm,18,"47,25%","8,11",146
204,"Meyer, Max",FC Schalke 04,Mittelfeld,28,"47,07%","6,89",193
205,"Jung, Sebastian",VfL Wolfsburg,Abwehr,22,"46,89%","5,82",128
206,"Stindl, Lars",Hannover 96,Mittelfeld,21,"46,67%","16,33",343
207,"Klaus, Felix",SC Freiburg,Mittelfeld,31,"46,48%","10,87",337
208,Roberto Firmino,1899 Hoffenheim,Mittelfeld,33,"46,45%","17,27",570
209,"Medojević, Slobodan",Eintracht Frankfurt,Mittelfeld,14,"46,33%","7,21",101
210,"Gündoğan, İlkay",Borussia Dortmund,Mittelfeld,23,"46,27%","10,78",248
211,"Gouaida, Mohamed",Hamburger SV,Sturm,11,"46,18%","10,45",115
212,"Reus, Marco",Borussia Dortmund,Sturm,20,"46,14%","11,05",221
213,"Rupp, Lukas",SC Paderborn 07,Mittelfeld,31,"46,10%","9,35",290
214,"Jiráček, Petr",Hamburger SV,Mittelfeld,19,"46,08%","7,11",135
215,"Kruse, Max",Bor. Mönchengladbach,Sturm,32,"46,03%","7,97",255
216,"Holtby, Lewis",Hamburger SV,Mittelfeld,22,"46,02%","10,77",237
217,"Philipp, Maximilian",SC Freiburg,Mittelfeld,24,"45,98%","7,63",183
218,"Švento, Dušan",1. FC Köln,Mittelfeld,19,"45,90%","4,42",84
219,"Bobadilla, Raúl",FC Augsburg,Sturm,32,"45,89%","12,72",407
220,"Mkhitaryan, Henrikh",Borussia Dortmund,Mittelfeld,28,"45,69%","11,36",318
221,Gálvez,Werder Bremen,Abwehr,20,"45,51%","7,85",157
222,"Frantz, Mike",SC Freiburg,Mittelfeld,25,"45,38%","6,68",167
223,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,33,"45,35%","9,91",327
224,"Müller, Thomas",Bayern München,Sturm,32,"45,31%","9,22",295
225,"Kutschke, Stefan",SC Paderborn 07,Sturm,19,"45,31%","9,16",174
226,"Boateng, Kevin-Prince",FC Schalke 04,Mittelfeld,18,"45,30%","9,11",164
227,"Schipplock, Sven",1899 Hoffenheim,Sturm,25,"45,27%","6,32",158
228,"Modeste, Anthony",1899 Hoffenheim,Sturm,26,"45,26%","7,15",186
229,"Volland, Kevin",1899 Hoffenheim,Sturm,32,"45,11%","13,41",429
230,"Werner, Tobias",FC Augsburg,Mittelfeld,31,"45,07%",9,279
231,"Schieber, Julian",Hertha BSC,Sturm,16,"44,97%","14,25",228
232,"Perišić, Ivan",VfL Wolfsburg,Mittelfeld,24,"44,87%","8,21",197
233,"Stendera, Marc",Eintracht Frankfurt,Mittelfeld,26,"44,54%","11,77",306
234,"Koç, Süleyman",SC Paderborn 07,Mittelfeld,29,"44,31%","8,59",249
235,"Schmiedebach, Manuel",Hannover 96,Mittelfeld,27,"44,19%","9,15",247
236,"Bellarabi, Karim",Bayer Leverkusen,Mittelfeld,33,"44,14%",13,429
237,"Hahn, André",Bor. Mönchengladbach,Mittelfeld,23,"44,11%","9,43",217
238,"Brandt, Julian",Bayer Leverkusen,Mittelfeld,25,"43,95%","5,96",149
239,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,28,"43,89%","9,75",273
240,"Götze, Mario",Bayern München,Mittelfeld,32,"43,64%","9,44",302
241,"Çalhanoğlu, Hakan",Bayer Leverkusen,Mittelfeld,33,"43,50%","10,03",331
242,"Hosogai, Hajime",Hertha BSC,Mittelfeld,20,"43,34%","7,65",153
243,"Makiadi, Cédric",Werder Bremen,Mittelfeld,18,"43,33%","4,33",78
244,"Öztunali, Levin",Werder Bremen,Mittelfeld,22,"43,28%",6,132
245,"Kachunga, Elias",SC Paderborn 07,Sturm,32,"43,02%","9,44",302
246,"Schuster, Julian",SC Freiburg,Mittelfeld,21,"42,77%","7,05",148
247,"Esswein, Alexander",FC Augsburg,Sturm,19,"42,65%","4,74",90
248,"Risse, Marcel",1. FC Köln,Mittelfeld,29,"42,64%","7,59",220
249,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,26,"42,49%","6,96",181
250,"Petersen, Nils",SC Freiburg,Sturm,19,"42,48%","5,05",96
251,"Elyounoussi, Tarik",1899 Hoffenheim,Mittelfeld,25,"42,38%","7,68",192
252,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,27,"42,03%","6,44",174
253,"Werner, Timo",VfB Stuttgart,Sturm,32,"42,02%","5,84",187
254,"Schürrle, André",VfL Wolfsburg,Sturm,14,"41,92%",5,70
255,"Kagawa, Shinji",Borussia Dortmund,Mittelfeld,28,"41,84%","5,68",159
256,"Bittencourt, Leonardo",Hannover 96,Mittelfeld,26,"41,76%","7,31",190
257,"Lewandowski, Robert",Bayern München,Sturm,31,"41,72%","8,77",272
258,"Inui, Takashi",Eintracht Frankfurt,Mittelfeld,27,"41,56%","8,3",224
259,"Meier, Alexander",Eintracht Frankfurt,Sturm,26,"41,47%","8,23",214
260,"Sané, Leroy",FC Schalke 04,Mittelfeld,13,"41,30%","7,31",95
261,"Clemens, Christian",1. FSV Mainz 05,Mittelfeld,17,"41,24%","4,29",73
262,"Osako, Yuya",1. FC Köln,Sturm,28,"41,23%","8,14",228
263,"Andreasen, Leon",Hannover 96,Mittelfeld,17,"40,78%","4,94",84
264,"Son, Heung-min",Bayer Leverkusen,Sturm,30,"40,73%","8,57",257
265,"Prib, Edgar",Hannover 96,Mittelfeld,20,"40,71%",8,160
