No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
266,"Szalai, Ádám",1899 Hoffenheim,Sturm,26,"40,68%","7,81",203
267,"Đurđić, Nikola",FC Augsburg,Sturm,16,"40,68%","4,5",72
268,"Di Santo, Franco",Werder Bremen,Sturm,26,"40,65%","10,54",274
269,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,28,"40,47%","8,04",225
270,"Allagui, Sami",1. FSV Mainz 05,Sturm,20,"40,45%","5,4",108
271,"Mehmedi, Admir",SC Freiburg,Sturm,28,"40,40%",10,280
272,"Ujah, Anthony",1. FC Köln,Sturm,32,"40,20%",10,320
273,"Seferović, Haris",Eintracht Frankfurt,Sturm,32,"40,06%","11,72",375
274,"Harnik, Martin",VfB Stuttgart,Sturm,28,"39,74%",11,308
275,"van der Vaart, Rafael",Hamburger SV,Mittelfeld,24,"39,37%","8,33",200
276,"Okazaki, Shinji",1. FSV Mainz 05,Sturm,32,"39,07%","11,06",354
277,"Bartels, Fin",Werder Bremen,Mittelfeld,29,"39,05%","9,03",262
278,"Müller, Nicolai",Hamburger SV,Mittelfeld,27,"38,96%","9,48",256
279,"Halfar, Daniel",1. FC Köln,Mittelfeld,22,"38,96%","6,5",143
280,"Ginczek, Daniel",VfB Stuttgart,Sturm,18,"38,72%","11,06",199
281,"Hrgota, Branimir",Bor. Mönchengladbach,Sturm,17,"38,65%","4,71",80
282,"Stieber, Zoltán",Hamburger SV,Mittelfeld,25,"38,33%","5,32",133
283,"Lasogga, Pierre-Michel",Hamburger SV,Sturm,26,"38,27%","8,15",212
284,"Briand, Jimmy",Hannover 96,Sturm,29,"38,18%","8,52",247
285,"Immobile, Ciro",Borussia Dortmund,Sturm,24,"37,41%","4,58",110
286,"Hofmann, Jonas",1. FSV Mainz 05,Mittelfeld,12,"36,94%","4,83",58
287,"Guédé, Karim",SC Freiburg,Mittelfeld,18,"36,81%","7,44",134
288,"Beerens, Roy",Hertha BSC,Sturm,27,"36,52%","7,78",210
289,"Hazard, Thorgan",Bor. Mönchengladbach,Mittelfeld,28,"36,48%",4,112
290,"de Blasis, Pablo",1. FSV Mainz 05,Mittelfeld,20,"36,48%","8,9",178
291,"Lakić, Srđan",SC Paderborn 07,Sturm,17,"36,20%","7,18",122
292,"Ibišević, Vedad",VfB Stuttgart,Sturm,14,"36,19%","5,43",76
293,"Hajrović, Izet",Werder Bremen,Mittelfeld,19,"36,02%","3,05",58
294,"Kalou, Salomon",Hertha BSC,Sturm,27,"35,63%","8,44",228
295,Lucas Piazón,Eintracht Frankfurt,Mittelfeld,22,"35,56%","5,82",128
296,"Aubameyang, Pierre-Emerick",Borussia Dortmund,Sturm,33,"35,49%","7,15",236
297,"Olić, Ivica",Hamburger SV,Sturm,30,"35,25%","8,8",264
298,"Stocker, Valentin",Hertha BSC,Mittelfeld,26,"34,86%","9,08",236
299,Jairo,1. FSV Mainz 05,Mittelfeld,22,"34,59%","6,27",138
300,"Rudņevs, Artjoms",Hamburger SV,Sturm,22,"33,89%","4,64",102
301,"Ben-Hatira, Änis",Hertha BSC,Mittelfeld,15,"33,59%","5,87",88
302,"Selke, Davie",Werder Bremen,Sturm,30,"33,38%","7,37",221
303,"Drmić, Josip",Bayer Leverkusen,Sturm,25,"31,86%","2,88",72
