No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
23,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,30,"63,19%","9,5",285
24,"Höwedes, Benedikt",FC Schalke 04,Abwehr,19,"63,16%","6,95",132
25,"Langkamp, Sebastian",Hertha BSC,Abwehr,29,"63,13%","11,69",339
26,"Bičakčić, Ermin",Eintracht Braunschweig,Abwehr,31,"62,93%","8,87",275
27,Marcelo,Hannover 96,Abwehr,24,"62,92%","10,96",263
28,"Djourou, Johan",Hamburger SV,Abwehr,22,"62,79%","9,82",216
29,"Boateng, Jérôme",Bayern München,Abwehr,25,"62,39%","8,36",209
30,"Zambrano, Carlos",Eintracht Frankfurt,Abwehr,30,"62,17%","10,9",327
31,Bamba Anderson,Eintracht Frankfurt,Abwehr,15,"62,02%","8,6",129
32,"Pocognoli, Sébastien",Hannover 96,Abwehr,19,"62,01%","9,11",173
33,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,34,"61,88%","15,47",526
34,"Sakai, Hiroki",Hannover 96,Abwehr,26,"61,78%",12,312
35,"Daems, Filip",Bor. Mönchengladbach,Abwehr,15,"61,76%","9,8",147
36,"Knoche, Robin",VfL Wolfsburg,Abwehr,32,"61,54%","9,5",304
37,"Pogatetz, Emanuel",1. FC Nürnberg,Abwehr,23,"61,38%","10,09",232
38,"Tah, Jonathan",Hamburger SV,Abwehr,16,"61,18%","9,06",145
39,Felipe Santana,FC Schalke 04,Abwehr,20,"61,17%","8,35",167
40,"Subotić, Neven",Borussia Dortmund,Abwehr,10,"61,11%","8,8",88
41,"Díaz, Júnior",1. FSV Mainz 05,Abwehr,20,"60,52%","12,8",256
42,"Krmaš, Pavel",SC Freiburg,Abwehr,19,"60,50%","10,16",193
43,"Svensson, Bo",1. FSV Mainz 05,Abwehr,12,"60,49%","4,08",49
44,"Donati, Giulio",Bayer Leverkusen,Abwehr,23,"60,22%","9,74",224
45,"Boenisch, Sebastian",Bayer Leverkusen,Abwehr,25,"60,14%","10,44",261
46,"Prödl, Sebastian",Werder Bremen,Abwehr,27,"60,10%","8,7",235
47,"Klavan, Ragnar",FC Augsburg,Abwehr,30,"60,05%","7,57",227
48,"Schwaab, Daniel",VfB Stuttgart,Abwehr,32,"60,03%","11,97",383
49,"Wollscheid, Philipp",Bayer Leverkusen,Abwehr,20,"60,00%","6,3",126
50,"Ginter, Matthias",SC Freiburg,Abwehr,34,"59,91%","8,18",278
51,Thiago,Bayern München,Mittelfeld,16,"59,68%","11,56",185
52,Dante,Bayern München,Abwehr,29,"59,41%","8,28",240
53,"Oczipka, Bastian",Eintracht Frankfurt,Abwehr,20,"59,32%","9,55",191
54,"Doğan, Deniz",Eintracht Braunschweig,Abwehr,23,"58,68%","8,52",196
55,"Johnson, Fabian",1899 Hoffenheim,Abwehr,27,"58,42%","7,96",215
56,"Sané, Salif",Hannover 96,Abwehr,19,"58,36%","10,47",199
57,"Jansen, Marcell",Hamburger SV,Abwehr,21,"58,20%","13,52",284
58,"Westermann, Heiko",Hamburger SV,Abwehr,30,"58,14%","11,43",343
59,"Fritz, Clemens",Werder Bremen,Abwehr,22,"58,08%","10,45",230
60,"Brooks, John Anthony",Hertha BSC,Abwehr,16,"57,79%","5,56",89
61,"Hilbert, Roberto",Bayer Leverkusen,Abwehr,16,"57,64%","11,31",181
62,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,31,"57,61%","9,16",284
63,"Baier, Daniel",FC Augsburg,Mittelfeld,34,"57,47%","12,68",431
64,"Schulz, Christian",Hannover 96,Abwehr,27,"57,27%","9,19",248
65,"Alaba, David",Bayern München,Abwehr,28,"57,27%","9,29",260
66,"Ostrzolek, Matthias",FC Augsburg,Abwehr,33,"57,23%","10,79",356
67,"Kroos, Toni",Bayern München,Mittelfeld,29,"57,22%","7,38",214
68,"Toprak, Ömer",Bayer Leverkusen,Abwehr,28,"57,18%","8,96",251
69,"Pekarík, Peter",Hertha BSC,Abwehr,31,"57,09%","10,26",318
70,"Lahm, Philipp",Bayern München,Abwehr,28,"57,02%","6,96",195
71,"Kvist, William",VfB Stuttgart,Mittelfeld,12,"56,98%","8,5",102
72,"Kessel, Benjamin",Eintracht Braunschweig,Abwehr,20,"56,98%","12,45",249
73,"Diagné, Fallou",SC Freiburg,Abwehr,12,"56,98%","8,17",98
74,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,18,"56,92%","10,28",185
75,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,33,"56,69%","8,73",288
76,"Sorg, Oliver",SC Freiburg,Abwehr,31,"56,68%","10,81",335
77,"Pospěch, Zdeněk",1. FSV Mainz 05,Abwehr,34,"56,67%","11,12",378
78,"Niedermeier, Georg",VfB Stuttgart,Abwehr,18,"56,62%","11,17",201
79,"Hasebe, Makoto",1. FC Nürnberg,Mittelfeld,15,"56,33%","11,27",169
80,"Rüdiger, Antonio",VfB Stuttgart,Abwehr,30,"56,25%","9,6",288
80,"Höhn, Immanuel",SC Freiburg,Abwehr,19,"56,25%","8,05",153
82,Domínguez,Bor. Mönchengladbach,Abwehr,21,"56,15%","6,52",137
83,"Verhaegh, Paul",FC Augsburg,Abwehr,30,"56,06%","7,87",236
84,"García, Santiago",Werder Bremen,Abwehr,22,"55,99%","14,86",327
85,"Niemeyer, Peter",Hertha BSC,Mittelfeld,20,"55,97%","7,5",150
86,"Sakai, Gōtoku",VfB Stuttgart,Abwehr,28,"55,96%","10,39",291
87,"Träsch, Christian",VfL Wolfsburg,Abwehr,22,"55,93%",12,264
88,"Uchida, Atsuto",FC Schalke 04,Abwehr,17,"55,35%","10,65",181
89,"Durm, Erik",Borussia Dortmund,Abwehr,19,"55,31%","10,68",203
90,"Park, Joo-ho",1. FSV Mainz 05,Abwehr,27,"55,03%","9,93",268
91,"Petrák, Ondřej",1. FC Nürnberg,Abwehr,11,"54,92%","9,64",106
92,"Russ, Marco",Eintracht Frankfurt,Abwehr,29,"54,91%","12,14",352
93,"Plattenhardt, Marvin",1. FC Nürnberg,Abwehr,31,"54,83%","9,52",295
94,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,31,"54,66%","8,32",258
95,"Beck, Andreas",1899 Hoffenheim,Abwehr,33,"54,57%","11,94",394
96,"Djakpa, Constant",Eintracht Frankfurt,Abwehr,22,"54,57%","11,41",251
97,Luiz Gustavo,VfL Wolfsburg,Mittelfeld,29,"54,47%","13,66",396
98,"van den Bergh, Johannes",Hertha BSC,Abwehr,26,"54,44%","9,19",239
99,"Can, Emre",Bayer Leverkusen,Mittelfeld,29,"54,32%","13,45",390
100,"Diekmeier, Dennis",Hamburger SV,Abwehr,20,"54,29%","8,55",171
101,"Caldirola, Luca",Werder Bremen,Abwehr,33,"54,25%","9,09",300
102,Rafinha,Bayern München,Abwehr,28,"54,24%",8,224
103,"Schmelzer, Marcel",Borussia Dortmund,Abwehr,19,"54,13%","10,68",203
104,"Geis, Johannes",1. FSV Mainz 05,Mittelfeld,33,"54,03%","10,15",335
105,"Ignjovski, Aleksandar",Werder Bremen,Mittelfeld,14,"54,00%","11,57",162
106,"Schwegler, Pirmin",Eintracht Frankfurt,Mittelfeld,17,"53,99%","9,94",169
107,"Balitsch, Hanno",1. FC Nürnberg,Mittelfeld,14,"53,98%","8,71",122
108,"Polák, Jan",VfL Wolfsburg,Mittelfeld,18,"53,85%","5,06",91
109,"Bender, Lars",Bayer Leverkusen,Mittelfeld,29,"53,83%","15,03",436
110,"Polanski, Eugen",1899 Hoffenheim,Mittelfeld,32,"53,81%","12,13",388
111,"Badelj, Milan",Hamburger SV,Mittelfeld,29,"53,65%","13,93",404
112,"Reichel, Ken",Eintracht Braunschweig,Abwehr,27,"53,58%","11,63",314
113,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,19,"53,55%","10,32",196
114,"Ayhan, Kaan",FC Schalke 04,Abwehr,14,"53,54%","7,57",106
115,"Günter, Christian",SC Freiburg,Abwehr,29,"53,46%","11,45",332
116,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,23,"53,40%","8,87",204
117,"Ochs, Patrick",VfL Wolfsburg,Abwehr,17,"53,33%","9,41",160
118,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,21,"53,14%","6,05",127
119,"Korb, Julian",Bor. Mönchengladbach,Abwehr,22,"53,09%","11,32",249
120,"Jones, Jermaine",FC Schalke 04,Mittelfeld,14,"52,92%","11,64",163
121,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,14,"52,79%","7,43",104
121,"Caligiuri, Marco",Eintracht Braunschweig,Mittelfeld,12,"52,79%","8,67",104
123,"Kroos, Felix",Werder Bremen,Mittelfeld,20,"52,76%","7,65",153
124,"Kobiashvili, Levan",Hertha BSC,Mittelfeld,15,"52,72%","8,4",126
125,"Pizarro, Claudio",Bayern München,Sturm,17,"52,71%","6,29",107
126,"Lanig, Martin",Eintracht Frankfurt,Mittelfeld,15,"52,25%","12,4",186
127,"Hoogland, Tim",FC Schalke 04,Abwehr,19,"52,16%","9,53",181
128,"Xhaka, Granit",Bor. Mönchengladbach,Mittelfeld,28,"52,07%",9,252
129,"Draxler, Julian",FC Schalke 04,Mittelfeld,26,"52,06%","12,65",329
130,Diego,VfL Wolfsburg,Mittelfeld,15,"52,04%","12,73",191
131,"Strobl, Tobias",1899 Hoffenheim,Mittelfeld,29,"51,96%","7,31",212
132,"Chandler, Timothy",1. FC Nürnberg,Abwehr,21,"51,47%","9,14",192
133,"Angha, Martin",1. FC Nürnberg,Abwehr,14,"51,40%","10,5",147
134,"Vrančić, Damir",Eintracht Braunschweig,Mittelfeld,14,"51,25%","5,86",82
135,"Robben, Arjen",Bayern München,Sturm,28,"51,07%","7,68",215
136,"Leitner, Moritz",VfB Stuttgart,Mittelfeld,21,"50,97%","10,05",211
137,"Shaqiri, Xherdan",Bayern München,Mittelfeld,17,"50,87%","5,18",88
138,"Schröck, Stephan",Eintracht Frankfurt,Mittelfeld,12,"50,77%",11,132
139,"Arslan, Tolgay",Hamburger SV,Mittelfeld,32,"50,75%","11,56",370
140,"Jung, Sebastian",Eintracht Frankfurt,Abwehr,30,"50,59%","8,57",257
141,"Bargfrede, Philipp",Werder Bremen,Mittelfeld,20,"50,57%","13,25",265
142,"Kramer, Christoph",Bor. Mönchengladbach,Mittelfeld,33,"50,55%","12,45",411
143,"Kolašinac, Sead",FC Schalke 04,Abwehr,24,"50,54%","9,67",232
144,"Großkreutz, Kevin",Borussia Dortmund,Mittelfeld,33,"50,35%","10,76",355
144,"Ribéry, Franck",Bayern München,Mittelfeld,22,"50,35%","12,91",284
146,"Höfler, Nicolas",SC Freiburg,Mittelfeld,14,"50,28%","6,5",91
147,"Koo, Ja-cheol",1. FSV Mainz 05,Mittelfeld,24,"50,27%","7,71",185
148,"Ndjeng, Marcel",Hertha BSC,Mittelfeld,17,"50,13%","11,41",194
149,"Ciğerci, Tolga",Hertha BSC,Mittelfeld,19,"50,00%","12,63",240
150,"Hoffmann, André",Hannover 96,Mittelfeld,23,"49,78%",5,115
151,"Hegeler, Jens",Bayer Leverkusen,Mittelfeld,18,"49,54%","5,94",107
152,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,27,"49,53%","11,63",314
153,"Şahin, Nuri",Borussia Dortmund,Mittelfeld,34,"49,51%","11,79",401
154,"Frantz, Mike",1. FC Nürnberg,Mittelfeld,31,"49,50%","9,55",296
155,"Fuchs, Christian",FC Schalke 04,Abwehr,16,"49,38%","7,5",120
156,"Rausch, Konstantin",VfB Stuttgart,Abwehr,21,"49,38%","7,52",158
157,"Elabdellaoui, Omar",Eintracht Braunschweig,Abwehr,29,"49,36%","9,24",268
158,"Rajtoral, František",Hannover 96,Mittelfeld,7,"49,34%","10,71",75
159,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,29,"49,30%","7,31",212
160,"Traoré, Ibrahima",VfB Stuttgart,Mittelfeld,31,"49,23%","8,23",255
161,"Götze, Mario",Bayern München,Mittelfeld,27,"49,19%","11,19",302
162,"Caligiuri, Daniel",VfL Wolfsburg,Mittelfeld,24,"49,17%","8,63",207
163,"Choupo-Moting, Eric Maxim",1. FSV Mainz 05,Sturm,32,"49,16%","12,84",411
164,"Theuerkauf, Norman",Eintracht Braunschweig,Mittelfeld,29,"49,14%","9,86",286
165,Joselu,Eintracht Frankfurt,Sturm,24,"49,06%","11,92",286
166,"Stark, Niklas",1. FC Nürnberg,Mittelfeld,21,"49,01%","7,05",148
167,"Farfán, Jefferson",FC Schalke 04,Sturm,19,"49,00%","10,37",197
168,"Rincón, Tomás",Hamburger SV,Mittelfeld,22,"48,91%","11,23",247
169,"Aogo, Dennis",FC Schalke 04,Abwehr,12,"48,72%","6,33",76
170,"Prib, Edgar",Hannover 96,Mittelfeld,31,"48,68%","8,35",259
171,"Gruezo, Carlos",VfB Stuttgart,Mittelfeld,8,"48,61%","8,75",70
172,"Barnetta, Tranquillo",Eintracht Frankfurt,Mittelfeld,23,"48,61%","8,35",192
173,"Arango, Juan",Bor. Mönchengladbach,Mittelfeld,31,"48,60%","10,68",331
174,"Bender, Sven",Borussia Dortmund,Mittelfeld,19,"48,53%","8,68",165
175,"Neustädter, Roman",FC Schalke 04,Mittelfeld,32,"48,46%","8,88",284
176,"Kruse, Max",Bor. Mönchengladbach,Sturm,34,"48,15%","11,12",378
177,"Medojević, Slobodan",VfL Wolfsburg,Mittelfeld,20,"48,10%","7,6",152
178,"Vogt, Kevin",FC Augsburg,Mittelfeld,28,"48,09%","8,07",226
179,"Perthel, Timo",Eintracht Braunschweig,Mittelfeld,11,"48,07%","7,91",87
180,"Makiadi, Cédric",Werder Bremen,Mittelfeld,30,"48,05%","10,27",308
181,"Stindl, Lars",Hannover 96,Mittelfeld,31,"48,04%","13,42",416
182,Ronny,Hertha BSC,Mittelfeld,27,"47,95%","6,93",187
183,"Salihović, Sejad",1899 Hoffenheim,Mittelfeld,28,"47,74%","9,04",253
184,"Altintop, Halil",FC Augsburg,Sturm,34,"47,66%","7,79",265
185,"Mak, Róbert",1. FC Nürnberg,Sturm,19,"47,58%","6,21",118
186,"Kiyotake, Hiroshi",1. FC Nürnberg,Mittelfeld,33,"47,58%","8,03",265
187,"Castro, Gonzalo",Bayer Leverkusen,Mittelfeld,30,"47,42%","8,57",257
188,"Hosogai, Hajime",Hertha BSC,Mittelfeld,33,"47,40%","10,48",346
189,"Skjelbred, Per",Hertha BSC,Mittelfeld,28,"47,31%","8,79",246
190,"Flum, Johannes",Eintracht Frankfurt,Mittelfeld,26,"47,25%","8,92",232
191,Roberto Firmino,1899 Hoffenheim,Mittelfeld,33,"47,08%","16,39",541
192,"Boland, Mirko",Eintracht Braunschweig,Mittelfeld,33,"47,06%","11,39",376
192,"Gentner, Christian",VfB Stuttgart,Mittelfeld,28,"47,06%","10,57",296
192,"Fernandes, Gelson",SC Freiburg,Mittelfeld,30,"47,06%","8,8",264
195,"Ramos, Adrián",Hertha BSC,Sturm,32,"46,90%","14,91",477
196,"Herdling, Kai",1899 Hoffenheim,Mittelfeld,23,"46,89%","5,57",128
197,"Schmiedebach, Manuel",Hannover 96,Mittelfeld,24,"46,64%","8,96",215
198,"Klaus, Felix",SC Freiburg,Mittelfeld,21,"46,49%","9,14",192
199,"Darida, Vladimír",SC Freiburg,Mittelfeld,23,"46,45%","11,96",275
200,Raffael,Bor. Mönchengladbach,Sturm,34,"46,34%","12,12",412
201,"Schulz, Nico",Hertha BSC,Mittelfeld,23,"46,32%","7,65",176
202,"Soto, Elkin",1. FSV Mainz 05,Mittelfeld,20,"46,27%","7,45",149
203,"Kehl, Sebastian",Borussia Dortmund,Mittelfeld,17,"46,27%","9,12",155
203,Vieirinha,VfL Wolfsburg,Mittelfeld,11,"46,27%","5,64",62
205,"Rode, Sebastian",Eintracht Frankfurt,Mittelfeld,17,"46,22%","10,06",171
206,"Zimling, Niki",1. FSV Mainz 05,Mittelfeld,15,"46,15%","7,2",108
207,"Moritz, Christoph",1. FSV Mainz 05,Mittelfeld,25,"46,14%","7,64",191
208,"Boateng, Kevin-Prince",FC Schalke 04,Mittelfeld,28,"46,11%","12,29",344
209,"Son, Heung-min",Bayer Leverkusen,Sturm,31,"46,08%","8,71",270
210,"Hunt, Aaron",Werder Bremen,Mittelfeld,31,"46,07%","10,77",334
211,"Goretzka, Leon",FC Schalke 04,Mittelfeld,25,"45,92%","11,24",281
212,"Feulner, Markus",1. FC Nürnberg,Mittelfeld,25,"45,69%","9,32",233
213,"Esswein, Alexander",FC Augsburg,Sturm,18,"45,54%","5,39",97
214,"Çalhanoğlu, Hakan",Hamburger SV,Mittelfeld,32,"45,32%","9,53",305
215,"Coquelin, Francis",SC Freiburg,Mittelfeld,16,"45,28%",6,96
216,"Meyer, Max",FC Schalke 04,Mittelfeld,30,"45,26%","8,27",248
217,"Perišić, Ivan",VfL Wolfsburg,Mittelfeld,33,"45,15%","8,18",270
218,"Morávek, Jan",FC Augsburg,Mittelfeld,16,"45,11%","8,94",143
219,"Wagner, Sandro",Hertha BSC,Sturm,25,"45,07%","5,48",137
220,"Obraniak, Ludovic",Werder Bremen,Mittelfeld,10,"45,05%",10,100
221,"Boka, Arthur",VfB Stuttgart,Abwehr,25,"44,89%","7,56",189
222,"Andreasen, Leon",Hannover 96,Mittelfeld,31,"44,85%","7,45",231
223,"Schlaudraff, Jan",Hannover 96,Sturm,21,"44,72%","2,62",55
224,"Rosenthal, Jan",Eintracht Frankfurt,Mittelfeld,18,"44,62%","6,22",112
225,"Błaszczykowski, Jakub",Borussia Dortmund,Mittelfeld,16,"44,56%","5,38",86
226,"Diouf, Mame",Hannover 96,Sturm,19,"44,54%","11,16",212
227,"Kießling, Stefan",Bayer Leverkusen,Sturm,32,"44,51%","13,94",446
228,"Schuster, Julian",SC Freiburg,Mittelfeld,27,"44,50%","6,44",174
229,"Mandžukić, Mario",Bayern München,Sturm,30,"44,40%","6,87",206
230,"Kratz, Kevin",Eintracht Braunschweig,Mittelfeld,14,"44,31%","8,07",113
231,"Bittencourt, Leonardo",Hannover 96,Mittelfeld,31,"44,22%","9,13",283
232,"Huszti, Szabolcs",Hannover 96,Mittelfeld,30,"44,03%","12,17",365
233,"Meier, Alexander",Eintracht Frankfurt,Sturm,22,"44,00%",9,198
234,"Jiráček, Petr",Hamburger SV,Mittelfeld,21,"43,88%","4,95",104
235,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,28,"43,81%","9,61",269
236,"Mehmedi, Admir",SC Freiburg,Sturm,32,"43,68%","10,91",349
237,"De Bruyne, Kevin",VfL Wolfsburg,Mittelfeld,16,"43,46%","12,25",196
238,"Bobadilla, Raúl",FC Augsburg,Sturm,17,"43,42%","7,18",122
239,"Iličević, Ivo",Hamburger SV,Mittelfeld,18,"43,38%","7,28",131
240,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,21,"43,27%","5,67",119
241,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,34,"43,23%","8,18",278
242,"Werner, Tobias",FC Augsburg,Mittelfeld,31,"43,15%","6,71",208
243,"Reus, Marco",Borussia Dortmund,Sturm,30,"43,08%","10,27",308
244,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,29,"43,06%","6,41",186
245,"Müller, Thomas",Bayern München,Sturm,31,"43,05%","7,1",220
246,"Bellarabi, Karim",Eintracht Braunschweig,Mittelfeld,26,"43,00%","10,27",267
247,"Schmid, Jonathan",SC Freiburg,Mittelfeld,29,"42,92%","7,1",206
248,"Lewandowski, Robert",Borussia Dortmund,Sturm,33,"42,82%",14,462
249,"Kruppke, Dennis",Eintracht Braunschweig,Sturm,15,"42,79%","5,73",86
250,"Kumbela, Domi",Eintracht Braunschweig,Sturm,30,"42,68%","9,13",274
251,"Petersen, Nils",Werder Bremen,Sturm,28,"42,63%","9,39",263
252,"Modeste, Anthony",1899 Hoffenheim,Sturm,29,"42,62%","6,07",176
253,"Di Santo, Franco",Werder Bremen,Sturm,23,"42,55%","11,3",260
254,"Zoua, Jacques",Hamburger SV,Sturm,27,"42,54%","9,81",265
255,"Ademi, Orhan",Eintracht Braunschweig,Sturm,25,"41,82%","3,68",92
256,"Ibišević, Vedad",VfB Stuttgart,Sturm,27,"41,80%","10,48",283
257,"Hochscheidt, Jan",Eintracht Braunschweig,Mittelfeld,20,"41,74%","9,35",187
258,"Allagui, Sami",Hertha BSC,Sturm,29,"41,59%","10,31",299
259,"Nielsen, Håvard",Eintracht Braunschweig,Sturm,16,"41,58%","11,88",190
260,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,28,"41,53%","8,14",228
261,"Mkhitaryan, Henrikh",Borussia Dortmund,Mittelfeld,31,"41,34%","11,16",346
262,"Lasogga, Pierre-Michel",Hamburger SV,Sturm,20,"40,89%","10,55",211
263,"Sam, Sidney",Bayer Leverkusen,Mittelfeld,22,"40,88%","6,32",139
264,Cacau,VfB Stuttgart,Sturm,21,"40,85%","4,14",87
265,"Harnik, Martin",VfB Stuttgart,Sturm,30,"40,66%","9,5",285
266,"van der Vaart, Rafael",Hamburger SV,Mittelfeld,27,"40,53%","7,3",197
267,"Hloušek, Adam",1. FC Nürnberg,Abwehr,28,"40,53%","9,86",276
268,"Werner, Timo",VfB Stuttgart,Sturm,30,"40,34%","5,57",167
269,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,26,"39,97%","9,88",257
270,"Müller, Nicolai",1. FSV Mainz 05,Mittelfeld,26,"39,87%","9,15",238
271,"Hahn, André",FC Augsburg,Mittelfeld,32,"39,81%","12,81",410
272,"Volland, Kevin",1899 Hoffenheim,Sturm,33,"39,60%","11,42",377
273,"Pekhart, Tomáš",1. FC Nürnberg,Sturm,23,"39,56%","4,7",108
274,"Beister, Maximilian",Hamburger SV,Mittelfeld,16,"39,42%","6,75",108
275,"Elyounoussi, Tarik",1899 Hoffenheim,Mittelfeld,21,"39,35%","5,81",122
276,"Ben-Hatira, Änis",Hertha BSC,Mittelfeld,21,"39,19%","8,29",174
277,"Aubameyang, Pierre-Emerick",Borussia Dortmund,Sturm,32,"39,02%","6,5",208
278,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,18,"38,31%","8,83",159
279,"Kadlec, Václav",Eintracht Frankfurt,Sturm,21,"38,15%","5,9",124
280,"Abdellaoue, Mohammed",VfB Stuttgart,Sturm,12,"38,12%","5,75",69
281,"Sobiech, Artur",Hannover 96,Sturm,17,"38,03%","6,82",116
282,"Ginczek, Daniel",1. FC Nürnberg,Sturm,17,"38,02%","9,06",154
283,"Elia, Eljero",Werder Bremen,Sturm,33,"37,97%","8,52",281
284,"Okazaki, Shinji",1. FSV Mainz 05,Sturm,33,"37,75%","9,33",308
285,"Olić, Ivica",VfL Wolfsburg,Sturm,32,"37,69%","7,75",248
286,"Drmić, Josip",1. FC Nürnberg,Sturm,33,"37,29%","8,18",270
287,"Szalai, Ádám",FC Schalke 04,Sturm,28,"36,66%","6,04",169
288,"Ya Konan, Didier",Hannover 96,Sturm,16,"36,63%","4,63",74
289,"Milik, Arkadiusz",FC Augsburg,Sturm,18,"35,47%","3,39",61
290,"Guédé, Karim",SC Freiburg,Mittelfeld,20,"35,15%","8,05",161
291,"Freis, Sebastian",SC Freiburg,Sturm,17,"34,44%","3,65",62
292,"Inui, Takashi",Eintracht Frankfurt,Mittelfeld,14,"34,39%","4,64",65
293,"Hofmann, Jonas",Borussia Dortmund,Mittelfeld,26,"33,76%","2,04",53
294,"Schipplock, Sven",1899 Hoffenheim,Sturm,23,"33,75%","4,65",107
295,"Rudņevs, Artjoms",Hannover 96,Sturm,23,"31,78%","5,65",130
296,"Mölders, Sascha",FC Augsburg,Sturm,23,"30,79%","4,39",101
