No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
1,"Friedrich, Manuel",Borussia Dortmund,Abwehr,11,"67,98%",11,121
2,"Nilsson, Per",1. FC Nürnberg,Abwehr,20,"66,92%","8,9",178
3,"Vestergaard, Jannik",1899 Hoffenheim,Abwehr,25,"66,83%","10,64",266
3,"Mancienne, Michael",Hamburger SV,Abwehr,12,"66,83%","11,08",133
5,"Correia, Marcel",Eintracht Braunschweig,Abwehr,19,"66,67%","7,37",140
5,"Madlung, Alexander",Eintracht Frankfurt,Abwehr,16,"66,67%","7,63",122
7,"Noveski, Nikolče",1. FSV Mainz 05,Abwehr,32,"66,53%","10,38",332
8,"Süle, Niklas",1899 Hoffenheim,Abwehr,25,"66,26%","10,84",271
9,Javi Martínez,Bayern München,Abwehr,18,"65,88%","10,83",195
10,"Papastathopoulos, Sokratis",Borussia Dortmund,Abwehr,28,"65,04%","13,82",387
11,"Van Buyten, Daniel",Bayern München,Abwehr,12,"64,46%","6,5",78
12,"Spahić, Emir",Bayer Leverkusen,Abwehr,27,"64,40%","10,19",275
13,Naldo,VfL Wolfsburg,Abwehr,33,"64,24%","12,58",415
14,"Lukimya, Assani",Werder Bremen,Abwehr,23,"64,16%","9,26",213
15,"Sobiech, Lasse",Hamburger SV,Abwehr,10,"64,10%",10,100
16,"Bell, Stefan",1. FSV Mainz 05,Abwehr,27,"64,07%","10,37",280
17,"Hong, Jeong-ho",FC Augsburg,Abwehr,16,"64,05%","6,13",98
18,"Lustenberger, Fabian",Hertha BSC,Mittelfeld,19,"63,90%","10,53",200
19,"Matip, Joel",FC Schalke 04,Abwehr,31,"63,87%","11,29",350
20,"Hummels, Mats",Borussia Dortmund,Abwehr,23,"63,78%","12,17",280
21,"Abraham, David",1899 Hoffenheim,Abwehr,20,"63,60%","8,65",173
22,"Pinola, Javier",1. FC Nürnberg,Abwehr,20,"63,46%","12,85",257
