No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
147,Felipe Santana,Borussia Dortmund,Abwehr,21,1,15,"6,67%",1462
147,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,21,1,7,"14,29%",1873
147,"Akpala, Joseph",Werder Bremen,Sturm,21,1,8,"12,50%",466
147,"Guédé, Karim",SC Freiburg,Mittelfeld,21,1,25,"4,00%",981
147,"Morávek, Jan",FC Augsburg,Mittelfeld,21,1,16,"6,25%",1290
147,"Williams, Daniel",1899 Hoffenheim,Mittelfeld,21,1,13,"7,69%",1547
147,"Azemi, Ilir",SpVgg Greuther Fürth,Sturm,21,1,17,"5,88%",653
147,"de Jong, Marcel",FC Augsburg,Abwehr,20,1,22,"4,55%",1276
147,"Bender, Sven",Borussia Dortmund,Mittelfeld,20,1,7,"14,29%",1327
147,"Ignjovski, Aleksandar",Werder Bremen,Mittelfeld,20,1,14,"7,14%",1546
147,"Daems, Filip",Bor. Mönchengladbach,Abwehr,19,1,2,"50,00%",1490
147,"Derdiyok, Eren",1899 Hoffenheim,Sturm,19,1,23,"4,35%",797
147,"Schulz, Christian",Hannover 96,Abwehr,19,1,8,"12,50%",1601
147,"Mak, Róbert",1. FC Nürnberg,Sturm,19,1,22,"4,55%",879
147,"Occéan, Olivier",Eintracht Frankfurt,Sturm,18,1,25,"4,00%",998
147,"Díaz, Júnior",1. FSV Mainz 05,Abwehr,18,1,4,"25,00%",1311
147,"Bruma, Jeffrey",Hamburger SV,Abwehr,18,1,8,"12,50%",1023
147,"Tymoshchuk, Anatoliy",Bayern München,Mittelfeld,16,1,6,"16,67%",592
147,"Boenisch, Sebastian",Bayer Leverkusen,Abwehr,15,1,25,"4,00%",1137
147,"Zimmermann, Matthias",SpVgg Greuther Fürth,Abwehr,15,1,12,"8,33%",1233
147,"Santini, Ivan",SC Freiburg,Sturm,14,1,5,"20,00%",322
147,"Kadlec, Michal",Bayer Leverkusen,Abwehr,14,1,12,"8,33%",1204
147,"Plattenhardt, Marvin",1. FC Nürnberg,Abwehr,14,1,8,"12,50%",820
147,"Petsos, Thanos",SpVgg Greuther Fürth,Mittelfeld,14,1,27,"3,70%",861
147,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,14,1,13,"7,69%",666
147,"Zimling, Niki",1. FSV Mainz 05,Mittelfeld,13,1,15,"6,67%",963
147,"Jiráček, Petr",Hamburger SV,Mittelfeld,13,1,9,"11,11%",843
147,"Hain, Stephan",FC Augsburg,Sturm,12,1,7,"14,29%",300
147,"Freis, Sebastian",SC Freiburg,Sturm,12,1,10,"10,00%",516
