No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
38,Roger,FC Ingolstadt 04,Mittelfeld,29,"59,32%","10,21",296
39,"Matip, Marvin",FC Ingolstadt 04,Abwehr,33,"58,99%","7,76",256
40,"Caldirola, Luca",SV Darmstadt 98,Abwehr,34,"58,93%","7,76",264
41,Javi Martínez,Bayern München,Abwehr,16,"58,88%","7,25",116
42,"Maroh, Dominic",1. FC Köln,Abwehr,25,"58,86%","8,64",216
43,"Ginter, Matthias",Borussia Dortmund,Abwehr,24,"58,79%","7,67",184
44,"Rajković, Slobodan",SV Darmstadt 98,Abwehr,15,"58,75%","6,27",94
45,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,31,"58,66%","7,32",227
46,"Jungwirth, Florian",SV Darmstadt 98,Abwehr,19,"58,65%","9,63",183
47,"Heintz, Dominique",1. FC Köln,Abwehr,33,"58,60%","7,64",252
48,"Bender, Lars",Bayer Leverkusen,Mittelfeld,11,"58,39%","15,18",167
49,"Díaz, Júnior",SV Darmstadt 98,Abwehr,12,"58,16%","6,83",82
50,"Bender, Sven",Borussia Dortmund,Mittelfeld,19,"58,12%","7,16",136
51,"Donati, Giulio",1. FSV Mainz 05,Abwehr,23,"58,12%","9,65",222
52,"Hector, Jonas",1. FC Köln,Abwehr,32,"57,43%","10,63",340
53,"Brooks, John Anthony",Hertha BSC,Abwehr,23,"57,41%","6,57",151
54,"Šunjić, Toni",VfB Stuttgart,Abwehr,19,"57,34%","8,63",164
54,"Höwedes, Benedikt",FC Schalke 04,Abwehr,15,"57,34%","5,47",82
56,"Brosinski, Daniel",1. FSV Mainz 05,Abwehr,30,"57,33%","7,3",219
57,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,20,"57,31%","7,45",149
58,"Elvedi, Nico",Bor. Mönchengladbach,Abwehr,21,"57,28%","8,62",181
59,"Ostrzolek, Matthias",Hamburger SV,Abwehr,32,"57,17%","10,59",339
60,"Zambrano, Carlos",Eintracht Frankfurt,Abwehr,24,"57,10%","7,71",185
61,"Verhaegh, Paul",FC Augsburg,Abwehr,25,"57,00%","6,68",167
62,"Weigl, Julian",Borussia Dortmund,Mittelfeld,30,"56,96%",9,270
63,Thiago,Bayern München,Mittelfeld,27,"56,96%","9,85",266
64,"Sørensen, Frederik",1. FC Köln,Abwehr,22,"56,90%","7,5",165
65,"Djourou, Johan",Hamburger SV,Abwehr,26,"56,82%","6,73",175
66,"Xhaka, Granit",Bor. Mönchengladbach,Mittelfeld,28,"56,66%","13,21",370
67,"Kadeřábek, Pavel",1899 Hoffenheim,Abwehr,28,"56,59%","8,43",236
68,Vieirinha,VfL Wolfsburg,Mittelfeld,26,"56,50%","9,19",239
69,"Fritz, Clemens",Werder Bremen,Abwehr,29,"56,49%","12,31",357
70,"Ekdal, Albin",Hamburger SV,Mittelfeld,14,"56,42%","11,93",167
71,"Diekmeier, Dennis",Hamburger SV,Abwehr,22,"56,27%","6,73",148
72,"Brégerie, Romain",FC Ingolstadt 04,Abwehr,22,"56,22%","4,73",104
73,"Bauer, Robert",FC Ingolstadt 04,Mittelfeld,24,"56,20%","8,13",195
74,"Hinteregger, Martin",Bor. Mönchengladbach,Abwehr,10,"56,12%","7,8",78
75,"Papadopoulos, Kyriakos",Bayer Leverkusen,Abwehr,16,"56,05%","7,81",125
76,"Bargfrede, Philipp",Werder Bremen,Mittelfeld,14,"56,01%","11,64",163
77,Dante,VfL Wolfsburg,Abwehr,24,"55,84%","8,17",196
78,"Oczipka, Bastian",Eintracht Frankfurt,Abwehr,30,"55,70%","8,63",259
79,"Sakai, Hiroki",Hannover 96,Abwehr,26,"55,69%","10,92",284
80,Rafinha,Bayern München,Abwehr,25,"55,56%","5,6",140
81,"Gündoğan, İlkay",Borussia Dortmund,Mittelfeld,25,"55,48%","10,12",253
82,"Plattenhardt, Marvin",Hertha BSC,Abwehr,33,"55,37%","7,03",232
83,"Aogo, Dennis",FC Schalke 04,Abwehr,23,"55,33%","5,87",135
84,"Pekarík, Peter",Hertha BSC,Abwehr,12,"55,28%","9,17",110
85,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,33,"55,18%","11,45",378
86,"Abraham, David",Eintracht Frankfurt,Abwehr,31,"55,14%","7,61",236
87,"Kimmich, Joshua",Bayern München,Mittelfeld,23,"55,09%","5,17",119
88,"Neustädter, Roman",FC Schalke 04,Mittelfeld,30,"55,04%","6,73",202
89,Xabi Alonso,Bayern München,Mittelfeld,26,"54,92%","8,15",212
90,"Levels, Tobias",FC Ingolstadt 04,Abwehr,16,"54,91%","11,19",179
91,"Russ, Marco",Eintracht Frankfurt,Abwehr,28,"54,80%","8,36",234
92,"Coman, Kingsley",Bayern München,Sturm,23,"54,78%","9,96",229
93,"Lahm, Philipp",Bayern München,Abwehr,26,"54,51%","5,35",139
94,"Baumgartl, Timo",VfB Stuttgart,Abwehr,19,"54,48%",8,152
95,"Olkowski, Paweł",1. FC Köln,Abwehr,19,"54,29%",6,114
96,"Schwegler, Pirmin",1899 Hoffenheim,Mittelfeld,21,"54,21%","9,19",193
97,"Lukimya, Assani",Werder Bremen,Abwehr,12,"54,21%","9,67",116
98,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,24,"54,19%","8,08",194
99,"Kolašinac, Sead",FC Schalke 04,Abwehr,23,"54,14%","7,96",183
100,"Skjelbred, Per",Hertha BSC,Mittelfeld,31,"54,10%","8,94",277
101,"Baier, Daniel",FC Augsburg,Mittelfeld,28,"54,02%","7,68",215
102,"Schwaab, Daniel",VfB Stuttgart,Abwehr,29,"53,81%","8,28",240
103,"Albornoz, Miiko",Hannover 96,Abwehr,23,"53,66%","9,57",220
104,"Gentner, Christian",VfB Stuttgart,Mittelfeld,29,"53,63%","9,93",288
105,"Träsch, Christian",VfL Wolfsburg,Abwehr,29,"53,62%","8,93",259
106,"Traoré, Ibrahima",Bor. Mönchengladbach,Mittelfeld,24,"53,47%","9,96",239
107,"Dost, Bas",VfL Wolfsburg,Sturm,22,"53,15%","5,36",118
108,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,31,"53,13%","7,68",238
109,"Stark, Niklas",Hertha BSC,Mittelfeld,21,"53,07%","5,76",121
110,"Knoche, Robin",VfL Wolfsburg,Abwehr,11,"53,03%","6,36",70
111,"Guilavogui, Josuha",VfL Wolfsburg,Mittelfeld,30,"53,02%","9,67",290
112,"Geis, Johannes",FC Schalke 04,Mittelfeld,28,"52,93%","8,07",226
113,Luiz Gustavo,VfL Wolfsburg,Mittelfeld,22,"52,78%","9,5",209
114,"Karaman, Kenan",Hannover 96,Sturm,23,"52,70%","9,35",215
115,"Strobl, Tobias",1899 Hoffenheim,Mittelfeld,26,"52,68%","9,46",246
116,"Koo, Ja-cheol",FC Augsburg,Mittelfeld,29,"52,65%","10,28",298
117,Juan Bernat,Bayern München,Abwehr,16,"52,59%","7,63",122
118,"Chandler, Timothy",Eintracht Frankfurt,Abwehr,12,"52,52%","6,08",73
119,"Suttner, Markus",FC Ingolstadt 04,Abwehr,18,"52,49%","7,61",137
120,"Baumgartlinger, Julian",1. FSV Mainz 05,Mittelfeld,31,"52,44%","11,45",355
121,"Vidal, Arturo",Bayern München,Mittelfeld,30,"52,20%","9,5",285
122,"Ciğerci, Tolga",Hertha BSC,Mittelfeld,18,"52,11%","8,22",148
123,"Gerhardt, Yannick",1. FC Köln,Mittelfeld,29,"52,09%","8,59",249
124,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,30,"52,08%","7,1",213
125,"Schulz, Christian",Hannover 96,Abwehr,25,"52,05%","7,12",178
126,"Choupo-Moting, Eric Maxim",FC Schalke 04,Sturm,28,"51,94%","11,96",335
127,"Schmelzer, Marcel",Borussia Dortmund,Abwehr,26,"51,90%","7,35",191
128,"Holtby, Lewis",Hamburger SV,Mittelfeld,34,"51,82%","12,12",412
129,Gálvez,Werder Bremen,Abwehr,21,"51,79%","5,52",116
130,"Sakai, Gōtoku",Hamburger SV,Abwehr,22,"51,78%","7,95",175
131,"Schär, Fabian",1899 Hoffenheim,Abwehr,24,"51,67%","5,79",139
132,"Niemeyer, Peter",SV Darmstadt 98,Mittelfeld,31,"51,56%","11,23",348
133,"Hilbert, Roberto",Bayer Leverkusen,Abwehr,12,"51,46%","8,83",106
134,"Toljan, Jeremy",1899 Hoffenheim,Abwehr,18,"51,42%","7,06",127
135,"Garics, György",SV Darmstadt 98,Abwehr,21,"51,40%","5,24",110
136,"Insúa, Emiliano",VfB Stuttgart,Abwehr,33,"51,26%","9,21",304
137,"Osako, Yuya",1. FC Köln,Sturm,25,"51,04%","7,84",196
138,"Jung, Gideon",Hamburger SV,Abwehr,19,"50,96%",7,133
139,"Johnson, Fabian",Bor. Mönchengladbach,Mittelfeld,26,"50,92%","7,46",194
140,"Latza, Danny",1. FSV Mainz 05,Mittelfeld,27,"50,90%","9,41",254
141,"Bussmann, Gaëtan",1. FSV Mainz 05,Abwehr,13,"50,83%","9,38",122
142,"Klaus, Felix",Hannover 96,Mittelfeld,18,"50,74%","5,72",103
143,Wendell,Bayer Leverkusen,Abwehr,28,"50,68%","10,71",300
144,"Goretzka, Leon",FC Schalke 04,Mittelfeld,25,"50,64%","11,12",278
145,"Riether, Sascha",FC Schalke 04,Abwehr,17,"50,63%","4,71",80
146,"Jedvaj, Tin",Bayer Leverkusen,Abwehr,15,"50,50%","6,8",102
147,"Hasebe, Makoto",Eintracht Frankfurt,Mittelfeld,32,"50,40%","7,91",253
148,"Sorg, Oliver",Hannover 96,Abwehr,20,"50,37%","6,75",135
149,"Vogt, Kevin",1. FC Köln,Mittelfeld,23,"50,34%","6,52",150
150,"Robben, Arjen",Bayern München,Sturm,15,"50,27%","6,13",92
151,"Ignjovski, Aleksandar",Eintracht Frankfurt,Mittelfeld,18,"50,15%","9,33",168
152,"Kagawa, Shinji",Borussia Dortmund,Mittelfeld,29,"50,11%","7,79",226
153,"Polanski, Eugen",1899 Hoffenheim,Mittelfeld,27,"50,11%","8,81",238
154,"Weiser, Mitchell",Hertha BSC,Mittelfeld,29,"49,92%","10,86",315
155,"Grillitsch, Florian",Werder Bremen,Mittelfeld,25,"49,89%","9,48",237
156,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,24,"49,89%","9,25",222
157,"Ramos, Adrián",Borussia Dortmund,Sturm,27,"49,81%","4,74",128
158,"Gouweleeuw, Jeffrey",FC Augsburg,Abwehr,11,"49,70%","7,64",84
159,Raffael,Bor. Mönchengladbach,Sturm,31,"49,68%","9,9",307
160,"Hunt, Aaron",Hamburger SV,Mittelfeld,23,"49,63%","8,7",200
161,"Kramer, Christoph",Bayer Leverkusen,Mittelfeld,28,"49,61%","11,32",317
162,"Højbjerg, Pierre-Emile",FC Schalke 04,Mittelfeld,23,"49,54%","7,09",163
163,"Kiyotake, Hiroshi",Hannover 96,Mittelfeld,21,"49,48%","6,86",144
164,"Christiansen, Max",FC Ingolstadt 04,Mittelfeld,19,"49,44%",7,133
165,"Gülselam, Ceyhun",Hannover 96,Mittelfeld,13,"49,40%","9,46",123
166,"Mkhitaryan, Henrikh",Borussia Dortmund,Mittelfeld,31,"49,39%","11,77",365
167,"Haraguchi, Genki",Hertha BSC,Sturm,32,"49,35%","9,47",303
168,André Ramalho,Bayer Leverkusen,Mittelfeld,19,"49,33%","5,84",111
169,"Draxler, Julian",VfL Wolfsburg,Mittelfeld,24,"49,21%","7,83",188
170,"Risse, Marcel",1. FC Köln,Mittelfeld,33,"49,09%","7,33",242
171,"Dié, Serey",VfB Stuttgart,Mittelfeld,23,"48,96%","8,17",188
172,"Kießling, Stefan",Bayer Leverkusen,Sturm,30,"48,91%","13,4",402
173,"Belhanda, Younès",FC Schalke 04,Mittelfeld,15,"48,88%","7,27",109
174,"Durm, Erik",Borussia Dortmund,Abwehr,14,"48,82%","5,93",83
175,"Esswein, Alexander",FC Augsburg,Sturm,29,"48,76%","6,76",196
176,"Max, Philipp",FC Augsburg,Abwehr,26,"48,75%",6,156
177,Caiuby,FC Augsburg,Mittelfeld,26,"48,70%","15,81",411
178,"Meier, Alexander",Eintracht Frankfurt,Sturm,19,"48,57%","8,05",153
179,"Kampl, Kevin",Bayer Leverkusen,Mittelfeld,23,"48,49%","9,09",209
180,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,10,"48,48%","4,8",48
181,"Kim, Jin-su",1899 Hoffenheim,Abwehr,15,"48,45%","8,33",125
182,Douglas Costa,Bayern München,Mittelfeld,27,"48,42%","7,96",215
183,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,18,"48,41%","4,22",76
184,"Modeste, Anthony",1. FC Köln,Sturm,34,"48,29%","10,41",354
185,"Feulner, Markus",FC Augsburg,Mittelfeld,19,"48,28%","6,63",126
186,"Vrančić, Mario",SV Darmstadt 98,Mittelfeld,22,"48,26%","5,05",111
187,"Cohen, Almog",FC Ingolstadt 04,Mittelfeld,20,"48,24%","4,8",96
188,"Dahoud, Mahmoud",Bor. Mönchengladbach,Mittelfeld,32,"48,24%","8,97",287
189,Junior Caiçara,FC Schalke 04,Abwehr,23,"48,23%","10,09",232
190,"Castro, Gonzalo",Borussia Dortmund,Mittelfeld,25,"47,94%","6,04",151
191,"Caligiuri, Daniel",VfL Wolfsburg,Mittelfeld,29,"47,83%","9,9",287
192,"Iličević, Ivo",Hamburger SV,Mittelfeld,31,"47,76%","9,29",288
193,"Groß, Pascal",FC Ingolstadt 04,Mittelfeld,32,"47,60%","8,97",287
194,"Lehmann, Matthias",1. FC Köln,Mittelfeld,32,"47,58%","5,84",187
195,"Holland, Fabian",SV Darmstadt 98,Abwehr,18,"47,51%","6,89",124
196,"Klein, Florian",VfB Stuttgart,Abwehr,22,"47,47%","6,41",141
197,"Bobadilla, Raúl",FC Augsburg,Sturm,27,"47,25%","8,59",232
198,"Reus, Marco",Borussia Dortmund,Sturm,26,"47,14%","6,65",173
199,"Gregoritsch, Michael",Hamburger SV,Sturm,25,"47,00%","8,76",219
200,"Meyer, Max",FC Schalke 04,Mittelfeld,32,"46,97%","6,06",194
201,"Stendera, Marc",Eintracht Frankfurt,Mittelfeld,26,"46,93%","10,88",283
202,"Córdoba, Jhon",1. FSV Mainz 05,Sturm,22,"46,76%","10,5",231
203,"Gondorf, Jerôme",SV Darmstadt 98,Mittelfeld,33,"46,62%","10,45",345
204,"Großkreutz, Kevin",VfB Stuttgart,Mittelfeld,10,"46,41%","8,4",84
205,"Lewandowski, Robert",Bayern München,Sturm,32,"46,39%","8,84",283
206,"Kohr, Dominik",FC Augsburg,Mittelfeld,31,"46,35%","9,42",292
207,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,31,"46,32%","8,94",277
208,"Regäsel, Yanni",Eintracht Frankfurt,Abwehr,16,"46,30%","4,69",75
209,"Kačar, Gojko",Hamburger SV,Mittelfeld,19,"46,24%","6,79",129
210,"Bengtsson, Pierre",1. FSV Mainz 05,Abwehr,16,"46,23%","5,75",92
211,"Huszti, Szabolcs",Eintracht Frankfurt,Mittelfeld,15,"45,95%","10,2",153
212,"Hernández, Javier",Bayer Leverkusen,Sturm,28,"45,69%","6,25",175
213,"Sané, Leroy",FC Schalke 04,Mittelfeld,33,"45,69%","9,64",318
214,"Rosenthal, Jan",SV Darmstadt 98,Mittelfeld,23,"45,57%","7,83",180
215,"Werner, Tobias",FC Augsburg,Mittelfeld,13,"45,45%","3,46",45
216,"Ujah, Anthony",Werder Bremen,Sturm,32,"45,31%","8,75",280
217,"Stindl, Lars",Bor. Mönchengladbach,Mittelfeld,30,"45,28%","11,2",336
218,"Korb, Julian",Bor. Mönchengladbach,Abwehr,17,"45,23%","6,41",109
219,"Kruse, Max",VfL Wolfsburg,Sturm,32,"45,19%","5,72",183
220,"Didavi, Daniel",VfB Stuttgart,Mittelfeld,31,"45,18%","9,68",300
221,"Schmid, Jonathan",1899 Hoffenheim,Mittelfeld,23,"45,14%","5,04",116
222,"Frei, Fabian",1. FSV Mainz 05,Mittelfeld,18,"45,13%","5,67",102
223,"Wagner, Sandro",SV Darmstadt 98,Sturm,32,"45,11%","14,13",452
223,"Bartels, Fin",Werder Bremen,Mittelfeld,30,"45,11%","7,53",226
225,"Leckie, Mathew",FC Ingolstadt 04,Sturm,32,"45,01%","12,69",406
226,"Djakpa, Constant",Eintracht Frankfurt,Abwehr,12,"44,83%","4,33",52
227,"Bittencourt, Leonardo",1. FC Köln,Mittelfeld,29,"44,81%","9,97",289
228,"Ibišević, Vedad",Hertha BSC,Sturm,26,"44,81%","10,62",276
229,"Mehmedi, Admir",Bayer Leverkusen,Sturm,28,"44,62%","5,93",166
230,"Rupp, Lukas",VfB Stuttgart,Mittelfeld,29,"44,53%","9,69",281
231,"Kostić, Filip",VfB Stuttgart,Mittelfeld,30,"44,53%","9,77",293
232,"Müller, Thomas",Bayern München,Sturm,31,"44,39%","8,03",249
233,"Çalhanoğlu, Hakan",Bayer Leverkusen,Mittelfeld,31,"44,38%","7,9",245
234,"Volland, Kevin",1899 Hoffenheim,Sturm,33,"44,36%","11,21",370
235,"Pizarro, Claudio",Werder Bremen,Sturm,28,"44,35%","7,86",220
236,"Schürrle, André",VfL Wolfsburg,Sturm,29,"44,34%","6,34",184
237,"Schmiedebach, Manuel",Hannover 96,Mittelfeld,22,"44,33%","10,14",223
238,"Kalou, Salomon",Hertha BSC,Sturm,32,"44,15%","8,38",268
239,"Ribéry, Franck",Bayern München,Mittelfeld,13,"43,84%","6,85",89
240,"Morales, Alfredo",FC Ingolstadt 04,Mittelfeld,24,"43,75%","9,04",217
241,"Amiri, Nadiem",1899 Hoffenheim,Mittelfeld,25,"43,50%","6,56",164
242,"Altintop, Halil",FC Augsburg,Sturm,19,"43,46%","4,89",93
243,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,34,"43,36%","6,91",235
244,"Öztunali, Levin",Werder Bremen,Mittelfeld,25,"43,33%","7,28",182
245,"Mladenović, Filip",1. FC Köln,Abwehr,14,"43,29%","5,07",71
246,"Reinartz, Stefan",Eintracht Frankfurt,Mittelfeld,15,"43,27%","7,93",119
247,"Darida, Vladimír",Hertha BSC,Mittelfeld,31,"43,21%",8,248
248,"Bellarabi, Karim",Bayer Leverkusen,Mittelfeld,33,"43,19%","9,61",317
249,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,30,"43,13%","8,27",248
250,"Ginczek, Daniel",VfB Stuttgart,Sturm,7,"42,98%",14,98
251,"Uth, Mark",1899 Hoffenheim,Sturm,25,"42,86%","6,36",159
252,"Prib, Edgar",Hannover 96,Mittelfeld,20,"42,78%","8,3",166
253,"Hartmann, Moritz",FC Ingolstadt 04,Sturm,30,"42,47%","6,77",203
254,"Götze, Mario",Bayern München,Mittelfeld,14,"42,08%","6,64",93
255,"Hazard, Thorgan",Bor. Mönchengladbach,Mittelfeld,29,"41,94%","7,45",216
256,"Hinterseer, Lukas",FC Ingolstadt 04,Sturm,28,"41,94%","7,89",221
257,"Szalai, Ádám",Hannover 96,Sturm,16,"41,92%","6,81",109
258,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,25,"41,73%","4,24",106
259,"Fossum, Iver",Hannover 96,Mittelfeld,9,"41,71%","8,67",78
260,"Kramarić, Andrej",1899 Hoffenheim,Sturm,15,"41,48%","4,87",73
261,"de Blasis, Pablo",1. FSV Mainz 05,Mittelfeld,26,"41,36%","7,73",201
262,"Seferović, Haris",Eintracht Frankfurt,Sturm,29,"41,14%","8,97",260
263,"Harnik, Martin",VfB Stuttgart,Sturm,19,"41,06%","6,53",124
264,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,31,"41,04%","6,35",197
265,"Müller, Nicolai",Hamburger SV,Mittelfeld,29,"40,92%","9,48",275
266,"Fabián, Marco",Eintracht Frankfurt,Mittelfeld,11,"40,91%",9,99
267,"Brandt, Julian",Bayer Leverkusen,Mittelfeld,29,"40,71%","5,14",149
268,"Vargas, Eduardo",1899 Hoffenheim,Sturm,24,"40,63%","6,5",156
269,"Di Santo, Franco",FC Schalke 04,Sturm,25,"40,56%","5,24",131
270,"Kempe, Tobias",SV Darmstadt 98,Mittelfeld,31,"40,20%","3,9",121
271,"Rausch, Konstantin",SV Darmstadt 98,Abwehr,31,"40,12%","4,26",132
272,"Andreasen, Leon",Hannover 96,Mittelfeld,15,"39,91%","6,2",93
273,"Bech, Uffe",Hannover 96,Sturm,11,"39,77%","6,36",70
274,"Hahn, André",Bor. Mönchengladbach,Mittelfeld,15,"39,70%","7,07",106
275,"Heller, Marcel",SV Darmstadt 98,Sturm,33,"39,53%","7,15",236
276,"Sobiech, Artur",Hannover 96,Sturm,25,"39,18%","6,88",172
277,"Lezcano, Dario",FC Ingolstadt 04,Sturm,17,"39,15%","12,41",211
278,"Castaignos, Luc",Eintracht Frankfurt,Sturm,19,"39,07%","4,42",84
279,"Muto, Yoshinori",1. FSV Mainz 05,Sturm,20,"38,96%",9,180
280,"Schipplock, Sven",Hamburger SV,Sturm,20,"38,44%","6,15",123
281,"Aubameyang, Pierre-Emerick",Borussia Dortmund,Sturm,31,"37,97%","4,94",153
282,"Lasogga, Pierre-Michel",Hamburger SV,Sturm,30,"37,93%","6,23",187
283,"Zoller, Simon",1. FC Köln,Sturm,24,"37,84%","3,5",84
284,"Stocker, Valentin",Hertha BSC,Mittelfeld,22,"37,79%","4,5",99
285,"Ji, Dong-won",FC Augsburg,Sturm,21,"37,38%","3,67",77
286,"Clemens, Christian",1. FSV Mainz 05,Mittelfeld,28,"37,10%","4,57",128
287,Jairo,1. FSV Mainz 05,Mittelfeld,31,"36,48%","8,48",263
288,"Finnbogason, Alfreð",FC Augsburg,Sturm,14,"36,05%","6,64",93
289,"Werner, Timo",VfB Stuttgart,Sturm,33,"35,85%","6,33",209
290,"Drmić, Josip",Hamburger SV,Sturm,19,"35,59%","4,16",79
291,"Lex, Stefan",FC Ingolstadt 04,Sturm,21,"31,71%","3,1",65
