No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
1,"Boateng, Jérôme",Bayern München,Abwehr,19,"71,65%","4,79",91
2,"Djilobodji, Papy",Werder Bremen,Abwehr,14,"69,90%","10,29",144
3,"Hummels, Mats",Borussia Dortmund,Abwehr,30,"68,18%","10,5",315
4,"Langkamp, Sebastian",Hertha BSC,Abwehr,22,"67,74%","8,59",189
5,"Sulu, Aytaç",SV Darmstadt 98,Abwehr,33,"66,01%","9,18",303
6,"Christensen, Andreas",Bor. Mönchengladbach,Abwehr,31,"65,80%","8,13",252
7,"Benatia, Medhi",Bayern München,Abwehr,14,"65,27%","7,79",109
8,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,12,"64,56%","8,5",102
9,"Hack, Alexander",1. FSV Mainz 05,Abwehr,7,"64,41%","10,86",76
10,"Süle, Niklas",1899 Hoffenheim,Abwehr,33,"64,38%","6,24",206
11,"Hübner, Benjamin",FC Ingolstadt 04,Abwehr,30,"64,02%","11,03",331
12,"Bungert, Niko",1. FSV Mainz 05,Abwehr,21,"63,90%","8,43",177
13,"Matip, Joel",FC Schalke 04,Abwehr,34,"63,73%","9,15",311
14,Marcelo,Hannover 96,Abwehr,19,"63,31%","9,26",176
15,"Papastathopoulos, Sokratis",Borussia Dortmund,Abwehr,25,"63,23%","9,56",239
16,"Bičakčić, Ermin",1899 Hoffenheim,Abwehr,21,"62,95%","6,71",141
17,"Milošević, Alexander",Hannover 96,Abwehr,10,"61,81%","8,9",89
18,Cléber,Hamburger SV,Abwehr,23,"61,59%","8,78",202
19,"Tah, Jonathan",Bayer Leverkusen,Abwehr,29,"61,10%","9,97",289
20,Naldo,VfL Wolfsburg,Abwehr,29,"61,01%","9,55",277
21,"García, Santiago",Werder Bremen,Abwehr,29,"60,91%","12,41",360
22,"Niedermeier, Georg",VfB Stuttgart,Abwehr,18,"60,71%","6,61",119
23,"Toprak, Ömer",Bayer Leverkusen,Abwehr,19,"60,67%","8,53",162
24,"Mavraj, Mergim",1. FC Köln,Abwehr,12,"60,45%","8,92",107
25,"Hong, Jeong-ho",FC Augsburg,Abwehr,23,"60,40%","6,57",151
26,"Sané, Salif",Hannover 96,Abwehr,31,"60,29%","14,65",454
27,"Klavan, Ragnar",FC Augsburg,Abwehr,31,"60,24%","6,45",200
28,"Balogun, Leon",1. FSV Mainz 05,Abwehr,21,"60,22%","10,67",224
29,"Klose, Timm",VfL Wolfsburg,Abwehr,8,"60,20%","7,38",59
30,"Stafylidis, Kostas",FC Augsburg,Abwehr,11,"60,15%","7,27",80
31,"Vestergaard, Jannik",Werder Bremen,Abwehr,33,"60,11%","10,18",336
32,"Bell, Stefan",1. FSV Mainz 05,Abwehr,30,"60,09%","9,23",277
33,"Lustenberger, Fabian",Hertha BSC,Mittelfeld,30,"60,05%","8,37",251
34,"Schäfer, Marcel",VfL Wolfsburg,Abwehr,21,"60,00%","5,43",114
35,"da Costa, Danny",FC Ingolstadt 04,Abwehr,20,"59,55%","9,35",187
36,"Spahić, Emir",Hamburger SV,Abwehr,26,"59,55%","10,19",265
37,"Alaba, David",Bayern München,Abwehr,30,"59,33%","5,3",159
