No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
1,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,32,29,92,"31,52%","96,69"
2,"Gomez, Mario",Bayern München,Sturm,33,26,101,"25,74%","95,46"
3,"Lewandowski, Robert",Borussia Dortmund,Sturm,34,22,125,"17,60%","130,91"
4,"Reus, Marco",Bor. Mönchengladbach,Sturm,32,18,109,"16,51%","154,5"
4,"Podolski, Lukas",1. FC Köln,Sturm,29,18,86,"20,93%","140,56"
4,"Pizarro, Claudio",Werder Bremen,Sturm,29,18,87,"20,69%","140,22"
7,"Harnik, Martin",VfB Stuttgart,Sturm,34,17,62,"27,42%","163,71"
8,"Kießling, Stefan",Bayer Leverkusen,Sturm,34,16,78,"20,51%","164,06"
9,Raúl,FC Schalke 04,Sturm,32,15,75,"20,00%","186,6"
10,"Kagawa, Shinji",Borussia Dortmund,Mittelfeld,31,13,64,"20,31%",186
10,"Ibišević, Vedad",VfB Stuttgart,Sturm,25,13,68,"19,12%","155,23"
12,"Ribéry, Franck",Bayern München,Mittelfeld,32,12,68,"17,65%","199,42"
12,"Mandžukić, Mario",VfL Wolfsburg,Sturm,32,12,100,"12,00%","226,83"
12,"Robben, Arjen",Bayern München,Sturm,24,12,69,"17,39%","142,33"
12,"Helmes, Patrick",VfL Wolfsburg,Sturm,16,12,43,"27,91%","108,58"
16,"Abdellaoue, Mohammed",Hannover 96,Sturm,28,11,40,"27,50%","182,36"
17,"Choupo-Moting, Eric Maxim",1. FSV Mainz 05,Sturm,34,10,69,"14,49%","231,5"
17,"Rosenberg, Markus",Werder Bremen,Sturm,33,10,84,"11,90%","237,1"
19,"Pekhart, Tomáš",1. FC Nürnberg,Sturm,31,9,57,"15,79%","282,33"
19,"Salihović, Sejad",1899 Hoffenheim,Mittelfeld,23,9,56,"16,07%","200,89"
19,"Didavi, Daniel",1. FC Nürnberg,Mittelfeld,23,9,53,"16,98%","172,22"
19,"Cissé, Papiss Demba",SC Freiburg,Sturm,17,9,64,"14,06%",170
23,Cacau,VfB Stuttgart,Sturm,33,8,60,"13,33%",258
23,"Lasogga, Pierre-Michel",Hertha BSC,Sturm,32,8,48,"16,67%","230,25"
23,"Hanke, Mike",Bor. Mönchengladbach,Sturm,31,8,65,"12,31%","292,75"
26,"Müller, Thomas",Bayern München,Sturm,34,7,60,"11,67%","385,86"
26,"Großkreutz, Kevin",Borussia Dortmund,Mittelfeld,31,7,49,"14,29%","333,86"
26,"Schürrle, André",Bayer Leverkusen,Sturm,31,7,69,"10,14%","375,43"
26,Roberto Firmino,1899 Hoffenheim,Mittelfeld,30,7,61,"11,48%","313,29"
26,"Perišić, Ivan",Borussia Dortmund,Mittelfeld,28,7,40,"17,50%","139,71"
26,"Petrić, Mladen",Hamburger SV,Sturm,26,7,71,"9,86%","272,43"
26,"Okazaki, Shinji",VfB Stuttgart,Sturm,26,7,40,"17,50%","224,86"
26,"Derdiyok, Eren",Bayer Leverkusen,Sturm,25,7,48,"14,58%","175,29"
26,"Zidan, Mohamed",1. FSV Mainz 05,Sturm,14,7,28,"25,00%","134,14"
35,"Arango, Juan",Bor. Mönchengladbach,Mittelfeld,34,6,92,"6,52%","504,83"
35,"Makiadi, Cédric",SC Freiburg,Mittelfeld,33,6,58,"10,34%","470,67"
35,"Ramos, Adrián",Hertha BSC,Sturm,31,6,59,"10,17%","389,83"
35,Raffael,Hertha BSC,Mittelfeld,31,6,69,"8,70%","443,33"
35,"Błaszczykowski, Jakub",Borussia Dortmund,Mittelfeld,29,6,41,"14,63%","330,33"
35,"Ya Konan, Didier",Hannover 96,Sturm,28,6,69,"8,70%","292,67"
35,"Holtby, Lewis",FC Schalke 04,Mittelfeld,27,6,45,"13,33%","323,17"
35,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,27,6,32,"18,75%","290,5"
35,"Ivanschitz, Andreas",1. FSV Mainz 05,Mittelfeld,26,6,63,"9,52%","230,5"
35,"Caligiuri, Daniel",SC Freiburg,Mittelfeld,25,6,42,"14,29%","282,83"
35,"Guerrero, Paolo",Hamburger SV,Sturm,23,6,60,"10,00%","289,17"
35,"Arnautović, Marko",Werder Bremen,Sturm,19,6,42,"14,29%",162
35,"Götze, Mario",Borussia Dortmund,Mittelfeld,17,6,26,"23,08%","197,83"
35,"Diouf, Mame",Hannover 96,Sturm,10,6,16,"37,50%",130
49,"Schäfer, Marcel",VfL Wolfsburg,Abwehr,34,5,37,"13,51%","602,6"
49,"Clemens, Christian",1. FC Köln,Mittelfeld,31,5,30,"16,67%","418,2"
