No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
49,"Jansen, Marcell",Hamburger SV,Abwehr,29,5,51,"9,80%","462,4"
49,"Mölders, Sascha",FC Augsburg,Sturm,29,5,52,"9,62%","391,8"
49,"Gentner, Christian",VfB Stuttgart,Mittelfeld,28,5,38,"13,16%","292,6"
49,"Koo, Ja-cheol",FC Augsburg,Mittelfeld,27,5,25,"20,00%",364
49,"Son, Heung-min",Hamburger SV,Sturm,27,5,37,"13,51%","246,4"
49,"Kuzmanović, Zdravko",VfB Stuttgart,Mittelfeld,26,5,50,"10,00%","362,4"
49,"de Camargo, Igor",Bor. Mönchengladbach,Sturm,25,5,30,"16,67%","247,6"
49,"Novakovič, Milivoje",1. FC Köln,Sturm,20,5,42,"11,90%","322,8"
49,"Pukki, Teemu",FC Schalke 04,Sturm,19,5,19,"26,32%","123,6"
60,"Simons, Timmy",1. FC Nürnberg,Mittelfeld,34,4,16,"25,00%","760,5"
60,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,32,4,25,"16,00%",700
60,"Kroos, Toni",Bayern München,Mittelfeld,31,4,51,"7,84%","588,25"
60,"Babel, Ryan",1899 Hoffenheim,Sturm,31,4,68,"5,88%","612,5"
60,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,30,4,20,"20,00%","578,75"
60,"Bender, Lars",Bayer Leverkusen,Mittelfeld,28,4,21,"19,05%",596
60,"Langkamp, Sebastian",FC Augsburg,Abwehr,26,4,13,"30,77%",541
60,"Esswein, Alexander",1. FC Nürnberg,Sturm,26,4,42,"9,52%","457,75"
60,"Farfán, Jefferson",FC Schalke 04,Sturm,23,4,27,"14,81%","437,25"
60,"Müller, Nicolai",1. FSV Mainz 05,Mittelfeld,23,4,20,"20,00%","358,25"
60,"Torun, Tunay",Hertha BSC,Sturm,20,4,22,"18,18%","216,25"
60,"Allagui, Sami",1. FSV Mainz 05,Sturm,19,4,30,"13,33%",291
60,"Barrios, Lucas",Borussia Dortmund,Sturm,18,4,20,"20,00%","110,5"
60,"Sam, Sidney",Bayer Leverkusen,Mittelfeld,18,4,25,"16,00%","352,75"
60,"Oehrl, Torsten",FC Augsburg,Sturm,16,4,30,"13,33%","326,25"
60,"Van Buyten, Daniel",Bayern München,Abwehr,13,4,19,"21,05%","262,75"
76,"Hosogai, Hajime",FC Augsburg,Mittelfeld,32,3,14,"21,43%","909,67"
76,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,31,3,25,"12,00%","611,33"
76,"Schlaudraff, Jan",Hannover 96,Sturm,31,3,28,"10,71%","796,33"
76,"Daems, Filip",Bor. Mönchengladbach,Abwehr,31,3,12,"25,00%",930
76,"Niemeyer, Peter",Hertha BSC,Mittelfeld,31,3,27,"11,11%",830
76,"Jajalo, Mato",1. FC Köln,Mittelfeld,31,3,27,"11,11%","750,67"
76,"Reinartz, Stefan",Bayer Leverkusen,Mittelfeld,30,3,18,"16,67%","783,67"
76,"Flum, Johannes",SC Freiburg,Mittelfeld,30,3,27,"11,11%",830
76,"Matip, Joel",FC Schalke 04,Abwehr,30,3,12,"25,00%",877
76,"Bungert, Niko",1. FSV Mainz 05,Abwehr,29,3,20,"15,00%","808,33"
76,"Taşçı, Serdar",VfB Stuttgart,Abwehr,28,3,17,"17,65%","837,33"
76,"Gündoğan, İlkay",Borussia Dortmund,Mittelfeld,28,3,39,"7,69%",638
76,"Haggui, Karim",Hannover 96,Abwehr,27,3,16,"18,75%","780,33"
76,"Kehl, Sebastian",Borussia Dortmund,Mittelfeld,27,3,28,"10,71%",652
76,"Polanski, Eugen",1. FSV Mainz 05,Mittelfeld,26,3,21,"14,29%",658
76,"Dejagah, Ashkan",VfL Wolfsburg,Sturm,26,3,41,"7,32%","667,33"
76,"De Wit, Pierre",1. FC Kaiserslautern,Mittelfeld,25,3,40,"7,50%","610,67"
76,"Reisinger, Stefan",SC Freiburg,Sturm,25,3,29,"10,34%","288,33"
76,"Shechter, Itay",1. FC Kaiserslautern,Sturm,23,3,27,"11,11%","452,67"
76,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,22,3,23,"13,04%","576,33"
76,"Iličević, Ivo",Hamburger SV,Mittelfeld,22,3,32,"9,38%","474,33"
76,"Freis, Sebastian",SC Freiburg,Sturm,19,3,17,"17,65%","353,33"
76,Naldo,Werder Bremen,Abwehr,18,3,27,"11,11%",395
76,"Schieber, Julian",VfB Stuttgart,Sturm,18,3,23,"13,04%","324,33"
76,"Hunt, Aaron",Werder Bremen,Mittelfeld,18,3,40,"7,50%","532,67"
76,"Ben-Hatira, Änis",Hertha BSC,Mittelfeld,17,3,13,"23,08%","315,67"
76,"Salihamidžić, Hasan",VfL Wolfsburg,Mittelfeld,15,3,6,"50,00%","266,33"
76,"Szalai, Ádám",1. FSV Mainz 05,Sturm,15,3,22,"13,64%",356
104,"Wollscheid, Philipp",1. FC Nürnberg,Abwehr,33,2,20,"10,00%","1456,5"
104,"Dick, Florian",1. FC Kaiserslautern,Abwehr,32,2,26,"7,69%",1440
104,"Peszko, Sławomir",1. FC Köln,Mittelfeld,32,2,27,"7,41%",1154
104,"Castro, Gonzalo",Bayer Leverkusen,Abwehr,31,2,24,"8,33%",1357
104,"Kobiashvili, Levan",Hertha BSC,Mittelfeld,31,2,14,"14,29%","1375,5"
104,"Tiffert, Christian",1. FC Kaiserslautern,Mittelfeld,31,2,41,"4,88%",1336
104,"Compper, Marvin",1899 Hoffenheim,Abwehr,30,2,9,"22,22%",1350
104,"Caligiuri, Marco",1. FSV Mainz 05,Mittelfeld,30,2,35,"5,71%",1078
104,"Alaba, David",Bayern München,Abwehr,30,2,17,"11,76%",775
104,"Draxler, Julian",FC Schalke 04,Mittelfeld,30,2,35,"5,71%","889,5"
104,"Pander, Christian",Hannover 96,Abwehr,29,2,36,"5,56%","975,5"
104,"Papadopoulos, Kyriakos",FC Schalke 04,Abwehr,29,2,28,"7,14%","1274,5"
104,"Fuchs, Christian",FC Schalke 04,Abwehr,29,2,24,"8,33%",1305
104,"Johnson, Fabian",1899 Hoffenheim,Abwehr,29,2,17,"11,76%","1172,5"
104,"Stindl, Lars",Hannover 96,Mittelfeld,28,2,41,"4,88%","1248,5"
104,"Hubník, Roman",Hertha BSC,Abwehr,27,2,14,"14,29%",1201
104,Maza,VfB Stuttgart,Abwehr,26,2,13,"15,38%",1097
104,"Bellinghausen, Axel",FC Augsburg,Mittelfeld,25,2,27,"7,41%","956,5"
104,"Tesche, Robert",Hamburger SV,Mittelfeld,23,2,8,"25,00%",553
104,"Vestergaard, Jannik",1899 Hoffenheim,Abwehr,23,2,13,"15,38%",885
104,"Bruma, Jeffrey",Hamburger SV,Abwehr,22,2,20,"10,00%",968
104,"Boulahrouz, Khalid",VfB Stuttgart,Abwehr,21,2,14,"14,29%","919,5"
104,"Marica, Ciprian",FC Schalke 04,Sturm,21,2,14,"14,29%",201
104,"Olić, Ivica",Bayern München,Sturm,20,2,21,"9,52%","285,5"
104,"Schipplock, Sven",1899 Hoffenheim,Sturm,20,2,24,"8,33%","363,5"
104,"Jendrišek, Erik",SC Freiburg,Sturm,19,2,15,"13,33%",344
104,"Ballack, Michael",Bayer Leverkusen,Mittelfeld,18,2,27,"7,41%","610,5"
104,"Rosenthal, Jan",SC Freiburg,Mittelfeld,18,2,24,"8,33%","559,5"
104,"Vukčević, Boris",1899 Hoffenheim,Mittelfeld,18,2,27,"7,41%","668,5"
104,"Kouemaha, Dorge",1. FC Kaiserslautern,Sturm,17,2,46,"4,35%",579
104,"Mak, Róbert",1. FC Nürnberg,Sturm,17,2,20,"10,00%",433
104,"Prödl, Sebastian",Werder Bremen,Abwehr,16,2,9,"22,22%",532
104,"Jiráček, Petr",VfL Wolfsburg,Mittelfeld,13,2,7,"28,57%",394
104,"Polter, Sebastian",VfL Wolfsburg,Sturm,12,2,14,"14,29%",177
104,"Ujah, Anthony",1. FSV Mainz 05,Sturm,12,2,8,"25,00%","197,5"
104,"Chihi, Adil",1. FC Köln,Mittelfeld,10,2,11,"18,18%","378,5"
104,"Guédé, Karim",SC Freiburg,Mittelfeld,10,2,14,"14,29%","331,5"
104,"Petersen, Nils",Bayern München,Sturm,9,2,14,"14,29%","110,5"
104,Nando Rafael,FC Augsburg,Sturm,6,2,10,"20,00%",182
143,"Hummels, Mats",Borussia Dortmund,Abwehr,33,1,22,"4,55%",2950
143,"Hajnal, Tamás",VfB Stuttgart,Mittelfeld,33,1,47,"2,13%",2485
143,"Westermann, Heiko",Hamburger SV,Abwehr,33,1,26,"3,85%",2970
143,"Rausch, Konstantin",Hannover 96,Mittelfeld,33,1,35,"2,86%",2075
143,"Fritz, Clemens",Werder Bremen,Abwehr,32,1,23,"4,35%",2867
143,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,32,1,8,"12,50%",2823
143,"Soto, Elkin",1. FSV Mainz 05,Mittelfeld,31,1,25,"4,00%",2679
143,"Beck, Andreas",1899 Hoffenheim,Abwehr,31,1,24,"4,17%",2790
143,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,31,1,19,"5,26%",2383
143,"Hegeler, Jens",1. FC Nürnberg,Mittelfeld,31,1,34,"2,94%",1832
143,"Papastathopoulos, Sokratis",Werder Bremen,Abwehr,30,1,24,"4,17%",2545
143,"Chandler, Timothy",1. FC Nürnberg,Abwehr,30,1,28,"3,57%",2517
143,Sérgio da Silva Pinto,Hannover 96,Mittelfeld,30,1,50,"2,00%",2511
143,"Pogatetz, Emanuel",Hannover 96,Abwehr,29,1,14,"7,14%",2468
143,"Kadlec, Michal",Bayer Leverkusen,Abwehr,29,1,26,"3,85%",2458
143,"Feulner, Markus",1. FC Nürnberg,Mittelfeld,28,1,34,"2,94%",2118
143,Luiz Gustavo,Bayern München,Mittelfeld,28,1,14,"7,14%",1704
143,"Lell, Christian",Hertha BSC,Abwehr,28,1,10,"10,00%",2405
143,"Schmelzer, Marcel",Borussia Dortmund,Abwehr,28,1,32,"3,13%",2436
143,"Şahan, Olcay",1. FC Kaiserslautern,Mittelfeld,27,1,30,"3,33%",1984
143,"Schulz, Christian",Hannover 96,Abwehr,27,1,15,"6,67%",2017
143,"Höger, Marco",FC Schalke 04,Mittelfeld,27,1,4,"25,00%",1730
143,"Verhaegh, Paul",FC Augsburg,Abwehr,26,1,7,"14,29%",2331
143,"McKenna, Kevin",1. FC Köln,Abwehr,25,1,6,"16,67%",1417
143,"Friedrich, Manuel",Bayer Leverkusen,Abwehr,24,1,11,"9,09%",1741
143,"Russ, Marco",VfL Wolfsburg,Abwehr,24,1,9,"11,11%",1977
143,"Rukavytsya, Nikita",Hertha BSC,Sturm,24,1,14,"7,14%",1365
143,"Bender, Sven",Borussia Dortmund,Mittelfeld,24,1,15,"6,67%",1589
143,"Mlapa, Peniel",1899 Hoffenheim,Sturm,24,1,24,"4,17%",1035
143,"Obasi, Chinedu",FC Schalke 04,Sturm,23,1,32,"3,13%",1455
143,"Kirch, Oliver",1. FC Kaiserslautern,Mittelfeld,23,1,24,"4,17%",1664
143,"Eigler, Christian",1. FC Nürnberg,Sturm,23,1,24,"4,17%",1213
143,"Madlung, Alexander",VfL Wolfsburg,Abwehr,23,1,16,"6,25%",1515
143,"Hasebe, Makoto",VfL Wolfsburg,Mittelfeld,23,1,3,"33,33%",1751
143,"Werner, Tobias",FC Augsburg,Mittelfeld,22,1,44,"2,27%",1140
143,"Höwedes, Benedikt",FC Schalke 04,Abwehr,22,1,16,"6,25%",1813
143,Rodnei,1. FC Kaiserslautern,Abwehr,22,1,11,"9,09%",1816
143,"Schmid, Jonathan",SC Freiburg,Mittelfeld,22,1,23,"4,35%",1936
143,"Maroh, Dominic",1. FC Nürnberg,Abwehr,21,1,9,"11,11%",1752
143,"Mijatović, Andre",Hertha BSC,Abwehr,21,1,12,"8,33%",1751
143,"Ekici, Mehmet",Werder Bremen,Mittelfeld,21,1,29,"3,45%",953
143,"Marin, Marko",Werder Bremen,Mittelfeld,21,1,31,"3,23%",1348
143,"Kačar, Gojko",Hamburger SV,Mittelfeld,21,1,14,"7,14%",1181
143,"Schuster, Julian",SC Freiburg,Mittelfeld,21,1,26,"3,85%",1720
143,"Braafheid, Edson",1899 Hoffenheim,Abwehr,21,1,12,"8,33%",1458
143,"Bugera, Alexander",1. FC Kaiserslautern,Abwehr,20,1,18,"5,56%",1764
143,"Balitsch, Hanno",1. FC Nürnberg,Mittelfeld,20,1,10,"10,00%",1341
143,"Roshi, Odise",1. FC Köln,Mittelfeld,20,1,8,"12,50%",574
143,"Ndjeng, Marcel",FC Augsburg,Mittelfeld,19,1,27,"3,70%",984
143,"Krmaš, Pavel",SC Freiburg,Abwehr,19,1,5,"20,00%",1621
143,"Bunjaku, Albert",1. FC Nürnberg,Sturm,17,1,20,"5,00%",573
143,"Metzelder, Christoph",FC Schalke 04,Abwehr,16,1,6,"16,67%",1015
143,"Rajković, Slobodan",Hamburger SV,Abwehr,16,1,11,"9,09%",1150
143,"Dembélé, Garra",SC Freiburg,Sturm,16,1,9,"11,11%",380
143,"Brinkmann, Daniel",FC Augsburg,Mittelfeld,15,1,17,"5,88%",810
143,"Jessen, Leon",1. FC Kaiserslautern,Abwehr,15,1,4,"25,00%",1194
143,"Bobadilla, Raúl",Bor. Mönchengladbach,Sturm,15,1,22,"4,55%",534
143,"Jemal, Ammar",1. FC Köln,Abwehr,15,1,4,"25,00%",1158
143,"Diagné, Fallou",SC Freiburg,Abwehr,15,1,2,"50,00%",1163
143,"Trybull, Tom",Werder Bremen,Mittelfeld,15,1,12,"8,33%",1111
143,"Pogrebnyak, Pavel",VfB Stuttgart,Sturm,14,1,9,"11,11%",571
143,"Mujdža, Mensur",SC Freiburg,Abwehr,14,1,8,"12,50%",1176
143,"Frantz, Mike",1. FC Nürnberg,Mittelfeld,13,1,8,"12,50%",584
143,Felipe Santana,Borussia Dortmund,Abwehr,13,1,6,"16,67%",948
143,"Berg, Marcus",Hamburger SV,Sturm,13,1,16,"6,25%",821
143,"Sala, Jacopo",Hamburger SV,Mittelfeld,13,1,10,"10,00%",725
143,"Ginter, Matthias",SC Freiburg,Abwehr,13,1,4,"25,00%",1015
143,"Pezzoni, Kevin",1. FC Köln,Mittelfeld,12,1,6,"16,67%",471
143,"Hain, Stephan",FC Augsburg,Sturm,12,1,5,"20,00%",378
143,"Traoré, Ibrahima",VfB Stuttgart,Mittelfeld,12,1,6,"16,67%",260
143,"de Jong, Marcel",FC Augsburg,Abwehr,12,1,11,"9,09%",898
143,"Barth, Oliver",SC Freiburg,Abwehr,12,1,4,"25,00%",1036
143,"Sobiech, Artur",Hannover 96,Sturm,12,1,5,"20,00%",227
143,"Derstroff, Julian",1. FC Kaiserslautern,Sturm,12,1,17,"5,88%",735
143,"Owomoyela, Patrick",Borussia Dortmund,Abwehr,11,1,3,"33,33%",280
143,"Füllkrug, Niclas",Werder Bremen,Sturm,11,1,7,"14,29%",326
143,"Risse, Marcel",1. FSV Mainz 05,Mittelfeld,10,1,24,"4,17%",722
143,"Bellarabi, Karim",Bayer Leverkusen,Mittelfeld,10,1,4,"25,00%",181
143,Chris,VfL Wolfsburg,Abwehr,8,1,6,"16,67%",580
143,"Arslan, Tolgay",Hamburger SV,Mittelfeld,8,1,12,"8,33%",389
143,"Wooten, Andrew",1. FC Kaiserslautern,Sturm,7,1,9,"11,11%",306
143,"Kapllani, Edmond",FC Augsburg,Sturm,6,1,5,"20,00%",55
143,Wesley,Werder Bremen,Mittelfeld,6,1,3,"33,33%",177
143,"Hleb, Aliaksandr",VfL Wolfsburg,Mittelfeld,4,1,3,"33,33%",185
143,"Nemec, Adam",1. FC Kaiserslautern,Sturm,4,1,2,"50,00%",86
