No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
1,"Lewandowski, Robert",Bayern München,Sturm,32,30,151,"19,87%","88,53"
2,"Aubameyang, Pierre-Emerick",Borussia Dortmund,Sturm,31,25,118,"21,19%","99,08"
3,"Müller, Thomas",Bayern München,Sturm,31,20,94,"21,28%","117,45"
4,"Hernández, Javier",Bayer Leverkusen,Sturm,28,17,64,"26,56%","128,06"
5,"Modeste, Anthony",1. FC Köln,Sturm,34,15,110,"13,64%","191,73"
6,"Wagner, Sandro",SV Darmstadt 98,Sturm,32,14,87,"16,09%","177,29"
6,"Kalou, Salomon",Hertha BSC,Sturm,32,14,55,"25,45%","181,14"
6,"Pizarro, Claudio",Werder Bremen,Sturm,28,14,46,"30,43%","124,93"
9,Raffael,Bor. Mönchengladbach,Sturm,31,13,70,"18,57%","206,92"
9,"Didavi, Daniel",VfB Stuttgart,Mittelfeld,31,13,95,"13,68%","187,31"
11,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,31,12,72,"16,67%","207,08"
11,"Hartmann, Moritz",FC Ingolstadt 04,Sturm,30,12,53,"22,64%",168
11,"Reus, Marco",Borussia Dortmund,Sturm,26,12,63,"19,05%","160,5"
11,"Meier, Alexander",Eintracht Frankfurt,Sturm,19,12,49,"24,49%","138,17"
15,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,34,11,64,"17,19%","254,18"
15,"Ujah, Anthony",Werder Bremen,Sturm,32,11,68,"16,18%","212,64"
15,"Mkhitaryan, Henrikh",Borussia Dortmund,Mittelfeld,31,11,81,"13,58%","234,45"
18,"Ibišević, Vedad",Hertha BSC,Sturm,26,10,62,"16,13%","209,9"
19,"Müller, Nicolai",Hamburger SV,Mittelfeld,29,9,37,"24,32%","240,56"
19,"Kagawa, Shinji",Borussia Dortmund,Mittelfeld,29,9,31,"29,03%","241,67"
19,"Schürrle, André",VfL Wolfsburg,Sturm,29,9,69,"13,04%","212,56"
19,"Brandt, Julian",Bayer Leverkusen,Mittelfeld,29,9,30,"30,00%","181,22"
19,"Ramos, Adrián",Borussia Dortmund,Sturm,27,9,37,"24,32%","105,11"
24,"Volland, Kevin",1899 Hoffenheim,Sturm,33,8,64,"12,50%","341,63"
24,"Sané, Leroy",FC Schalke 04,Mittelfeld,33,8,68,"11,76%","290,63"
24,"Bartels, Fin",Werder Bremen,Mittelfeld,30,8,43,"18,60%","259,5"
24,"Lasogga, Pierre-Michel",Hamburger SV,Sturm,30,8,53,"15,09%","220,5"
24,"Koo, Ja-cheol",FC Augsburg,Mittelfeld,29,8,40,"20,00%","262,5"
24,"Uth, Mark",1899 Hoffenheim,Sturm,25,8,35,"22,86%","176,13"
24,"Dost, Bas",VfL Wolfsburg,Sturm,22,8,40,"20,00%","171,5"
24,"Hahn, André",Bor. Mönchengladbach,Mittelfeld,15,8,26,"30,77%","93,38"
32,"Sulu, Aytaç",SV Darmstadt 98,Abwehr,33,7,21,"33,33%","424,29"
32,Jairo,1. FSV Mainz 05,Mittelfeld,31,7,39,"17,95%","330,14"
32,"Stindl, Lars",Bor. Mönchengladbach,Mittelfeld,30,7,67,"10,45%","371,14"
32,"Sobiech, Artur",Hannover 96,Sturm,25,7,31,"22,58%",234
32,"Muto, Yoshinori",1. FSV Mainz 05,Sturm,20,7,34,"20,59%","214,14"
32,"Finnbogason, Alfreð",FC Augsburg,Sturm,14,7,33,"21,21%",162
38,"Heller, Marcel",SV Darmstadt 98,Sturm,33,6,32,"18,75%",489
38,"Bellarabi, Karim",Bayer Leverkusen,Mittelfeld,33,6,73,"8,22%","434,83"
38,"Werner, Timo",VfB Stuttgart,Sturm,33,6,64,"9,38%","367,5"
38,"Kruse, Max",VfL Wolfsburg,Sturm,32,6,61,"9,84%","405,17"
38,"Choupo-Moting, Eric Maxim",FC Schalke 04,Sturm,28,6,50,"12,00%","312,5"
38,"Hinterseer, Lukas",FC Ingolstadt 04,Sturm,28,6,30,"20,00%","287,5"
38,"Johnson, Fabian",Bor. Mönchengladbach,Mittelfeld,26,6,26,"23,08%","360,33"
38,"Verhaegh, Paul",FC Augsburg,Abwehr,25,6,10,"60,00%","366,67"
38,"Zoller, Simon",1. FC Köln,Sturm,24,6,30,"20,00%","204,83"
38,"Draxler, Julian",VfL Wolfsburg,Mittelfeld,24,6,44,"13,64%","296,33"
48,"Meyer, Max",FC Schalke 04,Mittelfeld,32,5,46,"10,87%","465,6"
48,"Dahoud, Mahmoud",Bor. Mönchengladbach,Mittelfeld,32,5,39,"12,82%","417,6"
48,"Darida, Vladimír",Hertha BSC,Mittelfeld,31,5,41,"12,20%","520,2"
48,"Kießling, Stefan",Bayer Leverkusen,Sturm,30,5,41,"12,20%","378,8"
48,"Kostić, Filip",VfB Stuttgart,Mittelfeld,30,5,49,"10,20%","520,6"
48,"Gentner, Christian",VfB Stuttgart,Mittelfeld,29,5,45,"11,11%","498,6"
48,"Rupp, Lukas",VfB Stuttgart,Mittelfeld,29,5,39,"12,82%",422
48,"Clemens, Christian",1. FSV Mainz 05,Mittelfeld,28,5,44,"11,36%","345,8"
48,"Gregoritsch, Michael",Hamburger SV,Sturm,25,5,51,"9,80%","288,8"
48,"Córdoba, Jhon",1. FSV Mainz 05,Sturm,22,5,30,"16,67%","279,2"
48,"Kiyotake, Hiroshi",Hannover 96,Mittelfeld,21,5,28,"17,86%",353
48,"Kramarić, Andrej",1899 Hoffenheim,Sturm,15,5,43,"11,63%","217,6"
60,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,31,4,23,"17,39%","613,25"
60,"Iličević, Ivo",Hamburger SV,Mittelfeld,31,4,44,"9,09%","539,75"
60,"Vidal, Arturo",Bayern München,Mittelfeld,30,4,52,"7,69%","513,5"
60,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,30,4,59,"6,78%",590
60,"Hazard, Thorgan",Bor. Mönchengladbach,Mittelfeld,29,4,45,"8,89%",414
