No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
60,"Bobadilla, Raúl",FC Augsburg,Sturm,27,4,62,"6,45%",455
60,Douglas Costa,Bayern München,Mittelfeld,27,4,64,"6,25%","493,75"
60,Caiuby,FC Augsburg,Mittelfeld,26,4,68,"5,88%","554,75"
60,"de Blasis, Pablo",1. FSV Mainz 05,Mittelfeld,26,4,32,"12,50%","413,25"
60,"Amiri, Nadiem",1899 Hoffenheim,Mittelfeld,25,4,38,"10,53%","367,25"
60,"Schmid, Jonathan",1899 Hoffenheim,Mittelfeld,23,4,20,"20,00%","364,75"
60,"Coman, Kingsley",Bayern München,Sturm,23,4,36,"11,11%","422,75"
60,"Castaignos, Luc",Eintracht Frankfurt,Sturm,19,4,17,"23,53%",237
60,"Robben, Arjen",Bayern München,Sturm,15,4,52,"7,69%","275,5"
74,"Holtby, Lewis",Hamburger SV,Mittelfeld,34,3,32,"9,38%","969,33"
74,"Matip, Joel",FC Schalke 04,Abwehr,34,3,31,"9,68%",1020
74,"Gondorf, Jerôme",SV Darmstadt 98,Mittelfeld,33,3,23,"13,04%","972,67"
74,"Risse, Marcel",1. FC Köln,Mittelfeld,33,3,47,"6,38%","987,67"
74,"Leckie, Mathew",FC Ingolstadt 04,Sturm,32,3,38,"7,89%",827
74,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,31,3,42,"7,14%","802,33"
74,"Çalhanoğlu, Hakan",Bayer Leverkusen,Mittelfeld,31,3,87,"3,45%","756,33"
74,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,31,3,29,"10,34%","682,33"
74,"Christensen, Andreas",Bor. Mönchengladbach,Abwehr,31,3,15,"20,00%",930
74,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,30,3,20,"15,00%","879,33"
74,"Esswein, Alexander",FC Augsburg,Sturm,29,3,47,"6,38%","605,67"
74,"Seferović, Haris",Eintracht Frankfurt,Sturm,29,3,58,"5,17%","737,33"
74,"Bittencourt, Leonardo",1. FC Köln,Mittelfeld,29,3,37,"8,11%",740
74,"Russ, Marco",Eintracht Frankfurt,Abwehr,28,3,23,"13,04%",784
74,"Xhaka, Granit",Bor. Mönchengladbach,Mittelfeld,28,3,33,"9,09%","789,33"
74,"Castro, Gonzalo",Borussia Dortmund,Mittelfeld,25,3,19,"15,79%",497
74,"Traoré, Ibrahima",Bor. Mönchengladbach,Mittelfeld,24,3,41,"7,32%",492
74,"Ginter, Matthias",Borussia Dortmund,Abwehr,24,3,17,"17,65%","630,67"
74,"Kampl, Kevin",Bayer Leverkusen,Mittelfeld,23,3,28,"10,71%","587,33"
74,"Karaman, Kenan",Hannover 96,Sturm,23,3,44,"6,82%","582,33"
74,"Niedermeier, Georg",VfB Stuttgart,Abwehr,18,3,11,"27,27%",478
74,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,18,3,13,"23,08%",214
74,"Götze, Mario",Bayern München,Mittelfeld,14,3,18,"16,67%",320
74,"Schöpf, Alessandro",FC Schalke 04,Mittelfeld,13,3,14,"21,43%",159
74,"Ginczek, Daniel",VfB Stuttgart,Sturm,7,3,18,"16,67%",210
99,"Matip, Marvin",FC Ingolstadt 04,Abwehr,33,2,25,"8,00%","1462,5"
99,"Plattenhardt, Marvin",Hertha BSC,Abwehr,33,2,13,"15,38%",1485
99,"Vestergaard, Jannik",Werder Bremen,Abwehr,33,2,35,"5,71%",1485
99,"Heintz, Dominique",1. FC Köln,Abwehr,33,2,12,"16,67%",1437
99,"Haraguchi, Genki",Hertha BSC,Sturm,32,2,32,"6,25%",1263
99,"Rausch, Konstantin",SV Darmstadt 98,Abwehr,31,2,40,"5,00%",1066
99,"Baumgartlinger, Julian",1. FSV Mainz 05,Mittelfeld,31,2,12,"16,67%","1358,5"
99,"Niemeyer, Peter",SV Darmstadt 98,Mittelfeld,31,2,29,"6,90%",1286
99,"Sané, Salif",Hannover 96,Abwehr,31,2,37,"5,41%","1376,5"
99,"Hummels, Mats",Borussia Dortmund,Abwehr,30,2,11,"18,18%","1248,5"
99,"Guilavogui, Josuha",VfL Wolfsburg,Mittelfeld,30,2,23,"8,70%",1167
99,"Caligiuri, Daniel",VfL Wolfsburg,Mittelfeld,29,2,41,"4,88%","916,5"
99,"Gerhardt, Yannick",1. FC Köln,Mittelfeld,29,2,25,"8,00%","946,5"
99,"Weiser, Mitchell",Hertha BSC,Mittelfeld,29,2,15,"13,33%","1215,5"
99,"Mehmedi, Admir",Bayer Leverkusen,Sturm,28,2,28,"7,14%","670,5"
99,"Geis, Johannes",FC Schalke 04,Mittelfeld,28,2,44,"4,55%","1167,5"
99,Thiago,Bayern München,Mittelfeld,27,2,30,"6,67%","823,5"
99,"Djourou, Johan",Hamburger SV,Abwehr,26,2,8,"25,00%","1146,5"
99,"Stendera, Marc",Eintracht Frankfurt,Mittelfeld,26,2,39,"5,13%","1026,5"
99,"Maroh, Dominic",1. FC Köln,Abwehr,25,2,19,"10,53%",1062
99,"Schulz, Christian",Hannover 96,Abwehr,25,2,8,"25,00%","1062,5"
99,"Di Santo, Franco",FC Schalke 04,Sturm,25,2,23,"8,70%",652
99,"Vargas, Eduardo",1899 Hoffenheim,Sturm,24,2,31,"6,45%","756,5"
99,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,24,2,14,"14,29%","901,5"
99,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,24,2,26,"7,69%",1034
99,"Hong, Jeong-ho",FC Augsburg,Abwehr,23,2,15,"13,33%",859
99,"Vrančić, Mario",SV Darmstadt 98,Mittelfeld,22,2,14,"14,29%","519,5"
99,"Lex, Stefan",FC Ingolstadt 04,Sturm,21,2,23,"8,70%","443,5"
99,"Stark, Niklas",Hertha BSC,Mittelfeld,21,2,14,"14,29%",707
99,"Harnik, Martin",VfB Stuttgart,Sturm,19,2,32,"6,25%","501,5"
99,"Drmić, Josip",Hamburger SV,Sturm,19,2,14,"14,29%","434,5"
99,"Lezcano, Dario",FC Ingolstadt 04,Sturm,17,2,29,"6,90%","624,5"
99,"Andreasen, Leon",Hannover 96,Mittelfeld,15,2,19,"10,53%",543
99,"Belhanda, Younès",FC Schalke 04,Mittelfeld,15,2,13,"15,38%",409
99,"Jojić, Miloš",1. FC Köln,Mittelfeld,15,2,17,"11,76%","243,5"
99,"Djilobodji, Papy",Werder Bremen,Abwehr,14,2,22,"9,09%",630
99,"Bendtner, Nicklas",VfL Wolfsburg,Sturm,13,2,9,"22,22%",211
99,"Ribéry, Franck",Bayern München,Mittelfeld,13,2,13,"15,38%",344
99,"Zuber, Steven",1899 Hoffenheim,Mittelfeld,12,2,17,"11,76%","290,5"
99,"Rudņevs, Artjoms",Hamburger SV,Sturm,11,2,15,"13,33%",302
99,"Pulisic, Christian",Borussia Dortmund,Mittelfeld,9,2,8,"25,00%",196
99,"Aránguiz, Charles",Bayer Leverkusen,Mittelfeld,7,2,12,"16,67%","235,5"
99,"Jóhannsson, Aron",Werder Bremen,Sturm,6,2,14,"14,29%",205
142,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,33,1,18,"5,56%",2961
142,"Hasebe, Makoto",Eintracht Frankfurt,Mittelfeld,32,1,7,"14,29%",2675
142,"Groß, Pascal",FC Ingolstadt 04,Mittelfeld,32,1,70,"1,43%",2833
142,"Brosinski, Daniel",1. FSV Mainz 05,Abwehr,30,1,14,"7,14%",2248
142,"Lustenberger, Fabian",Hertha BSC,Mittelfeld,30,1,10,"10,00%",2537
142,"Hübner, Benjamin",FC Ingolstadt 04,Abwehr,30,1,20,"5,00%",2630
142,"Alaba, David",Bayern München,Abwehr,30,1,28,"3,57%",2495
142,"Bell, Stefan",1. FSV Mainz 05,Abwehr,30,1,23,"4,35%",2636
142,"Fritz, Clemens",Werder Bremen,Abwehr,29,1,25,"4,00%",2529
142,Roger,FC Ingolstadt 04,Mittelfeld,29,1,16,"6,25%",2502
142,"Baier, Daniel",FC Augsburg,Mittelfeld,28,1,18,"5,56%",2334
142,"Polanski, Eugen",1899 Hoffenheim,Mittelfeld,27,1,23,"4,35%",1763
142,"Lahm, Philipp",Bayern München,Abwehr,26,1,10,"10,00%",2201
142,Vieirinha,VfL Wolfsburg,Mittelfeld,26,1,28,"3,57%",1905
142,"Sakai, Hiroki",Hannover 96,Abwehr,26,1,11,"9,09%",2295
142,"Papastathopoulos, Sokratis",Borussia Dortmund,Abwehr,25,1,10,"10,00%",2114
142,"Gündoğan, İlkay",Borussia Dortmund,Mittelfeld,25,1,50,"2,00%",1996
142,"Osako, Yuya",1. FC Köln,Sturm,25,1,33,"3,03%",1353
142,"Goretzka, Leon",FC Schalke 04,Mittelfeld,25,1,37,"2,70%",1995
142,"Öztunali, Levin",Werder Bremen,Mittelfeld,25,1,24,"4,17%",1416
142,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,25,1,30,"3,33%",1063
142,"Grillitsch, Florian",Werder Bremen,Mittelfeld,25,1,29,"3,45%",1991
142,"Baumjohann, Alexander",Hertha BSC,Mittelfeld,24,1,8,"12,50%",455
142,Dante,VfL Wolfsburg,Abwehr,24,1,15,"6,67%",2083
142,"Morales, Alfredo",FC Ingolstadt 04,Mittelfeld,24,1,30,"3,33%",1669
142,"Schär, Fabian",1899 Hoffenheim,Abwehr,24,1,18,"5,56%",1732
142,"Bauer, Robert",FC Ingolstadt 04,Mittelfeld,24,1,5,"20,00%",1683
142,"Dié, Serey",VfB Stuttgart,Mittelfeld,23,1,15,"6,67%",1827
142,"Hunt, Aaron",Hamburger SV,Mittelfeld,23,1,24,"4,17%",1743
142,"Kolašinac, Sead",FC Schalke 04,Abwehr,23,1,12,"8,33%",1575
142,"Brooks, John Anthony",Hertha BSC,Abwehr,23,1,9,"11,11%",1810
142,Cléber,Hamburger SV,Abwehr,23,1,15,"6,67%",1474
142,Luiz Gustavo,VfL Wolfsburg,Mittelfeld,22,1,23,"4,35%",1809
142,"Stocker, Valentin",Hertha BSC,Mittelfeld,22,1,15,"6,67%",843
142,"Schmiedebach, Manuel",Hannover 96,Mittelfeld,22,1,11,"9,09%",1810
142,"Balogun, Leon",1. FSV Mainz 05,Abwehr,21,1,12,"8,33%",1515
142,"Schäfer, Marcel",VfL Wolfsburg,Abwehr,21,1,12,"8,33%",1311
142,Gálvez,Werder Bremen,Abwehr,21,1,5,"20,00%",1280
142,"Feulner, Markus",FC Augsburg,Mittelfeld,19,1,13,"7,69%",1085
142,"Altintop, Halil",FC Augsburg,Sturm,19,1,14,"7,14%",1210
142,"Kačar, Gojko",Hamburger SV,Mittelfeld,19,1,8,"12,50%",1124
142,Marcelo,Hannover 96,Abwehr,19,1,7,"14,29%",1710
142,"Toprak, Ömer",Bayer Leverkusen,Abwehr,19,1,11,"9,09%",1413
142,"Šunjić, Toni",VfB Stuttgart,Abwehr,19,1,7,"14,29%",1362
142,"Klaus, Felix",Hannover 96,Mittelfeld,18,1,19,"5,26%",806
142,"Toljan, Jeremy",1899 Hoffenheim,Abwehr,18,1,6,"16,67%",1489
142,"Korb, Julian",Bor. Mönchengladbach,Abwehr,17,1,6,"16,67%",1270
142,Javi Martínez,Bayern München,Abwehr,16,1,13,"7,69%",1108
142,"Levels, Tobias",FC Ingolstadt 04,Abwehr,16,1,4,"25,00%",1440
142,"Saint-Maximin, Allan",Hannover 96,Sturm,16,1,7,"14,29%",445
142,"Reinartz, Stefan",Eintracht Frankfurt,Mittelfeld,15,1,8,"12,50%",1199
142,"Kravets, Artem",VfB Stuttgart,Sturm,15,1,17,"5,88%",597
142,"Höwedes, Benedikt",FC Schalke 04,Abwehr,15,1,8,"12,50%",900
142,"Huszti, Szabolcs",Eintracht Frankfurt,Mittelfeld,15,1,20,"5,00%",1185
142,"Rode, Sebastian",Bayern München,Mittelfeld,15,1,7,"14,29%",412
142,"Rajković, Slobodan",SV Darmstadt 98,Abwehr,15,1,5,"20,00%",1010
142,"Hosiner, Philipp",1. FC Köln,Sturm,15,1,13,"7,69%",572
142,"Hofmann, Jonas",Bor. Mönchengladbach,Mittelfeld,15,1,16,"6,25%",511
142,"Benatia, Medhi",Bayern München,Abwehr,14,1,8,"12,50%",980
142,"Sailer, Marco",SV Darmstadt 98,Sturm,14,1,6,"16,67%",440
142,"Medojević, Slobodan",Eintracht Frankfurt,Mittelfeld,14,1,2,"50,00%",562
142,"Durm, Erik",Borussia Dortmund,Abwehr,14,1,13,"7,69%",868
142,"Bussmann, Gaëtan",1. FSV Mainz 05,Abwehr,13,1,7,"14,29%",1170
142,"Bender, Lars",Bayer Leverkusen,Mittelfeld,11,1,11,"9,09%",887
142,"Morávek, Jan",FC Augsburg,Mittelfeld,11,1,6,"16,67%",401
142,"Bech, Uffe",Hannover 96,Sturm,11,1,9,"11,11%",687
142,"Knoche, Robin",VfL Wolfsburg,Abwehr,11,1,2,"50,00%",818
142,"Stafylidis, Kostas",FC Augsburg,Abwehr,11,1,10,"10,00%",689
142,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,10,1,5,"20,00%",743
142,"Ben-Hatira, Änis",Eintracht Frankfurt,Mittelfeld,9,1,12,"8,33%",609
142,"Benschop, Charlison",Hannover 96,Sturm,9,1,7,"14,29%",346
142,"Onisiwo, Karim",1. FSV Mainz 05,Sturm,9,1,11,"9,09%",336
142,"Boenisch, Sebastian",Bayer Leverkusen,Abwehr,8,1,8,"12,50%",549
142,"Yatabaré, Sambou",Werder Bremen,Mittelfeld,8,1,8,"12,50%",493
142,"Klose, Timm",VfL Wolfsburg,Abwehr,8,1,4,"25,00%",634
142,"Anton, Waldemar",Hannover 96,Abwehr,8,1,6,"16,67%",584
142,"Kliment, Jan",VfB Stuttgart,Sturm,8,1,3,"33,33%",158
142,"Hamad, Jiloan",1899 Hoffenheim,Mittelfeld,7,1,4,"25,00%",319
142,Hugo Almeida,Hannover 96,Sturm,7,1,13,"7,69%",530
142,"Švento, Dušan",1. FC Köln,Mittelfeld,7,1,3,"33,33%",226
142,"Yurchenko, Vladlen",Bayer Leverkusen,Mittelfeld,7,1,5,"20,00%",296
142,"Perišić, Ivan",VfL Wolfsburg,Mittelfeld,2,1,3,"33,33%",164
142,"Barba, Federico",VfB Stuttgart,Abwehr,2,1,1,"100,00%",141
