No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
1,"Aubameyang, Pierre-Emerick",Borussia Dortmund,Sturm,16,16,58,"27,59%","88,5"
2,"Lewandowski, Robert",Bayern München,Sturm,18,14,75,"18,67%",111
2,"Modeste, Anthony",1. FC Köln,Sturm,18,14,61,"22,95%","109,93"
4,"Werner, Timo",RB Leipzig,Sturm,18,11,44,"25,00%","123,18"
5,"Wagner, Sandro",1899 Hoffenheim,Sturm,17,10,36,"27,78%",147
6,"Ibišević, Vedad",Hertha BSC,Sturm,17,8,42,"19,05%","178,75"
7,"Gnabry, Serge",Werder Bremen,Sturm,17,7,40,"17,50%","197,43"
8,"Mallı, Yunus",VfL Wolfsburg,Mittelfeld,18,6,34,"17,65%","255,67"
8,"Hernández, Javier",Bayer Leverkusen,Sturm,17,6,28,"21,43%","209,5"
8,"Gomez, Mario",VfL Wolfsburg,Sturm,17,6,44,"13,64%","252,83"
8,"Petersen, Nils",SC Freiburg,Sturm,17,6,24,"25,00%","96,67"
8,"Çalhanoğlu, Hakan",Bayer Leverkusen,Mittelfeld,15,6,47,"12,77%",203
8,"Robben, Arjen",Bayern München,Sturm,12,6,30,"20,00%","131,67"
14,"Niederlechner, Florian",SC Freiburg,Sturm,18,5,46,"10,87%",256
14,"Stindl, Lars",Bor. Mönchengladbach,Sturm,17,5,35,"14,29%","286,4"
14,"Sabitzer, Marcel",RB Leipzig,Mittelfeld,17,5,36,"13,89%","261,4"
14,"Meier, Alexander",Eintracht Frankfurt,Sturm,15,5,36,"13,89%","224,8"
14,"Forsberg, Emil",RB Leipzig,Mittelfeld,15,5,28,"17,86%","217,2"
14,"Philipp, Maximilian",SC Freiburg,Mittelfeld,15,5,31,"16,13%","229,8"
14,"Uth, Mark",1899 Hoffenheim,Sturm,12,5,21,"23,81%","148,2"
14,"Kalou, Salomon",Hertha BSC,Sturm,10,5,14,"35,71%","142,8"
22,"Müller, Nicolai",Hamburger SV,Mittelfeld,18,4,34,"11,76%","359,75"
22,"Osako, Yuya",1. FC Köln,Sturm,18,4,27,"14,81%","348,25"
22,"Kramarić, Andrej",1899 Hoffenheim,Sturm,18,4,51,"7,84%","309,5"
22,"de Blasis, Pablo",1. FSV Mainz 05,Mittelfeld,17,4,19,"21,05%","217,5"
22,"Bentaleb, Nabil",FC Schalke 04,Mittelfeld,17,4,22,"18,18%",331
22,"Dembélé, Ousmane",Borussia Dortmund,Sturm,17,4,22,"18,18%",267
22,"Keita, Naby",RB Leipzig,Mittelfeld,16,4,23,"17,39%","284,75"
22,"Wood, Bobby",Hamburger SV,Sturm,15,4,15,"26,67%","232,75"
22,"Kimmich, Joshua",Bayern München,Mittelfeld,15,4,20,"20,00%",202
