No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
22,"Hazard, Thorgan",Bor. Mönchengladbach,Sturm,15,4,27,"14,81%","249,5"
22,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,14,4,15,"26,67%","280,25"
22,Raffael,Bor. Mönchengladbach,Sturm,12,4,26,"15,38%","244,5"
22,"Latza, Danny",1. FSV Mainz 05,Mittelfeld,7,4,11,"36,36%","116,5"
22,"Pohjanpalo, Joel",Bayer Leverkusen,Sturm,6,4,15,"26,67%",37
36,"Ji, Dong-won",FC Augsburg,Sturm,18,3,35,"8,57%","501,33"
36,"Grifo, Vincenzo",SC Freiburg,Mittelfeld,18,3,54,"5,56%","539,67"
36,"Altintop, Halil",FC Augsburg,Sturm,17,3,10,"30,00%",252
36,"Lezcano, Dario",FC Ingolstadt 04,Sturm,17,3,22,"13,64%","373,33"
36,"Hinterseer, Lukas",FC Ingolstadt 04,Sturm,17,3,18,"16,67%","263,67"
36,"Haberer, Janik",SC Freiburg,Mittelfeld,17,3,9,"33,33%",228
36,"Suttner, Markus",FC Ingolstadt 04,Abwehr,16,3,17,"17,65%",465
36,Xabi Alonso,Bayern München,Mittelfeld,16,3,13,"23,08%","418,33"
36,"Cohen, Almog",FC Ingolstadt 04,Mittelfeld,16,3,30,"10,00%","386,33"
36,"Schieber, Julian",Hertha BSC,Sturm,16,3,14,"21,43%","134,33"
36,"Gregoritsch, Michael",Hamburger SV,Sturm,16,3,38,"7,89%",291
36,"Bell, Stefan",1. FSV Mainz 05,Abwehr,16,3,12,"25,00%",465
36,"Choupo-Moting, Eric Maxim",FC Schalke 04,Sturm,15,3,37,"8,11%",419
36,"Bartels, Fin",Werder Bremen,Mittelfeld,15,3,20,"15,00%","313,33"
36,Thiago,Bayern München,Mittelfeld,15,3,20,"15,00%",427
36,"Schöpf, Alessandro",FC Schalke 04,Mittelfeld,15,3,17,"17,65%",400
36,"Mehmedi, Admir",Bayer Leverkusen,Sturm,14,3,11,"27,27%",291
36,"Čolak, Antonio",SV Darmstadt 98,Sturm,14,3,22,"13,64%","278,33"
36,"Córdoba, Jhon",1. FSV Mainz 05,Sturm,14,3,23,"13,04%","372,33"
36,"Hrgota, Branimir",Eintracht Frankfurt,Sturm,14,3,19,"15,79%",255
36,"Fabián, Marco",Eintracht Frankfurt,Mittelfeld,13,3,39,"7,69%",390
36,"Rudņevs, Artjoms",1. FC Köln,Sturm,13,3,18,"16,67%","183,33"
36,Douglas Costa,Bayern München,Mittelfeld,13,3,21,"14,29%","243,33"
36,"Demirbay, Kerem",1899 Hoffenheim,Mittelfeld,13,3,24,"12,50%","313,67"
36,"Stocker, Valentin",Hertha BSC,Mittelfeld,12,3,19,"15,79%","278,33"
36,"Kruse, Max",Werder Bremen,Sturm,8,3,15,"20,00%","232,67"
62,"Orban, Willi",RB Leipzig,Abwehr,18,2,11,"18,18%",810
62,"Brandt, Julian",Bayer Leverkusen,Mittelfeld,18,2,22,"9,09%",679
62,"Caligiuri, Daniel",FC Schalke 04,Mittelfeld,17,2,21,"9,52%",569
62,"Sirigu, Sandro",SV Darmstadt 98,Abwehr,17,2,14,"14,29%","472,5"
62,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,17,2,16,"12,50%","729,5"
62,"Stafylidis, Kostas",FC Augsburg,Abwehr,17,2,24,"8,33%","711,5"
62,"Amiri, Nadiem",1899 Hoffenheim,Mittelfeld,17,2,21,"9,52%","522,5"
62,"Esswein, Alexander",Hertha BSC,Sturm,16,2,15,"13,33%",358
62,"Plattenhardt, Marvin",Hertha BSC,Abwehr,16,2,15,"13,33%",720
62,"Goretzka, Leon",FC Schalke 04,Mittelfeld,16,2,23,"8,70%",679
62,"Kostić, Filip",Hamburger SV,Mittelfeld,16,2,26,"7,69%","651,5"
62,"Öztunali, Levin",1. FSV Mainz 05,Mittelfeld,16,2,12,"16,67%","486,5"
62,"Castro, Gonzalo",Borussia Dortmund,Mittelfeld,15,2,18,"11,11%","486,5"
62,"Huszti, Szabolcs",Eintracht Frankfurt,Mittelfeld,15,2,11,"18,18%",524
62,"Seferović, Haris",Eintracht Frankfurt,Sturm,14,2,13,"15,38%","237,5"
62,"Kolašinac, Sead",FC Schalke 04,Abwehr,14,2,11,"18,18%",568
62,"Risse, Marcel",1. FC Köln,Mittelfeld,13,2,22,"9,09%",552
62,"Ribéry, Franck",Bayern München,Mittelfeld,13,2,14,"14,29%",382
62,"Pulisic, Christian",Borussia Dortmund,Mittelfeld,13,2,17,"11,76%","386,5"
62,"Selke, Davie",RB Leipzig,Sturm,12,2,9,"22,22%","116,5"
62,"Rupp, Lukas",1899 Hoffenheim,Mittelfeld,11,2,15,"13,33%",365
62,Raphaël Guerreiro,Borussia Dortmund,Abwehr,10,2,10,"20,00%","242,5"
62,"Zuber, Steven",1899 Hoffenheim,Mittelfeld,8,2,9,"22,22%",294
62,"Ramos, Adrián",Borussia Dortmund,Sturm,7,2,12,"16,67%",179
62,"Embolo, Breel",FC Schalke 04,Sturm,7,2,8,"25,00%",172
62,"Barkok, Aymane",Eintracht Frankfurt,Mittelfeld,7,2,2,"100,00%",106
62,"Reus, Marco",Borussia Dortmund,Sturm,6,2,10,"20,00%",201
62,"Didavi, Daniel",VfL Wolfsburg,Mittelfeld,6,2,8,"25,00%","141,5"
62,"Muto, Yoshinori",1. FSV Mainz 05,Sturm,5,2,4,"50,00%","106,5"
91,"Abraham, David",Eintracht Frankfurt,Abwehr,18,1,7,"14,29%",1561
91,Roger,FC Ingolstadt 04,Mittelfeld,18,1,8,"12,50%",1468
91,"Oczipka, Bastian",Eintracht Frankfurt,Abwehr,18,1,7,"14,29%",1602
91,"Sakai, Gōtoku",Hamburger SV,Abwehr,18,1,10,"10,00%",1487
91,"Groß, Pascal",FC Ingolstadt 04,Mittelfeld,18,1,25,"4,00%",1578
91,"Poulsen, Yussuf",RB Leipzig,Sturm,18,1,31,"3,23%",1340
91,Wendell,Bayer Leverkusen,Abwehr,18,1,9,"11,11%",1399
91,"Heller, Marcel",SV Darmstadt 98,Sturm,17,1,17,"5,88%",1422
91,"Baier, Daniel",FC Augsburg,Mittelfeld,17,1,15,"6,67%",1530
91,"Alaba, David",Bayern München,Abwehr,17,1,15,"6,67%",1325
91,"Bruma, Jeffrey",VfL Wolfsburg,Abwehr,17,1,9,"11,11%",1463
91,"Hinteregger, Martin",FC Augsburg,Abwehr,17,1,17,"5,88%",1513
91,"Meyer, Max",FC Schalke 04,Mittelfeld,17,1,15,"6,67%",1112
91,"Stark, Niklas",Hertha BSC,Mittelfeld,17,1,11,"9,09%",1511
91,"Süle, Niklas",1899 Hoffenheim,Abwehr,17,1,12,"8,33%",1477
91,"Hummels, Mats",Bayern München,Abwehr,16,1,20,"5,00%",1311
91,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,16,1,17,"5,88%",1411
91,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,16,1,15,"6,67%",1297
91,"Hahn, André",Bor. Mönchengladbach,Sturm,16,1,15,"6,67%",828
91,"Kampl, Kevin",Bayer Leverkusen,Mittelfeld,16,1,18,"5,56%",1413
91,"Höfler, Nicolas",SC Freiburg,Mittelfeld,16,1,4,"25,00%",1394
91,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,16,1,24,"4,17%",1140
91,"Gondorf, Jerôme",SV Darmstadt 98,Mittelfeld,15,1,16,"6,25%",1318
91,"Vidal, Arturo",Bayern München,Mittelfeld,15,1,15,"6,67%",893
91,"Müller, Thomas",Bayern München,Sturm,15,1,32,"3,13%",1074
91,"Kaiser, Dominik",RB Leipzig,Mittelfeld,15,1,14,"7,14%",736
91,"Aránguiz, Charles",Bayer Leverkusen,Mittelfeld,15,1,12,"8,33%",1143
91,"Seguin, Paul",VfL Wolfsburg,Mittelfeld,15,1,7,"14,29%",1054
91,"Tah, Jonathan",Bayer Leverkusen,Abwehr,15,1,8,"12,50%",1298
91,"Christensen, Andreas",Bor. Mönchengladbach,Abwehr,15,1,8,"12,50%",1350
91,"Hartmann, Moritz",FC Ingolstadt 04,Sturm,14,1,19,"5,26%",951
91,"Koo, Ja-cheol",FC Augsburg,Mittelfeld,14,1,21,"4,76%",1009
91,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,14,1,10,"10,00%",1006
91,"Sané, Lamine",Werder Bremen,Abwehr,14,1,3,"33,33%",1197
91,"Gaćinović, Mijat",Eintracht Frankfurt,Mittelfeld,14,1,15,"6,67%",1028
91,"Burke, Oliver",RB Leipzig,Mittelfeld,14,1,4,"25,00%",288
91,"Compper, Marvin",RB Leipzig,Abwehr,13,1,5,"20,00%",1056
91,"Lahm, Philipp",Bayern München,Abwehr,13,1,6,"16,67%",1124
91,"Konoplyanka, Yevhen",FC Schalke 04,Mittelfeld,13,1,14,"7,14%",510
91,"Toprak, Ömer",Bayer Leverkusen,Abwehr,13,1,5,"20,00%",1098
91,"Johnson, Fabian",Bor. Mönchengladbach,Mittelfeld,13,1,16,"6,25%",749
91,"Zoller, Simon",1. FC Köln,Sturm,13,1,9,"11,11%",470
91,"Onisiwo, Karim",1. FSV Mainz 05,Sturm,13,1,15,"6,67%",809
91,"Kohr, Dominik",FC Augsburg,Mittelfeld,13,1,14,"7,14%",882
91,"Dahoud, Mahmoud",Bor. Mönchengladbach,Mittelfeld,13,1,20,"5,00%",1040
91,"Vrančić, Mario",SV Darmstadt 98,Mittelfeld,12,1,13,"7,69%",751
91,"Morales, Alfredo",FC Ingolstadt 04,Mittelfeld,12,1,13,"7,69%",706
91,"García, Santiago",Werder Bremen,Abwehr,12,1,9,"11,11%",1059
91,"Weiser, Mitchell",Hertha BSC,Mittelfeld,12,1,5,"20,00%",898
91,"Kleinheisler, László",SV Darmstadt 98,Mittelfeld,12,1,14,"7,14%",785
91,"Ben-Hatira, Änis",SV Darmstadt 98,Mittelfeld,11,1,10,"10,00%",592
91,"Rode, Sebastian",Borussia Dortmund,Mittelfeld,11,1,5,"20,00%",525
91,"Ostrzolek, Matthias",Hamburger SV,Abwehr,11,1,5,"20,00%",940
91,"Abrashi, Amir",SC Freiburg,Mittelfeld,11,1,5,"20,00%",719
91,"Götze, Mario",Borussia Dortmund,Mittelfeld,11,1,6,"16,67%",765
91,"Toljan, Jeremy",1899 Hoffenheim,Abwehr,11,1,6,"16,67%",768
91,"Hector, Michael",Eintracht Frankfurt,Abwehr,11,1,2,"50,00%",492
91,"Grillitsch, Florian",Werder Bremen,Mittelfeld,11,1,4,"25,00%",893
91,Borja Mayoral,VfL Wolfsburg,Sturm,11,1,5,"20,00%",255
91,"Hajrović, Izet",Werder Bremen,Mittelfeld,10,1,12,"8,33%",497
91,"Darida, Vladimír",Hertha BSC,Mittelfeld,10,1,10,"10,00%",683
91,"Gouweleeuw, Jeffrey",FC Augsburg,Abwehr,10,1,4,"25,00%",900
91,"Kießling, Stefan",Bayer Leverkusen,Sturm,9,1,7,"14,29%",216
91,Rafinha,Bayern München,Abwehr,9,1,5,"20,00%",508
91,"Schürrle, André",Borussia Dortmund,Sturm,9,1,29,"3,45%",531
91,"Jung, Anthony",FC Ingolstadt 04,Abwehr,8,1,4,"25,00%",537
91,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,7,1,16,"6,25%",479
91,"Bobadilla, Raúl",FC Augsburg,Sturm,7,1,12,"8,33%",387
91,"Szalai, Ádám",1899 Hoffenheim,Sturm,7,1,3,"33,33%",155
91,"Bittencourt, Leonardo",1. FC Köln,Mittelfeld,7,1,11,"9,09%",369
91,"Jedvaj, Tin",Bayer Leverkusen,Abwehr,7,1,4,"25,00%",466
91,"Tarashaj, Shani",Eintracht Frankfurt,Sturm,7,1,4,"25,00%",164
91,"Mor, Emre",Borussia Dortmund,Sturm,7,1,9,"11,11%",312
91,"Bungert, Niko",1. FSV Mainz 05,Abwehr,6,1,3,"33,33%",436
91,"Finnbogason, Alfreð",FC Augsburg,Sturm,6,1,9,"11,11%",513
91,"Thy, Lennart",Werder Bremen,Sturm,6,1,5,"20,00%",90
91,"Jóhannsson, Aron",Werder Bremen,Sturm,6,1,4,"25,00%",219
91,"Manneh, Ousman",Werder Bremen,Sturm,6,1,19,"5,26%",488
91,"Jojić, Miloš",1. FC Köln,Mittelfeld,5,1,1,"100,00%",117
91,"Avdijaj, Donis",FC Schalke 04,Mittelfeld,5,1,5,"20,00%",108
91,"Seydel, Aaron",1. FSV Mainz 05,Sturm,4,1,3,"33,33%",142
91,"Oliynyk, Denys",SV Darmstadt 98,Sturm,3,1,1,"100,00%",39
91,"Burgstaller, Guido",FC Schalke 04,Sturm,2,1,8,"12,50%",135
91,"Sam, Sidney",SV Darmstadt 98,Mittelfeld,1,1,3,"33,33%",90
