No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
1,"Lewandowski, Robert",Borussia Dortmund,Sturm,33,20,115,"17,39%","140,25"
2,"Mandžukić, Mario",Bayern München,Sturm,30,18,77,"23,38%","112,61"
3,"Drmić, Josip",1. FC Nürnberg,Sturm,33,17,66,"25,76%","156,71"
4,Roberto Firmino,1899 Hoffenheim,Mittelfeld,33,16,91,"17,58%","182,25"
4,"Ramos, Adrián",Hertha BSC,Sturm,32,16,93,"17,20%","166,63"
4,"Reus, Marco",Borussia Dortmund,Sturm,30,16,110,"14,55%","138,88"
7,Raffael,Bor. Mönchengladbach,Sturm,34,15,74,"20,27%","199,93"
7,"Okazaki, Shinji",1. FSV Mainz 05,Sturm,33,15,70,"21,43%","181,13"
7,"Kießling, Stefan",Bayer Leverkusen,Sturm,32,15,83,"18,07%","178,6"
10,"Olić, Ivica",VfL Wolfsburg,Sturm,32,14,75,"18,67%","171,71"
11,"Aubameyang, Pierre-Emerick",Borussia Dortmund,Sturm,32,13,64,"20,31%","151,23"
11,"Müller, Thomas",Bayern München,Sturm,31,13,69,"18,84%","167,15"
11,"Lasogga, Pierre-Michel",Hamburger SV,Sturm,20,13,72,"18,06%","114,54"
14,"Kruse, Max",Bor. Mönchengladbach,Sturm,34,12,76,"15,79%","251,75"
14,"Mehmedi, Admir",SC Freiburg,Sturm,32,12,79,"15,19%","218,17"
14,"Hahn, André",FC Augsburg,Mittelfeld,32,12,90,"13,33%","228,25"
14,"Modeste, Anthony",1899 Hoffenheim,Sturm,29,12,66,"18,18%","136,17"
14,"Huntelaar, Klaas-Jan",FC Schalke 04,Sturm,18,12,54,"22,22%","121,83"
19,"Volland, Kevin",1899 Hoffenheim,Sturm,33,11,91,"12,09%","261,73"
19,"Çalhanoğlu, Hakan",Hamburger SV,Mittelfeld,32,11,88,"12,50%","222,45"
19,"Salihović, Sejad",1899 Hoffenheim,Mittelfeld,28,11,65,"16,92%","166,18"
19,"Robben, Arjen",Bayern München,Sturm,28,11,75,"14,67%","153,91"
23,"Altintop, Halil",FC Augsburg,Sturm,34,10,60,"16,67%","271,5"
23,"Perišić, Ivan",VfL Wolfsburg,Mittelfeld,33,10,71,"14,08%","220,7"
23,"Choupo-Moting, Eric Maxim",1. FSV Mainz 05,Sturm,32,10,83,"12,05%","204,6"
23,"Son, Heung-min",Bayer Leverkusen,Sturm,31,10,83,"12,05%","238,6"
23,"Huszti, Szabolcs",Hannover 96,Mittelfeld,30,10,51,"19,61%","259,9"
23,"Harnik, Martin",VfB Stuttgart,Sturm,30,10,46,"21,74%",204
23,"Ibišević, Vedad",VfB Stuttgart,Sturm,27,10,57,"17,54%","216,3"
23,"Götze, Mario",Bayern München,Mittelfeld,27,10,51,"19,61%","182,8"
23,"Ribéry, Franck",Bayern München,Mittelfeld,22,10,59,"16,95%","164,1"
23,"Pizarro, Claudio",Bayern München,Sturm,17,10,25,"40,00%","69,4"
33,"Werner, Tobias",FC Augsburg,Mittelfeld,31,9,61,"14,75%","234,44"
33,"Mkhitaryan, Henrikh",Borussia Dortmund,Mittelfeld,31,9,71,"12,68%","272,67"
33,"Kumbela, Domi",Eintracht Braunschweig,Sturm,30,9,60,"15,00%",216
33,"Allagui, Sami",Hertha BSC,Sturm,29,9,41,"21,95%","220,56"
33,"Müller, Nicolai",1. FSV Mainz 05,Mittelfeld,26,9,36,"25,00%",223
33,Joselu,Eintracht Frankfurt,Sturm,24,9,68,"13,24%","185,33"
33,"Farfán, Jefferson",FC Schalke 04,Sturm,19,9,28,"32,14%","169,33"
40,"Arango, Juan",Bor. Mönchengladbach,Mittelfeld,31,8,80,"10,00%","325,88"
40,"Meier, Alexander",Eintracht Frankfurt,Sturm,22,8,56,"14,29%","206,5"
40,"Sam, Sidney",Bayer Leverkusen,Mittelfeld,22,8,39,"20,51%","174,13"
40,"Diouf, Mame",Hannover 96,Sturm,19,8,64,"12,50%","183,63"
44,"Hunt, Aaron",Werder Bremen,Mittelfeld,31,7,57,"12,28%","382,57"
44,"Maxim, Alexandru",VfB Stuttgart,Mittelfeld,29,7,31,"22,58%","241,86"
44,"Petersen, Nils",Werder Bremen,Sturm,28,7,54,"12,96%","232,57"
44,"Szalai, Ádám",FC Schalke 04,Sturm,28,7,34,"20,59%","200,14"
44,"Arnold, Maximilian",VfL Wolfsburg,Mittelfeld,28,7,55,"12,73%","321,71"
44,"van der Vaart, Rafael",Hamburger SV,Mittelfeld,27,7,56,"12,50%","312,71"
50,"Herrmann, Patrick",Bor. Mönchengladbach,Mittelfeld,34,6,53,"11,32%","450,83"
50,"Meyer, Max",FC Schalke 04,Mittelfeld,30,6,32,"18,75%","304,5"
50,"Boateng, Kevin-Prince",FC Schalke 04,Mittelfeld,28,6,88,"6,82%","408,67"
50,"Schipplock, Sven",1899 Hoffenheim,Sturm,23,6,27,"22,22%","147,17"
50,"Shaqiri, Xherdan",Bayern München,Mittelfeld,17,6,29,"20,69%","131,67"
55,"Rodríguez, Ricardo",VfL Wolfsburg,Abwehr,34,5,37,"13,51%",612
55,"Castro, Gonzalo",Bayer Leverkusen,Mittelfeld,30,5,47,"10,64%","511,8"
55,"Kadlec, Václav",Eintracht Frankfurt,Sturm,21,5,36,"13,89%",270
55,"Klaus, Felix",SC Freiburg,Mittelfeld,21,5,35,"14,29%","278,8"
55,"Mallı, Yunus",1. FSV Mainz 05,Mittelfeld,21,5,33,"15,15%","208,4"
55,"Beister, Maximilian",Hamburger SV,Mittelfeld,16,5,42,"11,90%","244,2"
61,"Elia, Eljero",Werder Bremen,Sturm,33,4,33,"12,12%",507
61,"Rolfes, Simon",Bayer Leverkusen,Mittelfeld,31,4,26,"15,38%","549,5"
61,"Bittencourt, Leonardo",Hannover 96,Mittelfeld,31,4,55,"7,27%","457,5"
61,"Werner, Timo",VfB Stuttgart,Sturm,30,4,40,"10,00%","385,5"
61,Luiz Gustavo,VfL Wolfsburg,Mittelfeld,29,4,33,"12,12%","635,5"
61,"Schmid, Jonathan",SC Freiburg,Mittelfeld,29,4,39,"10,26%","610,5"
61,"Aigner, Stefan",Eintracht Frankfurt,Mittelfeld,28,4,45,"8,89%",541
61,"Gentner, Christian",VfB Stuttgart,Mittelfeld,28,4,34,"11,76%",630
61,Ronny,Hertha BSC,Mittelfeld,27,4,56,"7,14%","296,5"
61,"Goretzka, Leon",FC Schalke 04,Mittelfeld,25,4,42,"9,52%",374
61,"Süle, Niklas",1899 Hoffenheim,Abwehr,25,4,12,"33,33%",470
61,"Schweinsteiger, Bastian",Bayern München,Mittelfeld,23,4,31,"12,90%",458
61,"Rudņevs, Artjoms",Hannover 96,Sturm,23,4,36,"11,11%","302,75"
61,"Di Santo, Franco",Werder Bremen,Sturm,23,4,32,"12,50%","416,5"
61,"Hochscheidt, Jan",Eintracht Braunschweig,Mittelfeld,20,4,33,"12,12%","391,5"
61,"Dost, Bas",VfL Wolfsburg,Sturm,13,4,9,"44,44%","148,5"
61,"Jojić, Miloš",Borussia Dortmund,Mittelfeld,10,4,8,"50,00%",119
78,Naldo,VfL Wolfsburg,Abwehr,33,3,50,"6,00%",990
78,"Kiyotake, Hiroshi",1. FC Nürnberg,Mittelfeld,33,3,49,"6,12%",872
78,"Kramer, Christoph",Bor. Mönchengladbach,Mittelfeld,33,3,19,"15,79%",886
78,"Polanski, Eugen",1899 Hoffenheim,Mittelfeld,32,3,24,"12,50%",895
78,"Knoche, Robin",VfL Wolfsburg,Abwehr,32,3,11,"27,27%",928
78,"Andreasen, Leon",Hannover 96,Mittelfeld,31,3,60,"5,00%",813
78,"Stindl, Lars",Hannover 96,Mittelfeld,31,3,54,"5,56%","885,67"
78,"Matip, Joel",FC Schalke 04,Abwehr,31,3,18,"16,67%",930
78,"Westermann, Heiko",Hamburger SV,Abwehr,30,3,25,"12,00%","870,67"
78,"Verhaegh, Paul",FC Augsburg,Abwehr,30,3,9,"33,33%",838
78,"Russ, Marco",Eintracht Frankfurt,Abwehr,29,3,24,"12,50%",833
78,"Bender, Lars",Bayer Leverkusen,Mittelfeld,29,3,22,"13,64%",784
78,"Can, Emre",Bayer Leverkusen,Mittelfeld,29,3,35,"8,57%",732
78,"Hloušek, Adam",1. FC Nürnberg,Abwehr,28,3,21,"14,29%","760,33"
78,"Schuster, Julian",SC Freiburg,Mittelfeld,27,3,14,"21,43%",646
78,"Bellarabi, Karim",Eintracht Braunschweig,Mittelfeld,26,3,55,"5,45%","592,67"
78,"Flum, Johannes",Eintracht Frankfurt,Mittelfeld,26,3,22,"13,64%",653
78,"Darida, Vladimír",SC Freiburg,Mittelfeld,23,3,38,"7,89%","628,33"
78,"García, Santiago",Werder Bremen,Abwehr,22,3,17,"17,65%","616,33"
78,"Ben-Hatira, Änis",Hertha BSC,Mittelfeld,21,3,30,"10,00%",514
78,"Nilsson, Per",1. FC Nürnberg,Abwehr,20,3,18,"16,67%","541,33"
78,"Guédé, Karim",SC Freiburg,Mittelfeld,20,3,14,"21,43%","435,33"
78,"Bargfrede, Philipp",Werder Bremen,Mittelfeld,20,3,14,"21,43%","527,67"
78,"Piszczek, Łukasz",Borussia Dortmund,Abwehr,19,3,16,"18,75%","466,67"
78,"Wendt, Oscar",Bor. Mönchengladbach,Abwehr,18,3,8,"37,50%","490,67"
78,"Iličević, Ivo",Hamburger SV,Mittelfeld,18,3,32,"9,38%","352,67"
78,"Bobadilla, Raúl",FC Augsburg,Sturm,17,3,26,"11,54%","280,33"
78,"Sobiech, Artur",Hannover 96,Sturm,17,3,24,"12,50%","345,33"
78,"Ginczek, Daniel",1. FC Nürnberg,Sturm,17,3,39,"7,69%","361,67"
78,"Ya Konan, Didier",Hannover 96,Sturm,16,3,25,"12,00%","253,33"
78,"De Bruyne, Kevin",VfL Wolfsburg,Mittelfeld,16,3,33,"9,09%","473,33"
78,"Obasi, Chinedu",FC Schalke 04,Sturm,15,3,11,"27,27%",197
78,Diego,VfL Wolfsburg,Mittelfeld,15,3,42,"7,14%","424,67"
111,"Şahin, Nuri",Borussia Dortmund,Mittelfeld,34,2,54,"3,70%","1388,5"
111,"Neustädter, Roman",FC Schalke 04,Mittelfeld,32,2,26,"7,69%","1295,5"
111,"Traoré, Ibrahima",VfB Stuttgart,Mittelfeld,31,2,38,"5,26%",937
111,"Prib, Edgar",Hannover 96,Mittelfeld,31,2,23,"8,70%","895,5"
111,"Sorg, Oliver",SC Freiburg,Abwehr,31,2,18,"11,11%",1385
111,"Klavan, Ragnar",FC Augsburg,Abwehr,30,2,13,"15,38%","1282,5"
111,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,30,2,14,"14,29%","1336,5"
111,"Rüdiger, Antonio",VfB Stuttgart,Abwehr,30,2,12,"16,67%",1347
111,"Hrgota, Branimir",Bor. Mönchengladbach,Sturm,30,2,18,"11,11%",294
111,"Kroos, Toni",Bayern München,Mittelfeld,29,2,51,"3,92%","1036,5"
111,"Gebre Selassie, Theodor",Werder Bremen,Abwehr,29,2,13,"15,38%",952
111,Dante,Bayern München,Abwehr,29,2,20,"10,00%",1209
111,"Skjelbred, Per",Hertha BSC,Mittelfeld,28,2,18,"11,11%",1059
111,"Alaba, David",Bayern München,Abwehr,28,2,48,"4,17%",1200
111,"Spahić, Emir",Bayer Leverkusen,Abwehr,27,2,10,"20,00%",1172
111,"Prödl, Sebastian",Werder Bremen,Abwehr,27,2,17,"11,76%","1152,5"
111,"Rudy, Sebastian",1899 Hoffenheim,Mittelfeld,27,2,18,"11,11%","1121,5"
111,"Zoua, Jacques",Hamburger SV,Sturm,27,2,39,"5,13%","832,5"
111,"Junuzović, Zlatko",Werder Bremen,Mittelfeld,26,2,33,"6,06%",1143
111,"Hofmann, Jonas",Borussia Dortmund,Mittelfeld,26,2,12,"16,67%","345,5"
111,"Draxler, Julian",FC Schalke 04,Mittelfeld,26,2,47,"4,26%","1077,5"
111,"Feulner, Markus",1. FC Nürnberg,Mittelfeld,25,2,28,"7,14%",882
111,"Wagner, Sandro",Hertha BSC,Sturm,25,2,15,"13,33%",330
111,"Moritz, Christoph",1. FSV Mainz 05,Mittelfeld,25,2,12,"16,67%","833,5"
111,"Herdling, Kai",1899 Hoffenheim,Mittelfeld,23,2,16,"12,50%","547,5"
111,"Hummels, Mats",Borussia Dortmund,Abwehr,23,2,21,"9,52%",981
111,"Mölders, Sascha",FC Augsburg,Sturm,23,2,39,"5,13%","668,5"
111,"Rausch, Konstantin",VfB Stuttgart,Abwehr,21,2,23,"8,70%","746,5"
111,"Abraham, David",1899 Hoffenheim,Abwehr,20,2,9,"22,22%",862
111,"Kessel, Benjamin",Eintracht Braunschweig,Abwehr,20,2,17,"11,76%",848
111,"Sané, Salif",Hannover 96,Abwehr,19,2,11,"18,18%","703,5"
111,"Rosenthal, Jan",Eintracht Frankfurt,Mittelfeld,18,2,12,"16,67%","429,5"
111,"Milik, Arkadiusz",FC Augsburg,Sturm,18,2,18,"11,11%",311
111,"Freis, Sebastian",SC Freiburg,Sturm,17,2,21,"9,52%","549,5"
111,"Błaszczykowski, Jakub",Borussia Dortmund,Mittelfeld,16,2,14,"14,29%","394,5"
111,"Madlung, Alexander",Eintracht Frankfurt,Abwehr,16,2,14,"14,29%",632
111,Thiago,Bayern München,Mittelfeld,16,2,20,"10,00%",502
111,"Nielsen, Håvard",Eintracht Braunschweig,Sturm,16,2,21,"9,52%","653,5"
