No,Player,Team,Position,Games,Goals,Chances,Chances Conversation %,Min per Goal
111,"Brooks, John Anthony",Hertha BSC,Abwehr,16,2,7,"28,57%","528,5"
111,"Daems, Filip",Bor. Mönchengladbach,Abwehr,15,2,10,"20,00%","593,5"
111,"Hanke, Mike",SC Freiburg,Sturm,15,2,15,"13,33%",242
111,"Kruse, Robbie",Bayer Leverkusen,Mittelfeld,15,2,14,"14,29%",200
111,"Saller, Benedikt",1. FSV Mainz 05,Abwehr,15,2,11,"18,18%",182
111,"Höfler, Nicolas",SC Freiburg,Mittelfeld,14,2,7,"28,57%","334,5"
111,"Brandt, Julian",Bayer Leverkusen,Mittelfeld,12,2,11,"18,18%",296
111,"Oehrl, Torsten",Eintracht Braunschweig,Sturm,11,2,6,"33,33%",232
111,"Höger, Marco",FC Schalke 04,Mittelfeld,8,2,4,"50,00%","271,5"
111,"Malanda, Junior",VfL Wolfsburg,Mittelfeld,7,2,11,"18,18%","201,5"
159,"Beck, Andreas",1899 Hoffenheim,Abwehr,33,1,15,"6,67%",2957
159,"Callsen-Bracker, Jan-Ingwer",FC Augsburg,Abwehr,33,1,25,"4,00%",2909
159,"Boland, Mirko",Eintracht Braunschweig,Mittelfeld,33,1,35,"2,86%",2608
159,"Großkreutz, Kevin",Borussia Dortmund,Mittelfeld,33,1,30,"3,33%",2803
159,"Geis, Johannes",1. FSV Mainz 05,Mittelfeld,33,1,55,"1,82%",2798
159,"Arslan, Tolgay",Hamburger SV,Mittelfeld,32,1,23,"4,35%",2480
159,"Frantz, Mike",1. FC Nürnberg,Mittelfeld,31,1,22,"4,55%",2153
159,"Jantschke, Tony",Bor. Mönchengladbach,Abwehr,31,1,7,"14,29%",2746
159,"Bičakčić, Ermin",Eintracht Braunschweig,Abwehr,31,1,14,"7,14%",2729
159,"Plattenhardt, Marvin",1. FC Nürnberg,Abwehr,31,1,19,"5,26%",2666
159,"Fernandes, Gelson",SC Freiburg,Mittelfeld,30,1,6,"16,67%",2221
159,"Makiadi, Cédric",Werder Bremen,Mittelfeld,30,1,17,"5,88%",2310
159,"Badelj, Milan",Hamburger SV,Mittelfeld,29,1,31,"3,23%",2411
159,"Strobl, Tobias",1899 Hoffenheim,Mittelfeld,29,1,10,"10,00%",1873
159,"Elabdellaoui, Omar",Eintracht Braunschweig,Abwehr,29,1,18,"5,56%",2315
159,"Papastathopoulos, Sokratis",Borussia Dortmund,Abwehr,28,1,21,"4,76%",2260
159,"Lahm, Philipp",Bayern München,Abwehr,28,1,14,"7,14%",2338
159,"Toprak, Ömer",Bayer Leverkusen,Abwehr,28,1,10,"10,00%",2450
159,"Vogt, Kevin",FC Augsburg,Mittelfeld,28,1,22,"4,55%",1965
159,"Reichel, Ken",Eintracht Braunschweig,Abwehr,27,1,21,"4,76%",2411
159,"Schulz, Christian",Hannover 96,Abwehr,27,1,10,"10,00%",2153
159,"Park, Joo-ho",1. FSV Mainz 05,Abwehr,27,1,7,"14,29%",2330
159,"Sakai, Hiroki",Hannover 96,Abwehr,26,1,2,"50,00%",2264
159,"Boka, Arthur",VfB Stuttgart,Abwehr,25,1,16,"6,25%",1782
159,"Boateng, Jérôme",Bayern München,Abwehr,25,1,13,"7,69%",2169
159,"Boenisch, Sebastian",Bayer Leverkusen,Abwehr,25,1,42,"2,38%",2250
159,"Ademi, Orhan",Eintracht Braunschweig,Sturm,25,1,19,"5,26%",901
159,"Vestergaard, Jannik",1899 Hoffenheim,Abwehr,25,1,16,"6,25%",1853
159,"Schmiedebach, Manuel",Hannover 96,Mittelfeld,24,1,11,"9,09%",1733
159,"Koo, Ja-cheol",1. FSV Mainz 05,Mittelfeld,24,1,21,"4,76%",1348
159,"Caligiuri, Daniel",VfL Wolfsburg,Mittelfeld,24,1,25,"4,00%",1098
159,"Barnetta, Tranquillo",Eintracht Frankfurt,Mittelfeld,23,1,27,"3,70%",1659
159,"Pogatetz, Emanuel",1. FC Nürnberg,Abwehr,23,1,8,"12,50%",1939
159,"Pekhart, Tomáš",1. FC Nürnberg,Sturm,23,1,18,"5,56%",818
159,"Nordtveit, Håvard",Bor. Mönchengladbach,Mittelfeld,21,1,12,"8,33%",1262
159,"Jansen, Marcell",Hamburger SV,Abwehr,21,1,18,"5,56%",1773
159,"Schlaudraff, Jan",Hannover 96,Sturm,21,1,5,"20,00%",636
159,"Chandler, Timothy",1. FC Nürnberg,Abwehr,21,1,21,"4,76%",1595
159,Cacau,VfB Stuttgart,Sturm,21,1,24,"4,17%",728
159,"Schäfer, Marcel",VfL Wolfsburg,Abwehr,21,1,12,"8,33%",500
159,"Jiráček, Petr",Hamburger SV,Mittelfeld,21,1,7,"14,29%",1033
159,Domínguez,Bor. Mönchengladbach,Abwehr,21,1,9,"11,11%",1767
159,"Leitner, Moritz",VfB Stuttgart,Mittelfeld,21,1,14,"7,14%",1488
159,"Soto, Elkin",1. FSV Mainz 05,Mittelfeld,20,1,23,"4,35%",1270
159,Felipe Santana,FC Schalke 04,Abwehr,20,1,7,"14,29%",1234
159,"Kroos, Felix",Werder Bremen,Mittelfeld,20,1,5,"20,00%",1055
159,"Schmelzer, Marcel",Borussia Dortmund,Abwehr,19,1,12,"8,33%",1592
159,"Höwedes, Benedikt",FC Schalke 04,Abwehr,19,1,12,"8,33%",1511
159,"Krmaš, Pavel",SC Freiburg,Abwehr,19,1,6,"16,67%",1514
159,"Bender, Sven",Borussia Dortmund,Mittelfeld,19,1,13,"7,69%",1383
159,"Ciğerci, Tolga",Hertha BSC,Mittelfeld,19,1,30,"3,33%",1495
159,"Niedermeier, Georg",VfB Stuttgart,Abwehr,18,1,9,"11,11%",1597
159,"Derdiyok, Eren",Bayer Leverkusen,Sturm,18,1,23,"4,35%",531
159,"Kehl, Sebastian",Borussia Dortmund,Mittelfeld,17,1,11,"9,09%",1142
159,"Hilbert, Roberto",Bayer Leverkusen,Abwehr,16,1,12,"8,33%",1292
159,"Zimling, Niki",1. FSV Mainz 05,Mittelfeld,15,1,11,"9,09%",906
159,"Kobiashvili, Levan",Hertha BSC,Mittelfeld,15,1,4,"25,00%",1064
159,"Lanig, Martin",Eintracht Frankfurt,Mittelfeld,15,1,17,"5,88%",1049
159,"Kratz, Kevin",Eintracht Braunschweig,Mittelfeld,14,1,13,"7,69%",1016
159,"Jones, Jermaine",FC Schalke 04,Mittelfeld,14,1,11,"9,09%",900
159,"Ayhan, Kaan",FC Schalke 04,Abwehr,14,1,12,"8,33%",881
159,"Van Buyten, Daniel",Bayern München,Abwehr,12,1,6,"16,67%",925
159,"Abdellaoue, Mohammed",VfB Stuttgart,Sturm,12,1,10,"10,00%",660
159,"Ji, Dong-won",FC Augsburg,Sturm,12,1,10,"10,00%",337
159,"Friedrich, Manuel",Borussia Dortmund,Abwehr,11,1,3,"33,33%",797
159,"Ekici, Mehmet",Werder Bremen,Mittelfeld,11,1,14,"7,14%",580
159,Vieirinha,VfL Wolfsburg,Mittelfeld,11,1,19,"5,26%",650
159,"Parker, Shawn",1. FSV Mainz 05,Sturm,11,1,9,"11,11%",389
159,"Bungert, Niko",1. FSV Mainz 05,Abwehr,10,1,3,"33,33%",505
159,"Obraniak, Ludovic",Werder Bremen,Mittelfeld,10,1,12,"8,33%",631
159,"Sobiech, Lasse",Hamburger SV,Abwehr,10,1,3,"33,33%",697
159,Campaña,1. FC Nürnberg,Mittelfeld,10,1,17,"5,88%",596
159,"Haggui, Karim",VfB Stuttgart,Abwehr,9,1,1,"100,00%",383
159,"Lam, Zhi Gin",Hamburger SV,Abwehr,9,1,4,"25,00%",556
159,"Kirch, Oliver",Borussia Dortmund,Mittelfeld,8,1,6,"16,67%",463
159,"Kutschke, Stefan",VfL Wolfsburg,Sturm,8,1,3,"33,33%",74
159,"Didavi, Daniel",VfB Stuttgart,Mittelfeld,7,1,12,"8,33%",450
159,"Zulechner, Philipp",SC Freiburg,Sturm,7,1,8,"12,50%",138
159,"Mlapa, Peniel",Bor. Mönchengladbach,Sturm,5,1,3,"33,33%",51
159,"Terrazzino, Marco",SC Freiburg,Mittelfeld,2,1,1,"100,00%",44
159,"Ayçiçek, Levent",Werder Bremen,Mittelfeld,2,1,2,"50,00%",13
