No,Player,Team,Position,Games,Duel Quota,Duels per Game,Won Duels
1,"Van Buyten, Daniel",Bayern München,Abwehr,13,"70,94%","11,08",144
2,"Sankoh, Gibril",FC Augsburg,Abwehr,20,"70,45%","10,85",217
3,Naldo,Werder Bremen,Abwehr,18,"69,75%","12,17",219
4,"Wollscheid, Philipp",1. FC Nürnberg,Abwehr,33,"69,43%","13,21",436
5,Rodnei,1. FC Kaiserslautern,Abwehr,22,"69,21%","12,77",281
6,"Rajković, Slobodan",Hamburger SV,Abwehr,16,"68,69%","12,75",204
7,"Subotić, Neven",Borussia Dortmund,Abwehr,25,"67,96%","11,88",297
8,"Mancienne, Michael",Hamburger SV,Abwehr,16,"67,69%",11,176
9,"Hubník, Roman",Hertha BSC,Abwehr,27,"67,69%","13,11",354
10,"Stranzl, Martin",Bor. Mönchengladbach,Abwehr,22,"67,62%","10,73",236
11,"Hummels, Mats",Borussia Dortmund,Abwehr,33,"67,29%","14,09",465
12,"Bungert, Niko",1. FSV Mainz 05,Abwehr,29,"67,05%","12,14",352
13,"Pogatetz, Emanuel",Hannover 96,Abwehr,29,"66,99%","11,83",343
14,"Noveski, Nikolče",1. FSV Mainz 05,Abwehr,26,"66,74%","11,04",287
15,"Niedermeier, Georg",VfB Stuttgart,Abwehr,17,"66,57%","12,88",219
16,"Westermann, Heiko",Hamburger SV,Abwehr,33,"66,27%","13,39",442
17,"Badstuber, Holger",Bayern München,Abwehr,33,"66,23%","10,7",353
18,"Langkamp, Sebastian",FC Augsburg,Abwehr,26,"66,13%","14,19",369
19,"Prödl, Sebastian",Werder Bremen,Abwehr,16,"65,91%","9,06",145
20,"Höwedes, Benedikt",FC Schalke 04,Abwehr,22,"65,18%","9,27",204
21,"Taşçı, Serdar",VfB Stuttgart,Abwehr,28,"65,05%","10,04",281
22,"Friedrich, Manuel",Bayer Leverkusen,Abwehr,24,"65,02%","7,67",184
23,"Maroh, Dominic",1. FC Nürnberg,Abwehr,21,"64,46%","11,14",234
24,"Krmaš, Pavel",SC Freiburg,Abwehr,19,"64,21%","12,84",244
25,"Boateng, Jérôme",Bayern München,Abwehr,27,"64,13%","9,67",261
26,"Haggui, Karim",Hannover 96,Abwehr,27,"64,09%","14,15",382
27,"Vorsah, Isaac",1899 Hoffenheim,Abwehr,21,"63,76%","8,71",183
28,Felipe Santana,Borussia Dortmund,Abwehr,13,"63,73%",10,130
29,"Klose, Timm",1. FC Nürnberg,Abwehr,13,"63,59%","10,62",138
30,Maza,VfB Stuttgart,Abwehr,26,"63,51%","12,12",315
31,Dante,Bor. Mönchengladbach,Abwehr,33,"63,48%","10,06",332
32,"Yahia, Anthar",1. FC Kaiserslautern,Abwehr,11,"63,46%",9,99
33,"Mijatović, Andre",Hertha BSC,Abwehr,21,"63,45%","10,33",217
34,"Matip, Joel",FC Schalke 04,Abwehr,30,"63,28%","10,8",324
35,"Metzelder, Christoph",FC Schalke 04,Abwehr,16,"63,18%","7,94",127
36,"Madlung, Alexander",VfL Wolfsburg,Abwehr,23,"63,10%","7,96",183
37,Geromel,1. FC Köln,Abwehr,28,"62,75%","10,11",283
